	Unnamed: 0	Unnamed: 0.1	Unnamed: 0.1.1	Unnamed: 0.1.1	Unnamed: 0.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1	Unnamed: 0.1.1.1.1.1	source	Unnamed: 0.1.1.1.1.1.1	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color	sp_samp_ivp	sp_samp_bdvp	sp_samp_forced	sp_samp_ivp_col	sp_samp_bdvp_col	sp_samp_forced_col	sp_samp_sample	sp_samp_sample_col	sp_sampivp_eq	sp_samp_ivp_transient	sp_samp_bdvp_eq	sp_samp_forced_eq	sp_sampivp_eq_col	sp_samp_ivp_transient_col	sp_samp_bdvp_eq_col	sp_samp_forced_eq_col
0	0	0	0	0	0	0	0	0	[Clostridium] innocuum	0	[Clostridium] aminophilum	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#7610ff	433.0	14.0	63.0	#4b64d5	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	-0.009493999999999999	0.0	-1443923658337.1135	#3b4cc0	#abc8fd	#b40426	#b40426
1	1	1	1	1	1	1	1	1	[Clostridium] aminophilum	1	[Clostridium] innocuum	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#7610ff	405.0	14.0	63.0	#5f7fe8	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	-0.008928	0.0	-1443923658337.1135	#3b4cc0	#abc8fd	#b40426	#b40426
2	2	2	2	2	2	2	2	2	[Clostridium] spiroforme	2	[Bacteroides] pectinophilus	0.8485217254620001	9	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#7610ff	332.0	14.0	63.0	#96b7ff	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	0.001271	0.0	-1443923658337.1135	#3b4cc0	#b1cbfc	#b40426	#b40426
3	3	3	3	3	3	3	3	3	[Bacteroides] pectinophilus	3	[Clostridium] spiroforme	0.8485217254620001	12	9	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#7610ff	445.0	14.0	63.0	#445acc	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	-0.016916	0.0	-1443923658337.1135	#3b4cc0	#a9c6fd	#b40426	#b40426
4	4	4	4	4	4	4	4	4	[Clostridium] spiroforme	4	[Clostridium] aminophilum	0.8895017044660001	9	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#7610ff	332.0	14.0	63.0	#96b7ff	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	0.001271	0.0	-1443923658337.1135	#3b4cc0	#b1cbfc	#b40426	#b40426
5	5	5	5	5	5	5	5	5	[Clostridium] aminophilum	5	[Clostridium] spiroforme	0.8895017044660001	1	9	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#7610ff	405.0	14.0	63.0	#5f7fe8	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	-0.008928	0.0	-1443923658337.1135	#3b4cc0	#abc8fd	#b40426	#b40426
6	6	6	6	6	6	6	6	6	[Clostridium] spiroforme	6	[Clostridium] innocuum	0.8895017044660001	9	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#7610ff	332.0	14.0	63.0	#96b7ff	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	0.001271	0.0	-1443923658337.1135	#3b4cc0	#b1cbfc	#b40426	#b40426
7	7	7	7	7	7	7	7	7	[Clostridium] innocuum	7	[Clostridium] spiroforme	0.8895017044660001	1	9	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#7610ff	433.0	14.0	63.0	#4b64d5	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	-0.009493999999999999	0.0	-1443923658337.1135	#3b4cc0	#abc8fd	#b40426	#b40426
8	8	8	8	8	8	8	8	8	[Eubacterium] cellulosolvens	8	[Clostridium] citroniae	0.995881947422	1	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#7610ff	387.0	14.0	63.0	#6c8ff1	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	-0.008805	0.0	-1443923658337.1135	#3b4cc0	#adc9fd	#b40426	#b40426
9	9	9	9	9	9	9	9	9	[Clostridium] citroniae	9	[Eubacterium] cellulosolvens	0.995881947422	2	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	1.0	#8000ff	#7610ff	450.0	14.0	63.0	#4055c8	#3b4cc0	#3b4cc0	0.0	#3b4cc0	0.000192	-0.016935	0.0	-1443923658337.1135	#3b4cc0	#a9c6fd	#b40426	#b40426
