	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
0	Acidaminococcus	Acholeplasma	0.809547547485	3	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	13.0	1.0	#bbee91	#6a22fe
1	Acholeplasma	Acidaminococcus	0.809547547485	13	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	13.0	1.0	#bbee91	#6a22fe
2	Aliterella	Acinetobacter	0.996168686298	21	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	14.0	2.0	#d4dd80	#5444fd
3	Acinetobacter	Aliterella	0.996168686298	11	21	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	14.0	2.0	#d4dd80	#5444fd
4	Anaerotruncus	Acetivibrio	0.880590415103	1	29	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	0.0	#504afc	#8000ff
5	Acetivibrio	Anaerotruncus	0.880590415103	29	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	0.0	#504afc	#8000ff
6	Arthrobacter	Acinetobacter	0.996168686298	1	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	14.0	2.0	#d4dd80	#5444fd
7	Acinetobacter	Arthrobacter	0.996168686298	11	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	14.0	2.0	#d4dd80	#5444fd
8	Arthrobacter	Aliterella	1.0	1	21	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	14.0	2.0	#d4dd80	#5444fd
9	Aliterella	Arthrobacter	1.0	21	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	14.0	2.0	#d4dd80	#5444fd
10	Atopobacter	Amphibacillus	1.0	9	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	9.0	9.0	#5af8c8	#46efd1
11	Amphibacillus	Atopobacter	1.0	1	9	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	9.0	9.0	#5af8c8	#46efd1
12	Aureimonas	Arcanobacterium	0.969911300836	13	12	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	12.0	11.0	#a2f9a0	#72febb
13	Arcanobacterium	Aureimonas	0.969911300836	12	13	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	12.0	11.0	#a2f9a0	#72febb
14	Avibacterium	Actinobacillus	0.82678604747	2	23	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	19.0	3.0	#ff4d27	#3e65fa
15	Actinobacillus	Avibacterium	0.82678604747	23	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	19.0	3.0	#ff4d27	#3e65fa
16	Azohydromonas	Acinetobacter	0.996168686298	1	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	14.0	2.0	#d4dd80	#5444fd
17	Acinetobacter	Azohydromonas	0.996168686298	11	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	14.0	2.0	#d4dd80	#5444fd
18	Azohydromonas	Aliterella	1.0	1	21	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	14.0	2.0	#d4dd80	#5444fd
19	Aliterella	Azohydromonas	1.0	21	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	14.0	2.0	#d4dd80	#5444fd
20	Azohydromonas	Arthrobacter	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	14.0	2.0	#d4dd80	#5444fd
21	Arthrobacter	Azohydromonas	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	14.0	2.0	#d4dd80	#5444fd
22	Basfia	Actinobacillus	0.988872788788	3	23	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	19.0	3.0	#ff4d27	#3e65fa
23	Actinobacillus	Basfia	0.988872788788	23	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	19.0	3.0	#ff4d27	#3e65fa
24	Basfia	Avibacterium	0.809547547485	3	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	19.0	3.0	#ff4d27	#3e65fa
25	Avibacterium	Basfia	0.809547547485	2	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	19.0	3.0	#ff4d27	#3e65fa
26	Bibersteinia	Actinobacillus	0.936541083794	1	23	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	19.0	3.0	#ff4d27	#3e65fa
27	Actinobacillus	Bibersteinia	0.936541083794	23	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	19.0	3.0	#ff4d27	#3e65fa
28	Bibersteinia	Basfia	0.947079436721	1	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	19.0	3.0	#ff4d27	#3e65fa
29	Basfia	Bibersteinia	0.947079436721	3	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	19.0	3.0	#ff4d27	#3e65fa
30	Bradyrhizobium	Afipia	0.947169800914	2	39	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	16.0	6.0	#ffae5e	#04b9ea
31	Afipia	Bradyrhizobium	0.947169800914	39	2	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	16.0	6.0	#ffae5e	#04b9ea
32	Brevibacterium	Aerococcus	0.999888764849	3	25	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	10.0	5.0	#72febb	#11a0f1
33	Aerococcus	Brevibacterium	0.999888764849	25	3	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	10.0	5.0	#72febb	#11a0f1
34	Burkholderia	Aerococcus	0.999888764849	10	25	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	10.0	5.0	#72febb	#11a0f1
35	Aerococcus	Burkholderia	0.999888764849	25	10	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	10.0	5.0	#72febb	#11a0f1
36	Burkholderia	Brevibacterium	1.0	10	3	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	10.0	5.0	#72febb	#11a0f1
37	Brevibacterium	Burkholderia	1.0	3	10	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	10.0	5.0	#72febb	#11a0f1
38	Calothrix	Amphibacillus	0.948165574861	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	9.0	9.0	#5af8c8	#46efd1
39	Amphibacillus	Calothrix	0.948165574861	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	9.0	9.0	#5af8c8	#46efd1
40	Calothrix	Atopobacter	0.948165574861	1	9	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	9.0	9.0	#5af8c8	#46efd1
41	Atopobacter	Calothrix	0.948165574861	9	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	9.0	9.0	#5af8c8	#46efd1
42	Citrobacter	Afipia	0.947169800914	11	39	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	16.0	6.0	#ffae5e	#04b9ea
43	Afipia	Citrobacter	0.947169800914	39	11	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	16.0	6.0	#ffae5e	#04b9ea
44	Citrobacter	Bradyrhizobium	1.0	11	2	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	16.0	6.0	#ffae5e	#04b9ea
45	Bradyrhizobium	Citrobacter	1.0	2	11	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	16.0	6.0	#ffae5e	#04b9ea
46	Conchiformibius	Afipia	0.8417945435899999	37	39	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	16.0	6.0	#ffae5e	#04b9ea
47	Afipia	Conchiformibius	0.8417945435899999	39	37	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	16.0	6.0	#ffae5e	#04b9ea
48	Conchiformibius	Bradyrhizobium	0.8929465849670001	37	2	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	16.0	6.0	#ffae5e	#04b9ea
49	Bradyrhizobium	Conchiformibius	0.8929465849670001	2	37	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	16.0	6.0	#ffae5e	#04b9ea
50	Conchiformibius	Citrobacter	0.8929465849670001	37	11	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	16.0	6.0	#ffae5e	#04b9ea
51	Citrobacter	Conchiformibius	0.8929465849670001	11	37	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	16.0	6.0	#ffae5e	#04b9ea
52	Crocosphaera	Arcanobacterium	0.969911300836	1	12	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	12.0	11.0	#a2f9a0	#72febb
