	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
0	Anaerotruncus	13	Stool	#b2f396	6.0	2.0	#3febd5	#3c68f9
1	Acinetobacter	8	Anterior_nares	#8000ff	6.0	2.0	#3febd5	#3c68f9
2	Bacillus	3	Anterior_nares	#8000ff	14.0	3.0	#ff6232	#1996f3
3	Actinomyces	4	Supragingival_plaque	#ff964f	14.0	3.0	#ff6232	#1996f3
4	Bacteroides	16	Stool	#b2f396	6.0	2.0	#3febd5	#3c68f9
5	Alistipes	15	Stool	#b2f396	6.0	2.0	#3febd5	#3c68f9
6	Bilophila	10	Stool	#b2f396	12.0	1.0	#feb562	#5e35fe
7	Acidaminococcus	2	Stool	#b2f396	12.0	1.0	#feb562	#5e35fe
8	Blautia	16	Stool	#b2f396	7.0	0.0	#5efac6	#8000ff
9	Acetivibrio	13	Stool	#b2f396	2.0	0.0	#425ffa	#8000ff
10	Blautia	16	Stool	#b2f396	7.0	0.0	#5efac6	#8000ff
11	Akkermansia	15	Stool	#b2f396	7.0	0.0	#5efac6	#8000ff
12	Butyricimonas	11	Stool	#b2f396	12.0	1.0	#feb562	#5e35fe
13	Acholeplasma	3	Stool	#b2f396	12.0	1.0	#feb562	#5e35fe
14	Butyricimonas	11	Stool	#b2f396	12.0	1.0	#feb562	#5e35fe
15	Acidaminococcus	2	Stool	#b2f396	12.0	1.0	#feb562	#5e35fe
16	Campylobacter	1	Saliva	#7effb5	9.0	4.0	#9efaa2	#08bee9
17	Anaerofustis	1	Stool	#b2f396	9.0	4.0	#9efaa2	#08bee9
18	Capnocytophaga	1	Supragingival_plaque	#ff964f	13.0	6.0	#ff8e4a	#4df3ce
19	Alloprevotella	2	Attached	#4e4dfc	13.0	6.0	#ff8e4a	#4df3ce
20	Catabacter	1	Stool	#b2f396	15.0	7.0	#ff3219	#6efebe
21	Anaerococcus	1	Anterior_nares	#8000ff	15.0	7.0	#ff3219	#6efebe
22	Catenibacterium	7	Stool	#b2f396	3.0	9.0	#218cf4	#b2f396
23	Butyrivibrio	13	Stool	#b2f396	3.0	9.0	#218cf4	#b2f396
24	Cellulomonas	2	Stool	#b2f396	13.0	6.0	#ff8e4a	#4df3ce
25	Capnocytophaga	1	Supragingival_plaque	#ff964f	13.0	6.0	#ff8e4a	#4df3ce
26	Chlamydia	1	Attached	#4e4dfc	3.0	9.0	#218cf4	#b2f396
27	Butyrivibrio	13	Stool	#b2f396	3.0	9.0	#218cf4	#b2f396
28	Chlamydia	1	Attached	#4e4dfc	3.0	9.0	#218cf4	#b2f396
29	Catenibacterium	7	Stool	#b2f396	3.0	9.0	#218cf4	#b2f396
30	Coprococcus	15	Stool	#b2f396	7.0	0.0	#5efac6	#8000ff
31	Akkermansia	15	Stool	#b2f396	7.0	0.0	#5efac6	#8000ff
32	Coprococcus	15	Stool	#b2f396	7.0	0.0	#5efac6	#8000ff
33	Blautia	16	Stool	#b2f396	7.0	0.0	#5efac6	#8000ff
34	Coprococcus	15	Stool	#b2f396	7.0	0.0	#5efac6	#8000ff
35	Coprobacillus	10	Stool	#b2f396	7.0	0.0	#5efac6	#8000ff
36	Desulfotomaculum	1	Stool	#b2f396	9.0	4.0	#9efaa2	#08bee9
37	Anaerofustis	1	Stool	#b2f396	9.0	4.0	#9efaa2	#08bee9
38	Desulfotomaculum	1	Stool	#b2f396	9.0	4.0	#9efaa2	#08bee9
39	Campylobacter	1	Saliva	#7effb5	9.0	4.0	#9efaa2	#08bee9
40	Desulfovibrio	4	Stool	#b2f396	9.0	4.0	#9efaa2	#08bee9
41	Anaerofustis	1	Stool	#b2f396	9.0	4.0	#9efaa2	#08bee9
42	Desulfovibrio	4	Stool	#b2f396	9.0	4.0	#9efaa2	#08bee9
43	Campylobacter	1	Saliva	#7effb5	9.0	4.0	#9efaa2	#08bee9
44	Desulfovibrio	4	Stool	#b2f396	9.0	4.0	#9efaa2	#08bee9
45	Desulfotomaculum	1	Stool	#b2f396	9.0	4.0	#9efaa2	#08bee9
46	Enterobacter	1	Anterior_nares	#8000ff	9.0	4.0	#9efaa2	#08bee9
47	Anaerofustis	1	Stool	#b2f396	9.0	4.0	#9efaa2	#08bee9
48	Enterobacter	1	Anterior_nares	#8000ff	9.0	4.0	#9efaa2	#08bee9
49	Campylobacter	1	Saliva	#7effb5	9.0	4.0	#9efaa2	#08bee9
50	Enterobacter	1	Anterior_nares	#8000ff	9.0	4.0	#9efaa2	#08bee9
51	Desulfotomaculum	1	Stool	#b2f396	9.0	4.0	#9efaa2	#08bee9
52	Enterobacter	1	Anterior_nares	#8000ff	9.0	4.0	#9efaa2	#08bee9
53	Desulfovibrio	4	Stool	#b2f396	9.0	4.0	#9efaa2	#08bee9
54	Enterococcus	11	Attached	#4e4dfc	6.0	2.0	#3febd5	#3c68f9
55	Acinetobacter	8	Anterior_nares	#8000ff	6.0	2.0	#3febd5	#3c68f9
56	Enterococcus	11	Attached	#4e4dfc	6.0	2.0	#3febd5	#3c68f9
57	Alistipes	15	Stool	#b2f396	6.0	2.0	#3febd5	#3c68f9
58	Enterococcus	11	Attached	#4e4dfc	6.0	2.0	#3febd5	#3c68f9
59	Bacteroides	16	Stool	#b2f396	6.0	2.0	#3febd5	#3c68f9
60	Enterorhabdus	1	Stool	#b2f396	13.0	6.0	#ff8e4a	#4df3ce
61	Alloprevotella	2	Attached	#4e4dfc	13.0	6.0	#ff8e4a	#4df3ce
62	Enterorhabdus	1	Stool	#b2f396	13.0	6.0	#ff8e4a	#4df3ce
63	Capnocytophaga	1	Supragingival_plaque	#ff964f	13.0	6.0	#ff8e4a	#4df3ce
64	Enterorhabdus	1	Stool	#b2f396	13.0	6.0	#ff8e4a	#4df3ce
65	Cellulomonas	2	Stool	#b2f396	13.0	6.0	#ff8e4a	#4df3ce
66	Erysipelatoclostridium	10	Stool	#b2f396	4.0	13.0	#01b3ec	#ff6835
67	Eggerthella	3	Stool	#b2f396	4.0	13.0	#01b3ec	#ff6835
68	Escherichia	4	Stool	#b2f396	13.0	6.0	#ff8e4a	#4df3ce
