	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
0	Anaerotruncus	Acinetobacter	7.0	13	8	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	6.0	2.0	#3febd5	#3c68f9
1	Acinetobacter	Anaerotruncus	7.0	8	13	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	6.0	2.0	#3febd5	#3c68f9
2	Bacillus	Actinomyces	2.0	3	4	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	14.0	3.0	#ff6232	#1996f3
3	Actinomyces	Bacillus	2.0	4	3	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	14.0	3.0	#ff6232	#1996f3
4	Bacteroides	Alistipes	7.0	16	15	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	2.0	#3febd5	#3c68f9
5	Alistipes	Bacteroides	7.0	15	16	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	2.0	#3febd5	#3c68f9
6	Bilophila	Acidaminococcus	2.0	10	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	12.0	1.0	#feb562	#5e35fe
7	Acidaminococcus	Bilophila	2.0	2	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	12.0	1.0	#feb562	#5e35fe
8	Blautia	Acetivibrio	10.0	16	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	7.0	0.0	#5efac6	#8000ff
9	Acetivibrio	Blautia	10.0	13	16	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	0.0	#425ffa	#8000ff
10	Blautia	Akkermansia	7.0	16	15	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	7.0	0.0	#5efac6	#8000ff
11	Akkermansia	Blautia	7.0	15	16	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	7.0	0.0	#5efac6	#8000ff
12	Butyricimonas	Acholeplasma	2.0	11	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	12.0	1.0	#feb562	#5e35fe
13	Acholeplasma	Butyricimonas	2.0	3	11	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	12.0	1.0	#feb562	#5e35fe
14	Butyricimonas	Acidaminococcus	2.0	11	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	12.0	1.0	#feb562	#5e35fe
15	Acidaminococcus	Butyricimonas	2.0	2	11	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	12.0	1.0	#feb562	#5e35fe
16	Campylobacter	Anaerofustis	1.0	1	1	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc	9.0	4.0	#9efaa2	#08bee9
17	Anaerofustis	Campylobacter	1.0	1	1	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc	9.0	4.0	#9efaa2	#08bee9
18	Capnocytophaga	Alloprevotella	1.0	1	2	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc	13.0	6.0	#ff8e4a	#4df3ce
19	Alloprevotella	Capnocytophaga	1.0	2	1	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc	13.0	6.0	#ff8e4a	#4df3ce
20	Catabacter	Anaerococcus	1.0	1	1	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	15.0	7.0	#ff3219	#6efebe
21	Anaerococcus	Catabacter	1.0	1	1	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	15.0	7.0	#ff3219	#6efebe
22	Catenibacterium	Butyrivibrio	1.0	7	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	9.0	#218cf4	#b2f396
23	Butyrivibrio	Catenibacterium	1.0	13	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	9.0	#218cf4	#b2f396
24	Cellulomonas	Capnocytophaga	1.0	2	1	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	13.0	6.0	#ff8e4a	#4df3ce
25	Capnocytophaga	Cellulomonas	1.0	1	2	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	13.0	6.0	#ff8e4a	#4df3ce
26	Chlamydia	Butyrivibrio	1.0	1	13	Attached	Stool	Intertype	#4e4dfc	#b2f396	#cccccc	3.0	9.0	#218cf4	#b2f396
27	Butyrivibrio	Chlamydia	1.0	13	1	Stool	Attached	Intertype	#b2f396	#4e4dfc	#cccccc	3.0	9.0	#218cf4	#b2f396
28	Chlamydia	Catenibacterium	1.0	1	7	Attached	Stool	Intertype	#4e4dfc	#b2f396	#cccccc	3.0	9.0	#218cf4	#b2f396
29	Catenibacterium	Chlamydia	1.0	7	1	Stool	Attached	Intertype	#b2f396	#4e4dfc	#cccccc	3.0	9.0	#218cf4	#b2f396
30	Coprococcus	Akkermansia	5.0	15	15	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	7.0	0.0	#5efac6	#8000ff
31	Akkermansia	Coprococcus	5.0	15	15	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	7.0	0.0	#5efac6	#8000ff
