	source	target	weight	edge_sample	edcolor
0	Arcanobacterium	Afipia	1.0	Intertype	#cccccc
1	Afipia	Arcanobacterium	1.0	Intertype	#cccccc
2	Arthrobacter	Aliterella	1.0	Anterior_nares	#8000ff
3	Aliterella	Arthrobacter	1.0	Anterior_nares	#8000ff
4	Atopobacter	Amphibacillus	1.0	Anterior_nares	#8000ff
5	Amphibacillus	Atopobacter	1.0	Anterior_nares	#8000ff
6	Aureimonas	Afipia	1.0	Intertype	#cccccc
7	Afipia	Aureimonas	1.0	Intertype	#cccccc
8	Aureimonas	Arcanobacterium	1.0	Anterior_nares	#8000ff
9	Arcanobacterium	Aureimonas	1.0	Anterior_nares	#8000ff
10	Azohydromonas	Aliterella	1.0	Anterior_nares	#8000ff
11	Aliterella	Azohydromonas	1.0	Anterior_nares	#8000ff
12	Azohydromonas	Arthrobacter	1.0	Anterior_nares	#8000ff
13	Arthrobacter	Azohydromonas	1.0	Anterior_nares	#8000ff
14	Blautia	Barnesiella	1.0	Stool	#b2f396
15	Barnesiella	Blautia	1.0	Stool	#b2f396
16	Calothrix	Aerococcus	0.8606629658239999	Intertype	#cccccc
17	Aerococcus	Calothrix	0.8606629658239999	Intertype	#cccccc
18	Calothrix	Amphibacillus	0.944444444444	Anterior_nares	#8000ff
19	Amphibacillus	Calothrix	0.944444444444	Anterior_nares	#8000ff
20	Calothrix	Atopobacter	0.944444444444	Anterior_nares	#8000ff
21	Atopobacter	Calothrix	0.944444444444	Anterior_nares	#8000ff
22	Capnocytophaga	Aliterella	0.915777325007	Intertype	#cccccc
23	Aliterella	Capnocytophaga	0.915777325007	Intertype	#cccccc
24	Capnocytophaga	Arthrobacter	0.915777325007	Intertype	#cccccc
25	Arthrobacter	Capnocytophaga	0.915777325007	Intertype	#cccccc
26	Capnocytophaga	Azohydromonas	0.915777325007	Intertype	#cccccc
27	Azohydromonas	Capnocytophaga	0.915777325007	Intertype	#cccccc
28	Clostridium	Barnesiella	0.987456948465	Stool	#b2f396
29	Barnesiella	Clostridium	0.987456948465	Stool	#b2f396
30	Clostridium	Blautia	0.987456948465	Stool	#b2f396
31	Blautia	Clostridium	0.987456948465	Stool	#b2f396
32	Coprococcus	Barnesiella	0.843373856175	Stool	#b2f396
33	Barnesiella	Coprococcus	0.843373856175	Stool	#b2f396
34	Coprococcus	Blautia	0.843373856175	Stool	#b2f396
35	Blautia	Coprococcus	0.843373856175	Stool	#b2f396
36	Coprococcus	Clostridium	0.91763315686	Stool	#b2f396
37	Clostridium	Coprococcus	0.91763315686	Stool	#b2f396
38	Corynebacterium	Coprococcus	0.8203076963760001	Intertype	#cccccc
39	Coprococcus	Corynebacterium	0.8203076963760001	Intertype	#cccccc
40	Crocosphaera	Afipia	1.0	Intertype	#cccccc
41	Afipia	Crocosphaera	1.0	Intertype	#cccccc
42	Crocosphaera	Arcanobacterium	1.0	Anterior_nares	#8000ff
43	Arcanobacterium	Crocosphaera	1.0	Anterior_nares	#8000ff
44	Crocosphaera	Aureimonas	1.0	Anterior_nares	#8000ff
45	Aureimonas	Crocosphaera	1.0	Anterior_nares	#8000ff
46	Delftia	Aliterella	1.0	Anterior_nares	#8000ff
47	Aliterella	Delftia	1.0	Anterior_nares	#8000ff
48	Delftia	Arthrobacter	1.0	Anterior_nares	#8000ff
49	Arthrobacter	Delftia	1.0	Anterior_nares	#8000ff
50	Delftia	Azohydromonas	1.0	Anterior_nares	#8000ff
51	Azohydromonas	Delftia	1.0	Anterior_nares	#8000ff
52	Delftia	Capnocytophaga	0.915777325007	Intertype	#cccccc
53	Capnocytophaga	Delftia	0.915777325007	Intertype	#cccccc
54	Dialister	Barnesiella	0.998701996523	Stool	#b2f396
55	Barnesiella	Dialister	0.998701996523	Stool	#b2f396
56	Dialister	Blautia	0.998701996523	Stool	#b2f396
57	Blautia	Dialister	0.998701996523	Stool	#b2f396
58	Dialister	Coprococcus	0.869647641076	Stool	#b2f396
59	Coprococcus	Dialister	0.869647641076	Stool	#b2f396
60	Dolosigranulum	Aerococcus	0.947360929789	Intertype	#cccccc
61	Aerococcus	Dolosigranulum	0.947360929789	Intertype	#cccccc
62	Dolosigranulum	Calothrix	0.81832034743	Anterior_nares	#8000ff
63	Calothrix	Dolosigranulum	0.81832034743	Anterior_nares	#8000ff
64	Enhydrobacter	Brevundimonas	1.0	Intertype	#cccccc
65	Brevundimonas	Enhydrobacter	1.0	Intertype	#cccccc
66	Escherichia	Enterobacter	1.0	Intertype	#cccccc
67	Enterobacter	Escherichia	1.0	Intertype	#cccccc
68	Eubacterium	Afipia	1.0	Intertype	#cccccc
69	Afipia	Eubacterium	1.0	Intertype	#cccccc
70	Eubacterium	Arcanobacterium	1.0	Intertype	#cccccc
71	Arcanobacterium	Eubacterium	1.0	Intertype	#cccccc
72	Eubacterium	Aureimonas	1.0	Intertype	#cccccc
73	Aureimonas	Eubacterium	1.0	Intertype	#cccccc
74	Eubacterium	Crocosphaera	1.0	Intertype	#cccccc
75	Crocosphaera	Eubacterium	1.0	Intertype	#cccccc
76	Exiguobacterium	Afipia	1.0	Intertype	#cccccc
77	Afipia	Exiguobacterium	1.0	Intertype	#cccccc
78	Exiguobacterium	Arcanobacterium	1.0	Anterior_nares	#8000ff
79	Arcanobacterium	Exiguobacterium	1.0	Anterior_nares	#8000ff
80	Exiguobacterium	Aureimonas	1.0	Anterior_nares	#8000ff
81	Aureimonas	Exiguobacterium	1.0	Anterior_nares	#8000ff
82	Exiguobacterium	Crocosphaera	1.0	Anterior_nares	#8000ff
83	Crocosphaera	Exiguobacterium	1.0	Anterior_nares	#8000ff
84	Exiguobacterium	Eubacterium	1.0	Intertype	#cccccc
85	Eubacterium	Exiguobacterium	1.0	Intertype	#cccccc
86	Facklamia	Aerococcus	1.0	Posterior_fornix	#4df3ce
87	Aerococcus	Facklamia	1.0	Posterior_fornix	#4df3ce
88	Facklamia	Calothrix	0.8606629658239999	Intertype	#cccccc
89	Calothrix	Facklamia	0.8606629658239999	Intertype	#cccccc
90	Facklamia	Dolosigranulum	0.947360929789	Intertype	#cccccc
91	Dolosigranulum	Facklamia	0.947360929789	Intertype	#cccccc
92	Fusobacterium	Bifidobacterium	0.999145309425	Intertype	#cccccc
93	Bifidobacterium	Fusobacterium	0.999145309425	Intertype	#cccccc
94	Granulicatella	Aliterella	0.911258556537	Intertype	#cccccc
95	Aliterella	Granulicatella	0.911258556537	Intertype	#cccccc
96	Granulicatella	Arthrobacter	0.911258556537	Intertype	#cccccc
97	Arthrobacter	Granulicatella	0.911258556537	Intertype	#cccccc
98	Granulicatella	Azohydromonas	0.911258556537	Intertype	#cccccc
99	Azohydromonas	Granulicatella	0.911258556537	Intertype	#cccccc
100	Granulicatella	Delftia	0.911258556537	Intertype	#cccccc
101	Delftia	Granulicatella	0.911258556537	Intertype	#cccccc
102	Gulbenkiania	Afipia	1.0	Intertype	#cccccc
103	Afipia	Gulbenkiania	1.0	Intertype	#cccccc
104	Gulbenkiania	Arcanobacterium	1.0	Anterior_nares	#8000ff
105	Arcanobacterium	Gulbenkiania	1.0	Anterior_nares	#8000ff
106	Gulbenkiania	Aureimonas	1.0	Anterior_nares	#8000ff
107	Aureimonas	Gulbenkiania	1.0	Anterior_nares	#8000ff
108	Gulbenkiania	Crocosphaera	1.0	Anterior_nares	#8000ff
109	Crocosphaera	Gulbenkiania	1.0	Anterior_nares	#8000ff
110	Gulbenkiania	Eubacterium	1.0	Intertype	#cccccc
111	Eubacterium	Gulbenkiania	1.0	Intertype	#cccccc
112	Gulbenkiania	Exiguobacterium	1.0	Anterior_nares	#8000ff
113	Exiguobacterium	Gulbenkiania	1.0	Anterior_nares	#8000ff
114	Helicobacter	Afipia	1.0	Intertype	#cccccc
115	Afipia	Helicobacter	1.0	Intertype	#cccccc
116	Helicobacter	Arcanobacterium	1.0	Anterior_nares	#8000ff
