	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
0	Afipia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
1	Actinobaculum	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
2	Aggregatibacter	2	Mixed	#cccccc	3.0	1.0	#2adddd	#ff0000
3	Afipia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
4	Alistipes	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
5	Abiotrophia	2	Buccal_mucosa	#1996f3	9.0	0.0	#ff0000	#8000ff
6	Alistipes	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
7	Actinomyces	2	Supragingival_plaque	#ff964f	8.0	0.0	#ff592d	#8000ff
8	Atopobium	2	Saliva	#7effb5	8.0	0.0	#ff592d	#8000ff
9	Actinomyces	2	Supragingival_plaque	#ff964f	8.0	0.0	#ff592d	#8000ff
10	Atopobium	2	Saliva	#7effb5	8.0	0.0	#ff592d	#8000ff
11	Alistipes	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
12	Bacillus	1	Anterior_nares	#8000ff	7.0	0.0	#ffa558	#8000ff
13	Abiotrophia	2	Buccal_mucosa	#1996f3	9.0	0.0	#ff0000	#8000ff
14	Bacillus	1	Anterior_nares	#8000ff	7.0	0.0	#ffa558	#8000ff
15	Actinomyces	2	Supragingival_plaque	#ff964f	8.0	0.0	#ff592d	#8000ff
16	Bacillus	1	Anterior_nares	#8000ff	7.0	0.0	#ffa558	#8000ff
17	Alistipes	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
18	Bacillus	1	Anterior_nares	#8000ff	7.0	0.0	#ffa558	#8000ff
19	Atopobium	2	Saliva	#7effb5	8.0	0.0	#ff592d	#8000ff
20	Bulleidia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
21	Actinobaculum	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
22	Bulleidia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
23	Afipia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
24	Bulleidia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
25	Aggregatibacter	2	Mixed	#cccccc	3.0	1.0	#2adddd	#ff0000
26	Campylobacter	2	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
27	Abiotrophia	2	Buccal_mucosa	#1996f3	9.0	0.0	#ff0000	#8000ff
28	Campylobacter	2	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
29	Actinomyces	2	Supragingival_plaque	#ff964f	8.0	0.0	#ff592d	#8000ff
30	Campylobacter	2	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
31	Alistipes	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
32	Campylobacter	2	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
33	Atopobium	2	Saliva	#7effb5	8.0	0.0	#ff592d	#8000ff
34	Campylobacter	2	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
35	Bacillus	1	Anterior_nares	#8000ff	7.0	0.0	#ffa558	#8000ff
36	Capnocytophaga	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
37	Afipia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
38	Capnocytophaga	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
39	Aggregatibacter	2	Mixed	#cccccc	3.0	1.0	#2adddd	#ff0000
40	Capnocytophaga	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
41	Bulleidia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
42	Cardiobacterium	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
43	Afipia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
44	Cardiobacterium	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
45	Aggregatibacter	2	Mixed	#cccccc	3.0	1.0	#2adddd	#ff0000
46	Cardiobacterium	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
47	Bulleidia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
48	Cardiobacterium	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
49	Capnocytophaga	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
50	Catonella	2	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
51	Abiotrophia	2	Buccal_mucosa	#1996f3	9.0	0.0	#ff0000	#8000ff
52	Catonella	2	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
53	Actinomyces	2	Supragingival_plaque	#ff964f	8.0	0.0	#ff592d	#8000ff
54	Catonella	2	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
55	Alistipes	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
56	Catonella	2	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
57	Atopobium	2	Saliva	#7effb5	8.0	0.0	#ff592d	#8000ff
58	Catonella	2	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
59	Bacillus	1	Anterior_nares	#8000ff	7.0	0.0	#ffa558	#8000ff
60	Catonella	2	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
61	Campylobacter	2	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
62	Corynebacterium	2	Supragingival_plaque	#ff964f	1.0	1.0	#4856fb	#ff0000
63	Actinobaculum	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
64	Corynebacterium	2	Supragingival_plaque	#ff964f	1.0	1.0	#4856fb	#ff0000
65	Afipia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
66	Corynebacterium	2	Supragingival_plaque	#ff964f	1.0	1.0	#4856fb	#ff0000
67	Aggregatibacter	2	Mixed	#cccccc	3.0	1.0	#2adddd	#ff0000
68	Corynebacterium	2	Supragingival_plaque	#ff964f	1.0	1.0	#4856fb	#ff0000
69	Bulleidia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
70	Corynebacterium	2	Supragingival_plaque	#ff964f	1.0	1.0	#4856fb	#ff0000
71	Capnocytophaga	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
72	Corynebacterium	2	Supragingival_plaque	#ff964f	1.0	1.0	#4856fb	#ff0000
73	Cardiobacterium	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
74	Dialister	2	Stool	#b2f396	8.0	0.0	#ff592d	#8000ff
75	Actinomyces	2	Supragingival_plaque	#ff964f	8.0	0.0	#ff592d	#8000ff
76	Dialister	2	Stool	#b2f396	8.0	0.0	#ff592d	#8000ff
77	Alistipes	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
78	Dialister	2	Stool	#b2f396	8.0	0.0	#ff592d	#8000ff
79	Atopobium	2	Saliva	#7effb5	8.0	0.0	#ff592d	#8000ff
80	Dialister	2	Stool	#b2f396	8.0	0.0	#ff592d	#8000ff
81	Bacillus	1	Anterior_nares	#8000ff	7.0	0.0	#ffa558	#8000ff
82	Dialister	2	Stool	#b2f396	8.0	0.0	#ff592d	#8000ff
83	Campylobacter	2	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
84	Dialister	2	Stool	#b2f396	8.0	0.0	#ff592d	#8000ff
85	Catonella	2	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
86	Eggerthia	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
87	Actinobaculum	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
88	Eggerthia	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
89	Afipia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
90	Eggerthia	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
91	Aggregatibacter	2	Mixed	#cccccc	3.0	1.0	#2adddd	#ff0000
92	Eggerthia	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
93	Bulleidia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
94	Eggerthia	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
95	Capnocytophaga	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
96	Eggerthia	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
97	Cardiobacterium	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
98	Eggerthia	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
99	Corynebacterium	2	Supragingival_plaque	#ff964f	1.0	1.0	#4856fb	#ff0000
100	Eikenella	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
101	Afipia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
102	Eikenella	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
103	Aggregatibacter	2	Mixed	#cccccc	3.0	1.0	#2adddd	#ff0000
104	Eikenella	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
105	Bulleidia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
106	Eikenella	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
107	Capnocytophaga	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
108	Eikenella	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
109	Cardiobacterium	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
110	Eikenella	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
111	Corynebacterium	2	Supragingival_plaque	#ff964f	1.0	1.0	#4856fb	#ff0000
112	Eikenella	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
113	Eggerthia	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
114	Eubacterium	2	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
115	Afipia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
116	Eubacterium	2	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
117	Bulleidia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
118	Eubacterium	2	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
119	Eggerthia	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
120	Faecalibacterium	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
121	Abiotrophia	2	Buccal_mucosa	#1996f3	9.0	0.0	#ff0000	#8000ff
122	Faecalibacterium	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
123	Actinomyces	2	Supragingival_plaque	#ff964f	8.0	0.0	#ff592d	#8000ff
124	Faecalibacterium	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
125	Alistipes	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
126	Faecalibacterium	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
127	Atopobium	2	Saliva	#7effb5	8.0	0.0	#ff592d	#8000ff
128	Faecalibacterium	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
129	Bacillus	1	Anterior_nares	#8000ff	7.0	0.0	#ffa558	#8000ff
130	Faecalibacterium	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
131	Campylobacter	2	Saliva	#7effb5	7.0	0.0	#ffa558	#8000ff
132	Faecalibacterium	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
133	Catonella	2	Subgingival_plaque	#e4cf74	7.0	0.0	#ffa558	#8000ff
134	Faecalibacterium	1	Stool	#b2f396	7.0	0.0	#ffa558	#8000ff
135	Dialister	2	Stool	#b2f396	8.0	0.0	#ff592d	#8000ff
136	Filifactor	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
137	Actinobaculum	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
138	Filifactor	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
139	Afipia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
140	Filifactor	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
141	Aggregatibacter	2	Mixed	#cccccc	3.0	1.0	#2adddd	#ff0000
142	Filifactor	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
143	Bulleidia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
144	Filifactor	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
145	Capnocytophaga	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
146	Filifactor	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
147	Cardiobacterium	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
148	Filifactor	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
149	Corynebacterium	2	Supragingival_plaque	#ff964f	1.0	1.0	#4856fb	#ff0000
150	Filifactor	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
151	Eggerthia	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
152	Filifactor	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
153	Eikenella	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
154	Filifactor	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
155	Eubacterium	2	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
156	Fusobacterium	2	Tongue_dorsum	#ff0000	3.0	1.0	#2adddd	#ff0000
157	Afipia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
158	Fusobacterium	2	Tongue_dorsum	#ff0000	3.0	1.0	#2adddd	#ff0000
159	Aggregatibacter	2	Mixed	#cccccc	3.0	1.0	#2adddd	#ff0000
160	Fusobacterium	2	Tongue_dorsum	#ff0000	3.0	1.0	#2adddd	#ff0000
161	Bulleidia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
162	Fusobacterium	2	Tongue_dorsum	#ff0000	3.0	1.0	#2adddd	#ff0000
163	Capnocytophaga	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
164	Fusobacterium	2	Tongue_dorsum	#ff0000	3.0	1.0	#2adddd	#ff0000
165	Cardiobacterium	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
166	Fusobacterium	2	Tongue_dorsum	#ff0000	3.0	1.0	#2adddd	#ff0000
167	Corynebacterium	2	Supragingival_plaque	#ff964f	1.0	1.0	#4856fb	#ff0000
168	Fusobacterium	2	Tongue_dorsum	#ff0000	3.0	1.0	#2adddd	#ff0000
169	Eggerthia	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
170	Fusobacterium	2	Tongue_dorsum	#ff0000	3.0	1.0	#2adddd	#ff0000
171	Eikenella	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
172	Fusobacterium	2	Tongue_dorsum	#ff0000	3.0	1.0	#2adddd	#ff0000
173	Filifactor	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
174	Gemella	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
175	Afipia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
176	Gemella	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
177	Aggregatibacter	2	Mixed	#cccccc	3.0	1.0	#2adddd	#ff0000
178	Gemella	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
179	Bulleidia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
180	Gemella	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
181	Capnocytophaga	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
182	Gemella	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
183	Cardiobacterium	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
184	Gemella	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
185	Corynebacterium	2	Supragingival_plaque	#ff964f	1.0	1.0	#4856fb	#ff0000
186	Gemella	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
187	Eggerthia	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
188	Gemella	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
189	Eikenella	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
190	Gemella	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
191	Filifactor	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
192	Gemella	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
193	Fusobacterium	2	Tongue_dorsum	#ff0000	3.0	1.0	#2adddd	#ff0000
194	Granulicatella	1	Attached	#4e4dfc	4.0	1.0	#62fbc4	#ff0000
195	Actinobaculum	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
196	Granulicatella	1	Attached	#4e4dfc	4.0	1.0	#62fbc4	#ff0000
197	Afipia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
198	Granulicatella	1	Attached	#4e4dfc	4.0	1.0	#62fbc4	#ff0000
199	Aggregatibacter	2	Mixed	#cccccc	3.0	1.0	#2adddd	#ff0000
200	Granulicatella	1	Attached	#4e4dfc	4.0	1.0	#62fbc4	#ff0000
201	Bulleidia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
202	Granulicatella	1	Attached	#4e4dfc	4.0	1.0	#62fbc4	#ff0000
203	Capnocytophaga	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
204	Granulicatella	1	Attached	#4e4dfc	4.0	1.0	#62fbc4	#ff0000
205	Cardiobacterium	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
206	Granulicatella	1	Attached	#4e4dfc	4.0	1.0	#62fbc4	#ff0000
207	Corynebacterium	2	Supragingival_plaque	#ff964f	1.0	1.0	#4856fb	#ff0000
208	Granulicatella	1	Attached	#4e4dfc	4.0	1.0	#62fbc4	#ff0000
209	Eggerthia	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
210	Granulicatella	1	Attached	#4e4dfc	4.0	1.0	#62fbc4	#ff0000
211	Eikenella	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
212	Granulicatella	1	Attached	#4e4dfc	4.0	1.0	#62fbc4	#ff0000
213	Eubacterium	2	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
214	Granulicatella	1	Attached	#4e4dfc	4.0	1.0	#62fbc4	#ff0000
215	Filifactor	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
216	Granulicatella	1	Attached	#4e4dfc	4.0	1.0	#62fbc4	#ff0000
217	Fusobacterium	2	Tongue_dorsum	#ff0000	3.0	1.0	#2adddd	#ff0000
218	Granulicatella	1	Attached	#4e4dfc	4.0	1.0	#62fbc4	#ff0000
219	Gemella	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
220	Haemophilus	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
221	Actinobaculum	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
222	Haemophilus	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
223	Afipia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
224	Haemophilus	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
225	Aggregatibacter	2	Mixed	#cccccc	3.0	1.0	#2adddd	#ff0000
226	Haemophilus	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
227	Bulleidia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
228	Haemophilus	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
229	Capnocytophaga	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
230	Haemophilus	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
231	Cardiobacterium	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
232	Haemophilus	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
233	Corynebacterium	2	Supragingival_plaque	#ff964f	1.0	1.0	#4856fb	#ff0000
234	Haemophilus	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
235	Eggerthia	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
236	Haemophilus	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
237	Eikenella	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
238	Haemophilus	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
239	Filifactor	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
240	Haemophilus	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
241	Fusobacterium	2	Tongue_dorsum	#ff0000	3.0	1.0	#2adddd	#ff0000
242	Haemophilus	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
243	Gemella	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
244	Haemophilus	2	Buccal_mucosa	#1996f3	3.0	1.0	#2adddd	#ff0000
245	Granulicatella	1	Attached	#4e4dfc	4.0	1.0	#62fbc4	#ff0000
246	Johnsonella	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
247	Actinobaculum	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
248	Johnsonella	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
249	Afipia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
250	Johnsonella	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
251	Aggregatibacter	2	Mixed	#cccccc	3.0	1.0	#2adddd	#ff0000
252	Johnsonella	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
253	Bulleidia	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
254	Johnsonella	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
255	Capnocytophaga	2	Supragingival_plaque	#ff964f	3.0	1.0	#2adddd	#ff0000
256	Johnsonella	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
257	Cardiobacterium	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
258	Johnsonella	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
259	Corynebacterium	2	Supragingival_plaque	#ff964f	1.0	1.0	#4856fb	#ff0000
260	Johnsonella	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
261	Eggerthia	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
262	Johnsonella	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
263	Eikenella	2	Subgingival_plaque	#e4cf74	2.0	1.0	#10a2f0	#ff0000
264	Johnsonella	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
265	Eubacterium	2	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
266	Johnsonella	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
267	Filifactor	1	Throat	#ff5029	4.0	1.0	#62fbc4	#ff0000
268	Johnsonella	1	Subgingival_plaque	#e4cf74	4.0	1.0	#62fbc4	#ff0000
