	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
0	Acidovorax	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
1	Abiotrophia	1	Buccal_mucosa	#1996f3	1.0	0.0	#01b3ec	#8000ff
2	Acinetobacter	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
3	Abiotrophia	1	Buccal_mucosa	#1996f3	1.0	0.0	#01b3ec	#8000ff
4	Acinetobacter	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
5	Acidovorax	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
6	Actinobaculum	2	Supragingival_plaque	#ff964f	2.0	0.0	#7effb5	#8000ff
7	Abiotrophia	1	Buccal_mucosa	#1996f3	1.0	0.0	#01b3ec	#8000ff
8	Actinobaculum	2	Supragingival_plaque	#ff964f	2.0	0.0	#7effb5	#8000ff
9	Acidovorax	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
10	Actinobaculum	2	Supragingival_plaque	#ff964f	2.0	0.0	#7effb5	#8000ff
11	Acinetobacter	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
12	Actinomyces	2	Supragingival_plaque	#ff964f	0.0	0.0	#8000ff	#8000ff
13	Abiotrophia	1	Buccal_mucosa	#1996f3	1.0	0.0	#01b3ec	#8000ff
14	Actinomyces	2	Supragingival_plaque	#ff964f	0.0	0.0	#8000ff	#8000ff
15	Acidovorax	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
16	Actinomyces	2	Supragingival_plaque	#ff964f	0.0	0.0	#8000ff	#8000ff
17	Acinetobacter	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
18	Afipia	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
19	Abiotrophia	1	Buccal_mucosa	#1996f3	1.0	0.0	#01b3ec	#8000ff
20	Afipia	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
21	Acidovorax	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
22	Afipia	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
23	Acinetobacter	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
24	Afipia	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
25	Actinobaculum	2	Supragingival_plaque	#ff964f	2.0	0.0	#7effb5	#8000ff
26	Afipia	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
27	Actinomyces	2	Supragingival_plaque	#ff964f	0.0	0.0	#8000ff	#8000ff
28	Aggregatibacter	2	Mixed	#cccccc	0.0	0.0	#8000ff	#8000ff
29	Abiotrophia	1	Buccal_mucosa	#1996f3	1.0	0.0	#01b3ec	#8000ff
30	Aggregatibacter	2	Mixed	#cccccc	0.0	0.0	#8000ff	#8000ff
31	Acidovorax	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
32	Aggregatibacter	2	Mixed	#cccccc	0.0	0.0	#8000ff	#8000ff
33	Acinetobacter	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
34	Aggregatibacter	2	Mixed	#cccccc	0.0	0.0	#8000ff	#8000ff
35	Afipia	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
36	Alistipes	1	Stool	#b2f396	1.0	0.0	#01b3ec	#8000ff
37	Abiotrophia	1	Buccal_mucosa	#1996f3	1.0	0.0	#01b3ec	#8000ff
38	Alistipes	1	Stool	#b2f396	1.0	0.0	#01b3ec	#8000ff
39	Acidovorax	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
40	Alistipes	1	Stool	#b2f396	1.0	0.0	#01b3ec	#8000ff
41	Acinetobacter	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
42	Alistipes	1	Stool	#b2f396	1.0	0.0	#01b3ec	#8000ff
43	Actinobaculum	2	Supragingival_plaque	#ff964f	2.0	0.0	#7effb5	#8000ff
44	Alistipes	1	Stool	#b2f396	1.0	0.0	#01b3ec	#8000ff
45	Actinomyces	2	Supragingival_plaque	#ff964f	0.0	0.0	#8000ff	#8000ff
46	Alistipes	1	Stool	#b2f396	1.0	0.0	#01b3ec	#8000ff
47	Afipia	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
48	Alistipes	1	Stool	#b2f396	1.0	0.0	#01b3ec	#8000ff
49	Aggregatibacter	2	Mixed	#cccccc	0.0	0.0	#8000ff	#8000ff
50	Anaeroglobus	1	Saliva	#7effb5	3.0	1.0	#feb562	#ff0000
51	Alloprevotella	2	Attached	#4e4dfc	3.0	1.0	#feb562	#ff0000
52	Atopobium	2	Saliva	#7effb5	1.0	0.0	#01b3ec	#8000ff
53	Abiotrophia	1	Buccal_mucosa	#1996f3	1.0	0.0	#01b3ec	#8000ff
54	Atopobium	2	Saliva	#7effb5	1.0	0.0	#01b3ec	#8000ff
55	Acidovorax	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
56	Atopobium	2	Saliva	#7effb5	1.0	0.0	#01b3ec	#8000ff
57	Acinetobacter	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
58	Atopobium	2	Saliva	#7effb5	1.0	0.0	#01b3ec	#8000ff
59	Afipia	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
60	Atopobium	2	Saliva	#7effb5	1.0	0.0	#01b3ec	#8000ff
61	Alistipes	1	Stool	#b2f396	1.0	0.0	#01b3ec	#8000ff
62	Bacillus	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
63	Abiotrophia	1	Buccal_mucosa	#1996f3	1.0	0.0	#01b3ec	#8000ff
64	Bacillus	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
65	Acidovorax	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
66	Bacillus	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
67	Acinetobacter	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
68	Bacillus	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
69	Actinobaculum	2	Supragingival_plaque	#ff964f	2.0	0.0	#7effb5	#8000ff
70	Bacillus	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
71	Actinomyces	2	Supragingival_plaque	#ff964f	0.0	0.0	#8000ff	#8000ff
72	Bacillus	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
73	Afipia	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
74	Bacillus	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
75	Aggregatibacter	2	Mixed	#cccccc	0.0	0.0	#8000ff	#8000ff
76	Bacillus	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
77	Alistipes	1	Stool	#b2f396	1.0	0.0	#01b3ec	#8000ff
78	Bacillus	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
79	Atopobium	2	Saliva	#7effb5	1.0	0.0	#01b3ec	#8000ff
80	Bacteroides	2	Stool	#b2f396	3.0	1.0	#feb562	#ff0000
81	Alloprevotella	2	Attached	#4e4dfc	3.0	1.0	#feb562	#ff0000
82	Bacteroides	2	Stool	#b2f396	3.0	1.0	#feb562	#ff0000
83	Anaeroglobus	1	Saliva	#7effb5	3.0	1.0	#feb562	#ff0000
84	Bradyrhizobium	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
85	Abiotrophia	1	Buccal_mucosa	#1996f3	1.0	0.0	#01b3ec	#8000ff
86	Bradyrhizobium	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
87	Acidovorax	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
88	Bradyrhizobium	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
89	Acinetobacter	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
90	Bradyrhizobium	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
91	Actinobaculum	2	Supragingival_plaque	#ff964f	2.0	0.0	#7effb5	#8000ff
92	Bradyrhizobium	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
93	Actinomyces	2	Supragingival_plaque	#ff964f	0.0	0.0	#8000ff	#8000ff
94	Bradyrhizobium	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
95	Afipia	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
96	Bradyrhizobium	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
97	Aggregatibacter	2	Mixed	#cccccc	0.0	0.0	#8000ff	#8000ff
98	Bradyrhizobium	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
99	Alistipes	1	Stool	#b2f396	1.0	0.0	#01b3ec	#8000ff
100	Bradyrhizobium	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
101	Atopobium	2	Saliva	#7effb5	1.0	0.0	#01b3ec	#8000ff
102	Bradyrhizobium	1	Throat	#ff5029	1.0	0.0	#01b3ec	#8000ff
103	Bacillus	1	Anterior_nares	#8000ff	1.0	0.0	#01b3ec	#8000ff
104	Brochothrix	1	Saliva	#7effb5	3.0	1.0	#feb562	#ff0000
105	Alloprevotella	2	Attached	#4e4dfc	3.0	1.0	#feb562	#ff0000
106	Brochothrix	1	Saliva	#7effb5	3.0	1.0	#feb562	#ff0000
107	Anaeroglobus	1	Saliva	#7effb5	3.0	1.0	#feb562	#ff0000
108	Brochothrix	1	Saliva	#7effb5	3.0	1.0	#feb562	#ff0000
109	Bacteroides	2	Stool	#b2f396	3.0	1.0	#feb562	#ff0000
110	Campylobacter	2	Saliva	#7effb5	3.0	1.0	#feb562	#ff0000
111	Alloprevotella	2	Attached	#4e4dfc	3.0	1.0	#feb562	#ff0000
112	Campylobacter	2	Saliva	#7effb5	3.0	1.0	#feb562	#ff0000
113	Anaeroglobus	1	Saliva	#7effb5	3.0	1.0	#feb562	#ff0000
114	Campylobacter	2	Saliva	#7effb5	3.0	1.0	#feb562	#ff0000
115	Bacteroides	2	Stool	#b2f396	3.0	1.0	#feb562	#ff0000
116	Campylobacter	2	Saliva	#7effb5	3.0	1.0	#feb562	#ff0000
117	Brochothrix	1	Saliva	#7effb5	3.0	1.0	#feb562	#ff0000
118	Capnocytophaga	2	Supragingival_plaque	#ff964f	2.0	0.0	#7effb5	#8000ff
119	Abiotrophia	1	Buccal_mucosa	#1996f3	1.0	0.0	#01b3ec	#8000ff
