	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
0	Akkermansia	Aggregatibacter	0.912710162929	1	8	Stool	Mixed	Intertype	#b2f396	#cccccc	#cccccc	3.0	3.0	#feb562	#b2f396
1	Aggregatibacter	Akkermansia	0.912710162929	8	1	Mixed	Stool	Intertype	#cccccc	#b2f396	#cccccc	3.0	3.0	#feb562	#b2f396
2	Alicycliphilus	Acidovorax	0.987267385173	1	5	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	4.0	1.0	#ff0000	#1996f3
3	Acidovorax	Alicycliphilus	0.987267385173	5	1	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	4.0	1.0	#ff0000	#1996f3
4	Alicycliphilus	Actinomyces	0.8580779891220001	1	8	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	4.0	1.0	#ff0000	#1996f3
5	Actinomyces	Alicycliphilus	0.8580779891220001	8	1	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	4.0	1.0	#ff0000	#1996f3
6	Alistipes	Akkermansia	0.999035286036	4	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	3.0	#feb562	#b2f396
7	Akkermansia	Alistipes	0.999035286036	1	4	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	3.0	#feb562	#b2f396
8	Anaeroglobus	Abiotrophia	0.92078305264	1	8	Saliva	Buccal_mucosa	Intertype	#7effb5	#1996f3	#cccccc	0.0	0.0	#8000ff	#8000ff
9	Abiotrophia	Anaeroglobus	0.92078305264	8	1	Buccal_mucosa	Saliva	Intertype	#1996f3	#7effb5	#cccccc	0.0	0.0	#8000ff	#8000ff
10	Avibacterium	Acinetobacter	0.9441175905	2	4	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	1.0	2.0	#01b3ec	#4df3ce
11	Acinetobacter	Avibacterium	0.9441175905	4	2	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	1.0	2.0	#01b3ec	#4df3ce
12	Bacillus	Acinetobacter	0.856348838578	4	4	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	1.0	2.0	#01b3ec	#4df3ce
13	Acinetobacter	Bacillus	0.856348838578	4	4	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	1.0	2.0	#01b3ec	#4df3ce
14	Bacillus	Avibacterium	0.8703882797779999	4	2	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	1.0	2.0	#01b3ec	#4df3ce
15	Avibacterium	Bacillus	0.8703882797779999	2	4	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	1.0	2.0	#01b3ec	#4df3ce
16	Basfia	Acinetobacter	0.9441175905	2	4	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	1.0	2.0	#01b3ec	#4df3ce
17	Acinetobacter	Basfia	0.9441175905	4	2	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	1.0	2.0	#01b3ec	#4df3ce
18	Basfia	Avibacterium	1.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	1.0	2.0	#01b3ec	#4df3ce
19	Avibacterium	Basfia	1.0	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	1.0	2.0	#01b3ec	#4df3ce
20	Basfia	Bacillus	0.8703882797779999	2	4	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	1.0	2.0	#01b3ec	#4df3ce
21	Bacillus	Basfia	0.8703882797779999	4	2	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	1.0	2.0	#01b3ec	#4df3ce
22	Bibersteinia	Acinetobacter	0.819272049176	2	4	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	1.0	2.0	#01b3ec	#4df3ce
23	Acinetobacter	Bibersteinia	0.819272049176	4	2	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	1.0	2.0	#01b3ec	#4df3ce
24	Bibersteinia	Avibacterium	0.933256525257	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	1.0	2.0	#01b3ec	#4df3ce
25	Avibacterium	Bibersteinia	0.933256525257	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	1.0	2.0	#01b3ec	#4df3ce
26	Bibersteinia	Bacillus	0.812295541611	2	4	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	1.0	2.0	#01b3ec	#4df3ce
27	Bacillus	Bibersteinia	0.812295541611	4	2	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	1.0	2.0	#01b3ec	#4df3ce
28	Bibersteinia	Basfia	0.933256525257	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	1.0	2.0	#01b3ec	#4df3ce
29	Basfia	Bibersteinia	0.933256525257	2	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	1.0	2.0	#01b3ec	#4df3ce
30	Bifidobacterium	Akkermansia	0.882497503293	2	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	3.0	#feb562	#b2f396
31	Akkermansia	Bifidobacterium	0.882497503293	1	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	3.0	#feb562	#b2f396
32	Blautia	Bifidobacterium	0.933256525257	2	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	3.0	#feb562	#b2f396
33	Bifidobacterium	Blautia	0.933256525257	2	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	3.0	#feb562	#b2f396
34	Brochothrix	Acidovorax	0.987267385173	1	5	Saliva	Anterior_nares	Intertype	#7effb5	#8000ff	#cccccc	4.0	1.0	#ff0000	#1996f3
35	Acidovorax	Brochothrix	0.987267385173	5	1	Anterior_nares	Saliva	Intertype	#8000ff	#7effb5	#cccccc	4.0	1.0	#ff0000	#1996f3
36	Brochothrix	Actinomyces	0.8580779891220001	1	8	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	4.0	1.0	#ff0000	#1996f3
37	Actinomyces	Brochothrix	0.8580779891220001	8	1	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	4.0	1.0	#ff0000	#1996f3
38	Brochothrix	Alicycliphilus	1.0	1	1	Saliva	Buccal_mucosa	Intertype	#7effb5	#1996f3	#cccccc	4.0	1.0	#ff0000	#1996f3
39	Alicycliphilus	Brochothrix	1.0	1	1	Buccal_mucosa	Saliva	Intertype	#1996f3	#7effb5	#cccccc	4.0	1.0	#ff0000	#1996f3
40	Bulleidia	Acidovorax	0.987267385173	1	5	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	4.0	1.0	#ff0000	#1996f3
41	Acidovorax	Bulleidia	0.987267385173	5	1	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	4.0	1.0	#ff0000	#1996f3
42	Bulleidia	Actinomyces	0.8580779891220001	1	8	Throat	Supragingival_plaque	Intertype	#ff5029	#ff964f	#cccccc	4.0	1.0	#ff0000	#1996f3
43	Actinomyces	Bulleidia	0.8580779891220001	8	1	Supragingival_plaque	Throat	Intertype	#ff964f	#ff5029	#cccccc	4.0	1.0	#ff0000	#1996f3
44	Bulleidia	Alicycliphilus	1.0	1	1	Throat	Buccal_mucosa	Intertype	#ff5029	#1996f3	#cccccc	4.0	1.0	#ff0000	#1996f3
45	Alicycliphilus	Bulleidia	1.0	1	1	Buccal_mucosa	Throat	Intertype	#1996f3	#ff5029	#cccccc	4.0	1.0	#ff0000	#1996f3
46	Bulleidia	Brochothrix	1.0	1	1	Throat	Saliva	Intertype	#ff5029	#7effb5	#cccccc	4.0	1.0	#ff0000	#1996f3
47	Brochothrix	Bulleidia	1.0	1	1	Saliva	Throat	Intertype	#7effb5	#ff5029	#cccccc	4.0	1.0	#ff0000	#1996f3
48	Butyrivibrio	Aggregatibacter	0.912710162929	1	8	Stool	Mixed	Intertype	#b2f396	#cccccc	#cccccc	3.0	3.0	#feb562	#b2f396
49	Aggregatibacter	Butyrivibrio	0.912710162929	8	1	Mixed	Stool	Intertype	#cccccc	#b2f396	#cccccc	3.0	3.0	#feb562	#b2f396
50	Butyrivibrio	Akkermansia	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	3.0	#feb562	#b2f396
51	Akkermansia	Butyrivibrio	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	3.0	#feb562	#b2f396
52	Butyrivibrio	Alistipes	0.999035286036	1	4	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	3.0	#feb562	#b2f396
53	Alistipes	Butyrivibrio	0.999035286036	4	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	3.0	#feb562	#b2f396
54	Butyrivibrio	Bacteroides	0.924482750823	1	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	3.0	#feb562	#b2f396
55	Bacteroides	Butyrivibrio	0.924482750823	6	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	3.0	#feb562	#b2f396
56	Butyrivibrio	Bifidobacterium	0.882497503293	1	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	3.0	#feb562	#b2f396
57	Bifidobacterium	Butyrivibrio	0.882497503293	2	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	3.0	#feb562	#b2f396
58	Cardiobacterium	Anaeroglobus	0.835917318863	6	1	Subgingival_plaque	Saliva	Intertype	#e4cf74	#7effb5	#cccccc	0.0	0.0	#8000ff	#8000ff
59	Anaeroglobus	Cardiobacterium	0.835917318863	1	6	Saliva	Subgingival_plaque	Intertype	#7effb5	#e4cf74	#cccccc	0.0	0.0	#8000ff	#8000ff
60	Centipeda	Acidovorax	0.987267385173	1	5	Subgingival_plaque	Anterior_nares	Intertype	#e4cf74	#8000ff	#cccccc	4.0	1.0	#ff0000	#1996f3
61	Acidovorax	Centipeda	0.987267385173	5	1	Anterior_nares	Subgingival_plaque	Intertype	#8000ff	#e4cf74	#cccccc	4.0	1.0	#ff0000	#1996f3
62	Centipeda	Actinomyces	0.8580779891220001	1	8	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	4.0	1.0	#ff0000	#1996f3
63	Actinomyces	Centipeda	0.8580779891220001	8	1	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	4.0	1.0	#ff0000	#1996f3
64	Centipeda	Alicycliphilus	1.0	1	1	Subgingival_plaque	Buccal_mucosa	Intertype	#e4cf74	#1996f3	#cccccc	4.0	1.0	#ff0000	#1996f3
