	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
0	Afipia	Acidovorax	1.0	1	1	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	4.0	0.0	#ff0000	#8000ff
1	Acidovorax	Afipia	1.0	1	1	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	4.0	0.0	#ff0000	#8000ff
2	Alistipes	Akkermansia	0.883883476483	2	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	2.0	#feb562	#7effb5
3	Akkermansia	Alistipes	0.883883476483	1	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	2.0	#feb562	#7effb5
4	Alloprevotella	Akkermansia	1.0	1	1	Attached	Stool	Intertype	#4e4dfc	#b2f396	#cccccc	3.0	2.0	#feb562	#7effb5
5	Akkermansia	Alloprevotella	1.0	1	1	Stool	Attached	Intertype	#b2f396	#4e4dfc	#cccccc	3.0	2.0	#feb562	#7effb5
6	Alloprevotella	Alistipes	0.883883476483	1	2	Attached	Stool	Intertype	#4e4dfc	#b2f396	#cccccc	3.0	2.0	#feb562	#7effb5
7	Alistipes	Alloprevotella	0.883883476483	2	1	Stool	Attached	Intertype	#b2f396	#4e4dfc	#cccccc	3.0	2.0	#feb562	#7effb5
8	Bacillus	Acidovorax	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	0.0	#ff0000	#8000ff
9	Acidovorax	Bacillus	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	4.0	0.0	#ff0000	#8000ff
10	Bacillus	Afipia	1.0	1	1	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	4.0	0.0	#ff0000	#8000ff
11	Afipia	Bacillus	1.0	1	1	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	4.0	0.0	#ff0000	#8000ff
12	Bosea	Acidovorax	1.0	1	1	Posterior_fornix	Anterior_nares	Intertype	#4df3ce	#8000ff	#cccccc	4.0	0.0	#ff0000	#8000ff
13	Acidovorax	Bosea	1.0	1	1	Anterior_nares	Posterior_fornix	Intertype	#8000ff	#4df3ce	#cccccc	4.0	0.0	#ff0000	#8000ff
14	Bosea	Afipia	1.0	1	1	Posterior_fornix	Throat	Intertype	#4df3ce	#ff5029	#cccccc	4.0	0.0	#ff0000	#8000ff
15	Afipia	Bosea	1.0	1	1	Throat	Posterior_fornix	Intertype	#ff5029	#4df3ce	#cccccc	4.0	0.0	#ff0000	#8000ff
