	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
0	Acidovorax	Abiotrophia	1.0	1	1	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	1.0	0.0	#01b3ec	#8000ff
1	Abiotrophia	Acidovorax	1.0	1	1	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	1.0	0.0	#01b3ec	#8000ff
2	Acinetobacter	Abiotrophia	1.0	1	1	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	1.0	0.0	#01b3ec	#8000ff
3	Abiotrophia	Acinetobacter	1.0	1	1	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	1.0	0.0	#01b3ec	#8000ff
4	Acinetobacter	Acidovorax	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	1.0	0.0	#01b3ec	#8000ff
5	Acidovorax	Acinetobacter	1.0	1	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	1.0	0.0	#01b3ec	#8000ff
6	Actinobaculum	Abiotrophia	1.0	2	1	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	2.0	0.0	#7effb5	#8000ff
7	Abiotrophia	Actinobaculum	1.0	1	2	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	1.0	0.0	#01b3ec	#8000ff
8	Actinobaculum	Acidovorax	1.0	2	1	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	2.0	0.0	#7effb5	#8000ff
9	Acidovorax	Actinobaculum	1.0	1	2	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	1.0	0.0	#01b3ec	#8000ff
10	Actinobaculum	Acinetobacter	1.0	2	1	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	2.0	0.0	#7effb5	#8000ff
11	Acinetobacter	Actinobaculum	1.0	1	2	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	1.0	0.0	#01b3ec	#8000ff
12	Actinomyces	Abiotrophia	1.0	2	1	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	0.0	0.0	#8000ff	#8000ff
13	Abiotrophia	Actinomyces	1.0	1	2	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	1.0	0.0	#01b3ec	#8000ff
14	Actinomyces	Acidovorax	1.0	2	1	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	0.0	0.0	#8000ff	#8000ff
15	Acidovorax	Actinomyces	1.0	1	2	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	1.0	0.0	#01b3ec	#8000ff
16	Actinomyces	Acinetobacter	1.0	2	1	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	0.0	0.0	#8000ff	#8000ff
17	Acinetobacter	Actinomyces	1.0	1	2	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	1.0	0.0	#01b3ec	#8000ff
18	Afipia	Abiotrophia	1.0	1	1	Throat	Buccal_mucosa	Intertype	#ff5029	#1996f3	#cccccc	1.0	0.0	#01b3ec	#8000ff
19	Abiotrophia	Afipia	1.0	1	1	Buccal_mucosa	Throat	Intertype	#1996f3	#ff5029	#cccccc	1.0	0.0	#01b3ec	#8000ff
20	Afipia	Acidovorax	1.0	1	1	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	1.0	0.0	#01b3ec	#8000ff
21	Acidovorax	Afipia	1.0	1	1	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	1.0	0.0	#01b3ec	#8000ff
22	Afipia	Acinetobacter	1.0	1	1	Throat	Anterior_nares	Intertype	#ff5029	#8000ff	#cccccc	1.0	0.0	#01b3ec	#8000ff
23	Acinetobacter	Afipia	1.0	1	1	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	1.0	0.0	#01b3ec	#8000ff
24	Afipia	Actinobaculum	1.0	1	2	Throat	Supragingival_plaque	Intertype	#ff5029	#ff964f	#cccccc	1.0	0.0	#01b3ec	#8000ff
25	Actinobaculum	Afipia	1.0	2	1	Supragingival_plaque	Throat	Intertype	#ff964f	#ff5029	#cccccc	2.0	0.0	#7effb5	#8000ff
