	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
0	Actinobaculum	Abiotrophia	0.970378401061	1	3	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	4.0	0.0	#d4dd80	#8000ff
1	Abiotrophia	Actinobaculum	0.970378401061	3	1	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	4.0	0.0	#d4dd80	#8000ff
2	Aggregatibacter	Actinobaculum	0.804341256079	4	1	Mixed	Supragingival_plaque	Intertype	#cccccc	#ff964f	#cccccc	4.0	0.0	#d4dd80	#8000ff
3	Actinobaculum	Aggregatibacter	0.804341256079	1	4	Supragingival_plaque	Mixed	Intertype	#ff964f	#cccccc	#cccccc	4.0	0.0	#d4dd80	#8000ff
4	Avibacterium	Actinobacillus	0.875	1	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	5.0	1.0	#ff8143	#2c7ef7
5	Actinobacillus	Avibacterium	0.875	2	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	5.0	1.0	#ff8143	#2c7ef7
6	Avibacterium	Alloprevotella	0.966072239913	1	5	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc	5.0	1.0	#ff8143	#2c7ef7
7	Alloprevotella	Avibacterium	0.966072239913	5	1	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc	5.0	1.0	#ff8143	#2c7ef7
8	Bifidobacterium	Anaeroglobus	0.875	2	1	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc	1.0	2.0	#2c7ef7	#2adddd
9	Anaeroglobus	Bifidobacterium	0.875	1	2	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc	1.0	2.0	#2c7ef7	#2adddd
10	Brochothrix	Actinomyces	0.862329007978	1	5	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	1.0	2.0	#2c7ef7	#2adddd
