TAXA	Abiotrophia	Acidovorax	Acinetobacter	Actinomyces	Aggregatibacter	Akkermansia	Alicycliphilus	Alistipes	Anaeroglobus	Avibacterium	Bacillus	Bacteroides	Basfia	Bibersteinia	Bifidobacterium	Blautia	Brochothrix	Bulleidia	Butyrivibrio	Cardiobacterium	Cellulomonas	Centipeda	Chlamydia	Clostridium	Comamonas	Conchiformibius	Coprococcus	Cryptobacterium	Dechloromonas	Dehalobacter	Dialister	Dorea	Echinicola	Elizabethkingia	Enterococcus	Escherichia	Faecalibacterium	Filifactor	Gallibacterium	Intestinimonas	Isoptericola	Kytococcus	Lactobacillus	Leptotrichia	Leucobacter	Leuconostoc	Mangrovimonas	Mannheimia	Mogibacterium	Mycobacterium	Mycoplasma	Necropsobacter	Odoribacter	Olsenella	Oribacterium	Oscillibacter	Oxalobacter	Parabacteroides	Paracoccus	Parvimonas	Pasteurella	Porphyromonas	Proteiniphilum	Pseudomonas	Psychrobacter	Riemerella	Roseburia	Ruminococcus	Sanguibacter	Scardovia	Serratia	Slackia	Sneathia	Sphingomonas	Stenotrophomonas	Stomatobaculum	Streptobacillus	Subdoligranulum	Tannerella	Thermus	Trueperella	Veillonella	Vibrio	Xylanimonas
Abiotrophia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9207830526398059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9207830526398059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidovorax	0.0	0.0	0.0	0.0	0.0	0.0	0.9872673851728523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9872673851728523	0.9872673851728524	0.0	0.0	0.0	0.9872673851728522	0.0	0.0	0.9872673851728523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9872673851728523	0.0	0.0	0.0	0.939813046416867	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9872673851728523	0.0	0.0	0.9872673851728523	0.9872673851728523	0.0	0.0	0.0	0.9872673851728523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9872673851728524	0.0	0.0	0.0	0.0	0.0	0.9872673851728523	0.9872673851728523	0.0	0.0	0.9872673851728523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acinetobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9441175904999113	0.8563488385776752	0.0	0.9441175904999113	0.8192720491762973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9441175904999113	0.0	0.0	0.9441175904999113	0.0	0.9441175904999113	0.0	0.0	0.0	0.8811725555574255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9441175904999113	0.0	0.0	0.0	0.0	0.9441175904999113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8222222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.9441175904999113	0.0	0.0	0.0	0.9441175904999112	0.0	0.0	0.0	0.0	0.0	0.8222222222222222	0.0
Actinomyces	0.0	0.0	0.0	0.0	0.0	0.0	0.858077989122464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8580779891224639	0.8580779891224641	0.0	0.0	0.0	0.8580779891224637	0.0	0.0	0.858077989122464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.858077989122464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.858077989122464	0.0	0.0	0.858077989122464	0.858077989122464	0.0	0.0	0.0	0.858077989122464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8580779891224641	0.0	0.0	0.0	0.0	0.0	0.858077989122464	0.858077989122464	0.0	0.0	0.858077989122464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aggregatibacter	0.0	0.0	0.0	0.0	0.0	0.9127101629292935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9127101629292935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9127101629292935	0.9127101629292935	0.0	0.0	0.0	0.9127101629292935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9127101629292935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9127101629292935	0.0	0.0	0.0	0.0	0.9127101629292935	0.9127101629292935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9127101629292935	0.0	0.0	0.0	0.0
Akkermansia	0.0	0.0	0.0	0.0	0.9127101629292935	0.0	0.0	0.9990352860356836	0.0	0.0	0.0	0.0	0.0	0.0	0.88249750329277	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.9047619047619047	0.0	0.0	1.0000000000000002	1.0000000000000002	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.9860214439999576	0.9945045819099847	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.8924632198306471	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.9998586405930031	0.0	0.9368194550239903	1.0000000000000002	1.0000000000000002	0.9949880651765477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9860214439999576	0.8305889243390772	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0
Alicycliphilus	0.0	0.9872673851728523	0.0	0.858077989122464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	1.0000000000000004	0.0	0.0	0.0	1.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.9938143736381274	0.0	0.9064183200369755	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.9686196045011369	0.0	0.0	0.0	0.0	0.9683296637314888	0.0	0.0	1.0000000000000002	0.0	0.0	1.0000000000000002	1.0000000000000002	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.9921593040474269	0.8569608078115039	0.0	0.0	0.0	0.8757549764126293	1.0000000000000004	0.0	0.0	0.0	0.9747317349608244	0.0	1.0000000000000002	1.0000000000000002	0.0	0.0	1.0000000000000002	0.9226386620921088	0.0	0.0	0.9072647087265551	0.0	0.0	0.0	0.0	0.0
Alistipes	0.0	0.0	0.0	0.0	0.0	0.9990352860356836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9990352860356835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9990352860356836	0.9990352860356836	0.0	0.0	0.0	0.9990352860356836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9990352860356836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9990352860356835	0.0	0.0	0.0	0.0	0.9990352860356836	0.9990352860356836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9990352860356836	0.0	0.0	0.0	0.0
Anaeroglobus	0.9207830526398059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8359173188630293	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88249750329277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9686196045011365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Avibacterium	0.0	0.0	0.9441175904999113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8703882797784894	0.0	1.0000000000000002	0.933256525257383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	1.0000000000000002	0.0	1.0000000000000002	0.0	0.0	0.0	0.9743547036924465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.8783100656536798	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8256462368368753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0000000000000002	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
