	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
0	Actinobaculum	Abiotrophia	0.970378401061	1	3	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	5
1	Abiotrophia	Actinobaculum	0.970378401061	3	1	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	5
2	Aggregatibacter	Actinobaculum	0.804341256079	4	1	Mixed	Supragingival_plaque	Intertype	#cccccc	#ff964f	#cccccc	5
3	Actinobaculum	Aggregatibacter	0.804341256079	1	4	Supragingival_plaque	Mixed	Intertype	#ff964f	#cccccc	#cccccc	5
4	Avibacterium	Actinobacillus	0.875	1	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	5
5	Actinobacillus	Avibacterium	0.875	2	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	5
6	Avibacterium	Alloprevotella	0.966072239913	1	5	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc	5
7	Alloprevotella	Avibacterium	0.966072239913	5	1	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc	5
8	Bifidobacterium	Anaeroglobus	0.875	2	1	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc	5
9	Anaeroglobus	Bifidobacterium	0.875	1	2	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc	5
10	Brochothrix	Actinomyces	0.862329007978	1	5	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	5
11	Actinomyces	Brochothrix	0.862329007978	5	1	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	5
12	Brochothrix	Atopobium	0.9089673319	1	5	Saliva	Saliva	Saliva	#7effb5	#7effb5	#7effb5	5
13	Atopobium	Brochothrix	0.9089673319	5	1	Saliva	Saliva	Saliva	#7effb5	#7effb5	#7effb5	5
14	Carnobacterium	Actinobaculum	0.836976881276	5	1	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	5
15	Actinobaculum	Carnobacterium	0.836976881276	1	5	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	5
16	Cellulomonas	Actinomyces	0.862329007978	5	5	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	5
17	Actinomyces	Cellulomonas	0.862329007978	5	5	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	5
18	Cellulomonas	Atopobium	0.9089673319	5	5	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc	5
19	Atopobium	Cellulomonas	0.9089673319	5	5	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc	5
20	Cellulomonas	Brochothrix	1.0	5	1	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc	5
21	Brochothrix	Cellulomonas	1.0	1	5	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc	5
22	Centipeda	Anaeroglobus	0.912870929175	5	1	Subgingival_plaque	Saliva	Intertype	#e4cf74	#7effb5	#cccccc	5
23	Anaeroglobus	Centipeda	0.912870929175	1	5	Saliva	Subgingival_plaque	Intertype	#7effb5	#e4cf74	#cccccc	5
24	Centipeda	Bifidobacterium	0.912870929175	5	2	Subgingival_plaque	Stool	Intertype	#e4cf74	#b2f396	#cccccc	5
25	Bifidobacterium	Centipeda	0.912870929175	2	5	Stool	Subgingival_plaque	Intertype	#b2f396	#e4cf74	#cccccc	5
26	Chryseobacterium	Abiotrophia	0.970378401061	1	3	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc	5
27	Abiotrophia	Chryseobacterium	0.970378401061	3	1	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc	5
28	Chryseobacterium	Actinobaculum	1.0	1	1	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc	5
29	Actinobaculum	Chryseobacterium	1.0	1	1	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc	5
30	Chryseobacterium	Aggregatibacter	0.804341256079	1	4	Attached	Mixed	Intertype	#4e4dfc	#cccccc	#cccccc	5
31	Aggregatibacter	Chryseobacterium	0.804341256079	4	1	Mixed	Attached	Intertype	#cccccc	#4e4dfc	#cccccc	5
32	Chryseobacterium	Carnobacterium	0.836976881276	1	5	Attached	Saliva	Intertype	#4e4dfc	#7effb5	#cccccc	5
33	Carnobacterium	Chryseobacterium	0.836976881276	5	1	Saliva	Attached	Intertype	#7effb5	#4e4dfc	#cccccc	5
34	Clostridium	Actinomyces	0.856564426338	3	5	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	5
35	Actinomyces	Clostridium	0.856564426338	5	3	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	5
36	Clostridium	Brochothrix	0.875	3	1	Stool	Saliva	Intertype	#b2f396	#7effb5	#cccccc	5
37	Brochothrix	Clostridium	0.875	1	3	Saliva	Stool	Intertype	#7effb5	#b2f396	#cccccc	5
38	Clostridium	Cellulomonas	0.875	3	5	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	5
39	Cellulomonas	Clostridium	0.875	5	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	5
40	Corynebacterium	Actinobaculum	0.860728562636	1	1	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	5
41	Actinobaculum	Corynebacterium	0.860728562636	1	1	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	5
42	Corynebacterium	Chryseobacterium	0.860728562636	1	1	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc	5
43	Chryseobacterium	Corynebacterium	0.860728562636	1	1	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc	5
44	Cryptobacterium	Actinobacillus	0.875	2	2	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	5
45	Actinobacillus	Cryptobacterium	0.875	2	2	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	5
46	Cryptobacterium	Alloprevotella	0.966072239913	2	5	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc	5
47	Alloprevotella	Cryptobacterium	0.966072239913	5	2	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc	5
48	Cryptobacterium	Avibacterium	1.0	2	1	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	5
49	Avibacterium	Cryptobacterium	1.0	1	2	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	5
50	Eubacterium	Dialister	0.912870929175	1	5	Subgingival_plaque	Stool	Intertype	#e4cf74	#b2f396	#cccccc	5
51	Dialister	Eubacterium	0.912870929175	5	1	Stool	Subgingival_plaque	Intertype	#b2f396	#e4cf74	#cccccc	5
52	Faecalibacterium	Bifidobacterium	0.918558653544	4	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	5
53	Bifidobacterium	Faecalibacterium	0.918558653544	2	4	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	5
54	Faecalibacterium	Clostridium	0.918558653544	4	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	5
55	Clostridium	Faecalibacterium	0.918558653544	3	4	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	5
56	Gallibacterium	Actinobacillus	0.875	2	2	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc	5
57	Actinobacillus	Gallibacterium	0.875	2	2	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc	5
58	Gallibacterium	Alloprevotella	0.966072239913	2	5	Attached	Attached	Attached	#4e4dfc	#4e4dfc	#4e4dfc	5
59	Alloprevotella	Gallibacterium	0.966072239913	5	2	Attached	Attached	Attached	#4e4dfc	#4e4dfc	#4e4dfc	5
60	Gallibacterium	Avibacterium	1.0	2	1	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc	5
61	Avibacterium	Gallibacterium	1.0	1	2	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc	5
62	Gallibacterium	Cryptobacterium	1.0	2	2	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc	5
63	Cryptobacterium	Gallibacterium	1.0	2	2	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc	5
64	Gardnerella	Bifidobacterium	0.918558653544	5	2	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	5
65	Bifidobacterium	Gardnerella	0.918558653544	2	5	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	5
66	Gardnerella	Clostridium	0.918558653544	5	3	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	5
67	Clostridium	Gardnerella	0.918558653544	3	5	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	5
68	Gardnerella	Faecalibacterium	1.0	5	4	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	5
69	Faecalibacterium	Gardnerella	1.0	4	5	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	5
70	Histophilus	Actinobacillus	0.875	5	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	5
71	Actinobacillus	Histophilus	0.875	2	5	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	5
72	Histophilus	Alloprevotella	0.966072239913	5	5	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc	5
73	Alloprevotella	Histophilus	0.966072239913	5	5	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc	5
74	Histophilus	Avibacterium	1.0	5	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	5
75	Avibacterium	Histophilus	1.0	1	5	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	5
76	Histophilus	Cryptobacterium	1.0	5	2	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	5
77	Cryptobacterium	Histophilus	1.0	2	5	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	5
78	Histophilus	Gallibacterium	1.0	5	2	Buccal_mucosa	Attached	Intertype	#1996f3	#4e4dfc	#cccccc	5
79	Gallibacterium	Histophilus	1.0	2	5	Attached	Buccal_mucosa	Intertype	#4e4dfc	#1996f3	#cccccc	5
80	Johnsonella	Actinobaculum	0.801783725737	1	1	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	5
81	Actinobaculum	Johnsonella	0.801783725737	1	1	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	5
82	Johnsonella	Chryseobacterium	0.801783725737	1	1	Subgingival_plaque	Attached	Intertype	#e4cf74	#4e4dfc	#cccccc	5
83	Chryseobacterium	Johnsonella	0.801783725737	1	1	Attached	Subgingival_plaque	Intertype	#4e4dfc	#e4cf74	#cccccc	5
84	Kingella	Actinobaculum	0.801783725737	5	1	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	5
85	Actinobaculum	Kingella	0.801783725737	1	5	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	5
86	Kingella	Chryseobacterium	0.801783725737	5	1	Supragingival_plaque	Attached	Intertype	#ff964f	#4e4dfc	#cccccc	5
87	Chryseobacterium	Kingella	0.801783725737	1	5	Attached	Supragingival_plaque	Intertype	#4e4dfc	#ff964f	#cccccc	5
88	Kytococcus	Brochothrix	0.952579344416	3	1	Tongue_dorsum	Saliva	Intertype	#ff0000	#7effb5	#cccccc	5
89	Brochothrix	Kytococcus	0.952579344416	1	3	Saliva	Tongue_dorsum	Intertype	#7effb5	#ff0000	#cccccc	5
90	Kytococcus	Cellulomonas	0.952579344416	3	5	Tongue_dorsum	Stool	Intertype	#ff0000	#b2f396	#cccccc	5
91	Cellulomonas	Kytococcus	0.952579344416	5	3	Stool	Tongue_dorsum	Intertype	#b2f396	#ff0000	#cccccc	5
92	Kytococcus	Clostridium	0.918558653544	3	3	Tongue_dorsum	Stool	Intertype	#ff0000	#b2f396	#cccccc	5
93	Clostridium	Kytococcus	0.918558653544	3	3	Stool	Tongue_dorsum	Intertype	#b2f396	#ff0000	#cccccc	5
94	Lachnoclostridium	Catonella	0.887847743498	5	2	Stool	Subgingival_plaque	Intertype	#b2f396	#e4cf74	#cccccc	5
95	Catonella	Lachnoclostridium	0.887847743498	2	5	Subgingival_plaque	Stool	Intertype	#e4cf74	#b2f396	#cccccc	5
96	Lactococcus	Abiotrophia	0.970378401061	5	3	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	5
97	Abiotrophia	Lactococcus	0.970378401061	3	5	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	5
98	Lactococcus	Actinobaculum	1.0	5	1	Anterior_nares	Supragingival_plaque	Intertype	#8000ff	#ff964f	#cccccc	5
99	Actinobaculum	Lactococcus	1.0	1	5	Supragingival_plaque	Anterior_nares	Intertype	#ff964f	#8000ff	#cccccc	5
100	Lactococcus	Aggregatibacter	0.804341256079	5	4	Anterior_nares	Mixed	Intertype	#8000ff	#cccccc	#cccccc	5
101	Aggregatibacter	Lactococcus	0.804341256079	4	5	Mixed	Anterior_nares	Intertype	#cccccc	#8000ff	#cccccc	5
102	Lactococcus	Carnobacterium	0.836976881276	5	5	Anterior_nares	Saliva	Intertype	#8000ff	#7effb5	#cccccc	5
