	source	target	weight	edge_sample	edcolor
0	[Haemophilus] ducreyi	[Actinobacillus] muris	2.0	Buccal_mucosa	#1996f3
1	[Actinobacillus] muris	[Haemophilus] ducreyi	2.0	Buccal_mucosa	#1996f3
2	[Mannheimia] succiniciproducens	[Actinobacillus] muris	2.0	Buccal_mucosa	#1996f3
3	[Actinobacillus] muris	[Mannheimia] succiniciproducens	2.0	Buccal_mucosa	#1996f3
4	[Mannheimia] succiniciproducens	[Haemophilus] ducreyi	2.0	Buccal_mucosa	#1996f3
5	[Haemophilus] ducreyi	[Mannheimia] succiniciproducens	2.0	Buccal_mucosa	#1996f3
6	Acidovorax ebreus	Acidovorax delafieldii	1.0	Buccal_mucosa	#1996f3
7	Acidovorax delafieldii	Acidovorax ebreus	1.0	Buccal_mucosa	#1996f3
8	Acidovorax sp. JS42	Acidovorax delafieldii	1.0	Buccal_mucosa	#1996f3
9	Acidovorax delafieldii	Acidovorax sp. JS42	1.0	Buccal_mucosa	#1996f3
10	Acidovorax sp. JS42	Acidovorax ebreus	1.0	Buccal_mucosa	#1996f3
11	Acidovorax ebreus	Acidovorax sp. JS42	1.0	Buccal_mucosa	#1996f3
12	Actinobacillus pleuropneumoniae	[Actinobacillus] muris	2.0	Buccal_mucosa	#1996f3
13	[Actinobacillus] muris	Actinobacillus pleuropneumoniae	2.0	Buccal_mucosa	#1996f3
14	Actinobacillus pleuropneumoniae	[Haemophilus] ducreyi	2.0	Buccal_mucosa	#1996f3
15	[Haemophilus] ducreyi	Actinobacillus pleuropneumoniae	2.0	Buccal_mucosa	#1996f3
16	Actinobacillus pleuropneumoniae	[Mannheimia] succiniciproducens	2.0	Buccal_mucosa	#1996f3
17	[Mannheimia] succiniciproducens	Actinobacillus pleuropneumoniae	2.0	Buccal_mucosa	#1996f3
18	Actinomyces dentalis	Acidovorax delafieldii	1.0	Intertype	#cccccc
19	Acidovorax delafieldii	Actinomyces dentalis	1.0	Intertype	#cccccc
20	Actinomyces dentalis	Acidovorax ebreus	1.0	Intertype	#cccccc
