	source	target	weight	edge_sample	edcolor
0	Lactobacillus vaginalis	Lactobacillus johnsonii	4.0	Posterior_fornix	#4df3ce
1	Lactobacillus johnsonii	Lactobacillus vaginalis	4.0	Posterior_fornix	#4df3ce
2	Nocardia otitidiscaviarum	Mycobacterium chelonae	2.0	Mid_vagina	#18cde4
3	Mycobacterium chelonae	Nocardia otitidiscaviarum	2.0	Mid_vagina	#18cde4
4	Peptoniphilus grossensis	[Eubacterium] rectale	2.0	Intertype	#cccccc
5	[Eubacterium] rectale	Peptoniphilus grossensis	2.0	Intertype	#cccccc
6	Porphyromonas asaccharolytica	Levyella massiliensis	2.0	Intertype	#cccccc
7	Levyella massiliensis	Porphyromonas asaccharolytica	2.0	Intertype	#cccccc
8	Prevotella buccalis	Dialister micraerophilus	3.0	Intertype	#cccccc
9	Dialister micraerophilus	Prevotella buccalis	3.0	Intertype	#cccccc
10	Pseudomonas mandelii	Peptoniphilus sp. BV3AC2	2.0	Intertype	#cccccc
11	Peptoniphilus sp. BV3AC2	Pseudomonas mandelii	2.0	Intertype	#cccccc
12	Pseudomonas sp. Ag1	Pseudomonas fluorescens	2.0	Mid_vagina	#18cde4
13	Pseudomonas fluorescens	Pseudomonas sp. Ag1	2.0	Mid_vagina	#18cde4
14	Pseudomonas sp. Eur1 9.41	Pseudomonas fluorescens	2.0	Mid_vagina	#18cde4
15	Pseudomonas fluorescens	Pseudomonas sp. Eur1 9.41	2.0	Mid_vagina	#18cde4
16	Pseudomonas sp. Eur1 9.41	Pseudomonas sp. Ag1	2.0	Mid_vagina	#18cde4
17	Pseudomonas sp. Ag1	Pseudomonas sp. Eur1 9.41	2.0	Mid_vagina	#18cde4
18	Pseudomonas sp. FH1	Pseudomonas fluorescens	2.0	Mid_vagina	#18cde4
19	Pseudomonas fluorescens	Pseudomonas sp. FH1	2.0	Mid_vagina	#18cde4
20	Pseudomonas sp. FH1	Pseudomonas sp. Ag1	2.0	Mid_vagina	#18cde4
21	Pseudomonas sp. Ag1	Pseudomonas sp. FH1	2.0	Mid_vagina	#18cde4
22	Pseudomonas sp. FH1	Pseudomonas sp. Eur1 9.41	2.0	Mid_vagina	#18cde4
23	Pseudomonas sp. Eur1 9.41	Pseudomonas sp. FH1	2.0	Mid_vagina	#18cde4
24	Pseudomonas sp. NBRC 111132	Pseudomonas fluorescens	2.0	Mid_vagina	#18cde4
25	Pseudomonas fluorescens	Pseudomonas sp. NBRC 111132	2.0	Mid_vagina	#18cde4
26	Pseudomonas sp. NBRC 111132	Pseudomonas sp. Ag1	2.0	Mid_vagina	#18cde4
27	Pseudomonas sp. Ag1	Pseudomonas sp. NBRC 111132	2.0	Mid_vagina	#18cde4
28	Pseudomonas sp. NBRC 111132	Pseudomonas sp. Eur1 9.41	2.0	Mid_vagina	#18cde4
29	Pseudomonas sp. Eur1 9.41	Pseudomonas sp. NBRC 111132	2.0	Mid_vagina	#18cde4
30	Pseudomonas sp. NBRC 111132	Pseudomonas sp. FH1	2.0	Mid_vagina	#18cde4
31	Pseudomonas sp. FH1	Pseudomonas sp. NBRC 111132	2.0	Mid_vagina	#18cde4
32	Pseudomonas sp. Root9	Pseudomonas fluorescens	2.0	Mid_vagina	#18cde4
33	Pseudomonas fluorescens	Pseudomonas sp. Root9	2.0	Mid_vagina	#18cde4
34	Pseudomonas sp. Root9	Pseudomonas sp. Ag1	2.0	Mid_vagina	#18cde4
35	Pseudomonas sp. Ag1	Pseudomonas sp. Root9	2.0	Mid_vagina	#18cde4
36	Pseudomonas sp. Root9	Pseudomonas sp. Eur1 9.41	2.0	Mid_vagina	#18cde4
37	Pseudomonas sp. Eur1 9.41	Pseudomonas sp. Root9	2.0	Mid_vagina	#18cde4
38	Pseudomonas sp. Root9	Pseudomonas sp. FH1	2.0	Mid_vagina	#18cde4
39	Pseudomonas sp. FH1	Pseudomonas sp. Root9	2.0	Mid_vagina	#18cde4
40	Pseudomonas sp. Root9	Pseudomonas sp. NBRC 111132	2.0	Mid_vagina	#18cde4
41	Pseudomonas sp. NBRC 111132	Pseudomonas sp. Root9	2.0	Mid_vagina	#18cde4
42	Sphingobium yanoikuyae	Pseudomonas fluorescens	2.0	Mid_vagina	#18cde4
43	Pseudomonas fluorescens	Sphingobium yanoikuyae	2.0	Mid_vagina	#18cde4
44	Sphingobium yanoikuyae	Pseudomonas sp. Ag1	2.0	Mid_vagina	#18cde4
45	Pseudomonas sp. Ag1	Sphingobium yanoikuyae	2.0	Mid_vagina	#18cde4
46	Sphingobium yanoikuyae	Pseudomonas sp. Eur1 9.41	2.0	Mid_vagina	#18cde4
47	Pseudomonas sp. Eur1 9.41	Sphingobium yanoikuyae	2.0	Mid_vagina	#18cde4
48	Sphingobium yanoikuyae	Pseudomonas sp. FH1	2.0	Mid_vagina	#18cde4
49	Pseudomonas sp. FH1	Sphingobium yanoikuyae	2.0	Mid_vagina	#18cde4
50	Sphingobium yanoikuyae	Pseudomonas sp. NBRC 111132	2.0	Mid_vagina	#18cde4
51	Pseudomonas sp. NBRC 111132	Sphingobium yanoikuyae	2.0	Mid_vagina	#18cde4
52	Sphingobium yanoikuyae	Pseudomonas sp. Root9	2.0	Mid_vagina	#18cde4
53	Pseudomonas sp. Root9	Sphingobium yanoikuyae	2.0	Mid_vagina	#18cde4
