	source	target	weight	edge_sample	edcolor
0	[Clostridium] scindens	[Clostridium] methylpentosum	2.0	Stool	#b2f396
1	[Clostridium] methylpentosum	[Clostridium] scindens	2.0	Stool	#b2f396
2	[Eubacterium] eligens	[Clostridium] spiroforme	4.0	Stool	#b2f396
3	[Clostridium] spiroforme	[Eubacterium] eligens	4.0	Stool	#b2f396
4	[Eubacterium] hallii	[Clostridium] citroniae	2.0	Stool	#b2f396
5	[Clostridium] citroniae	[Eubacterium] hallii	2.0	Stool	#b2f396
6	[Eubacterium] siraeum	[Eubacterium] eligens	3.0	Stool	#b2f396
7	[Eubacterium] eligens	[Eubacterium] siraeum	3.0	Stool	#b2f396
8	Acidaminococcus intestini	[Clostridium] methylpentosum	2.0	Stool	#b2f396
9	[Clostridium] methylpentosum	Acidaminococcus intestini	2.0	Stool	#b2f396
10	Acidaminococcus sp. BV3L6	[Clostridium] methylpentosum	2.0	Stool	#b2f396
11	[Clostridium] methylpentosum	Acidaminococcus sp. BV3L6	2.0	Stool	#b2f396
12	Acidaminococcus sp. HPA0509	[Clostridium] methylpentosum	2.0	Stool	#b2f396
13	[Clostridium] methylpentosum	Acidaminococcus sp. HPA0509	2.0	Stool	#b2f396
14	Actinomyces sp. S6-Spd3	[Clostridium] scindens	2.0	Intertype	#cccccc
15	[Clostridium] scindens	Actinomyces sp. S6-Spd3	2.0	Intertype	#cccccc
16	Adlercreutzia equolifaciens	[Clostridium] symbiosum	4.0	Stool	#b2f396
17	[Clostridium] symbiosum	Adlercreutzia equolifaciens	4.0	Stool	#b2f396
18	Alistipes finegoldii	[Eubacterium] hallii	5.0	Stool	#b2f396
19	[Eubacterium] hallii	Alistipes finegoldii	5.0	Stool	#b2f396
20	Alistipes indistinctus	Akkermansia muciniphila	4.0	Stool	#b2f396
21	Akkermansia muciniphila	Alistipes indistinctus	4.0	Stool	#b2f396
22	Alistipes obesi	Acidaminococcus intestini	2.0	Stool	#b2f396
23	Acidaminococcus intestini	Alistipes obesi	2.0	Stool	#b2f396
24	Alistipes obesi	Acidaminococcus sp. BV3L6	2.0	Stool	#b2f396
25	Acidaminococcus sp. BV3L6	Alistipes obesi	2.0	Stool	#b2f396
26	Alistipes obesi	Acidaminococcus sp. HPA0509	2.0	Stool	#b2f396
27	Acidaminococcus sp. HPA0509	Alistipes obesi	2.0	Stool	#b2f396
28	Alistipes onderdonkii	[Bacteroides] pectinophilus	6.0	Stool	#b2f396
29	[Bacteroides] pectinophilus	Alistipes onderdonkii	6.0	Stool	#b2f396
30	Alistipes onderdonkii	Adlercreutzia equolifaciens	5.0	Stool	#b2f396
31	Adlercreutzia equolifaciens	Alistipes onderdonkii	5.0	Stool	#b2f396
32	Alistipes onderdonkii	Alistipes inops	4.0	Stool	#b2f396
33	Alistipes inops	Alistipes onderdonkii	4.0	Stool	#b2f396
34	Alistipes putredinis	Alistipes indistinctus	5.0	Stool	#b2f396
35	Alistipes indistinctus	Alistipes putredinis	5.0	Stool	#b2f396
36	Alistipes senegalensis	Acidaminococcus intestini	2.0	Stool	#b2f396
37	Acidaminococcus intestini	Alistipes senegalensis	2.0	Stool	#b2f396
38	Alistipes senegalensis	Acidaminococcus sp. BV3L6	2.0	Stool	#b2f396
39	Acidaminococcus sp. BV3L6	Alistipes senegalensis	2.0	Stool	#b2f396
40	Alistipes senegalensis	Acidaminococcus sp. HPA0509	2.0	Stool	#b2f396
41	Acidaminococcus sp. HPA0509	Alistipes senegalensis	2.0	Stool	#b2f396
42	Alistipes senegalensis	Alistipes obesi	4.0	Stool	#b2f396
43	Alistipes obesi	Alistipes senegalensis	4.0	Stool	#b2f396
44	Alistipes sp. AL-1	[Clostridium] methylpentosum	3.0	Stool	#b2f396
45	[Clostridium] methylpentosum	Alistipes sp. AL-1	3.0	Stool	#b2f396
46	Alistipes sp. AL-1	Alistipes obesi	5.0	Stool	#b2f396
47	Alistipes obesi	Alistipes sp. AL-1	5.0	Stool	#b2f396
48	Alistipes sp. AL-1	Alistipes onderdonkii	4.0	Stool	#b2f396
49	Alistipes onderdonkii	Alistipes sp. AL-1	4.0	Stool	#b2f396
50	Alistipes sp. HGB5	[Eubacterium] eligens	4.0	Stool	#b2f396
51	[Eubacterium] eligens	Alistipes sp. HGB5	4.0	Stool	#b2f396
52	Alistipes sp. HGB5	[Eubacterium] hallii	4.0	Stool	#b2f396
53	[Eubacterium] hallii	Alistipes sp. HGB5	4.0	Stool	#b2f396
54	Alistipes sp. HGB5	Alistipes finegoldii	5.0	Stool	#b2f396
55	Alistipes finegoldii	Alistipes sp. HGB5	5.0	Stool	#b2f396
56	Anaerostipes hadrus	[Clostridium] symbiosum	5.0	Stool	#b2f396
57	[Clostridium] symbiosum	Anaerostipes hadrus	5.0	Stool	#b2f396
58	Anaerostipes hadrus	[Eubacterium] hallii	4.0	Stool	#b2f396
59	[Eubacterium] hallii	Anaerostipes hadrus	4.0	Stool	#b2f396
60	Anaerotruncus colihominis	Acetivibrio ethanolgignens	8.0	Stool	#b2f396
61	Acetivibrio ethanolgignens	Anaerotruncus colihominis	8.0	Stool	#b2f396
62	Anaerotruncus colihominis	Acinetobacter baumannii	4.0	Intertype	#cccccc
63	Acinetobacter baumannii	Anaerotruncus colihominis	4.0	Intertype	#cccccc
64	bacterium LF-3	[Clostridium] symbiosum	5.0	Stool	#b2f396
65	[Clostridium] symbiosum	bacterium LF-3	5.0	Stool	#b2f396
66	bacterium LF-3	[Eubacterium] hallii	4.0	Stool	#b2f396
67	[Eubacterium] hallii	bacterium LF-3	4.0	Stool	#b2f396
68	bacterium LF-3	Alistipes onderdonkii	4.0	Stool	#b2f396
69	Alistipes onderdonkii	bacterium LF-3	4.0	Stool	#b2f396
70	Bacteroides acidifaciens	[Clostridium] spiroforme	4.0	Stool	#b2f396
71	[Clostridium] spiroforme	Bacteroides acidifaciens	4.0	Stool	#b2f396
72	Bacteroides caccae	Acinetobacter baumannii	4.0	Intertype	#cccccc
73	Acinetobacter baumannii	Bacteroides caccae	4.0	Intertype	#cccccc
74	Bacteroides cellulosilyticus	Alistipes finegoldii	4.0	Stool	#b2f396
75	Alistipes finegoldii	Bacteroides cellulosilyticus	4.0	Stool	#b2f396
76	Bacteroides clarus	Anaerostipes caccae	2.0	Stool	#b2f396
77	Anaerostipes caccae	Bacteroides clarus	2.0	Stool	#b2f396
78	Bacteroides clarus	Anaerostipes sp. 3_2_56FAA	2.0	Stool	#b2f396
79	Anaerostipes sp. 3_2_56FAA	Bacteroides clarus	2.0	Stool	#b2f396
80	Bacteroides clarus	Bacteroidaceae bacterium MS4	2.0	Stool	#b2f396
81	Bacteroidaceae bacterium MS4	Bacteroides clarus	2.0	Stool	#b2f396
82	Bacteroides coprocola	Acidaminococcus intestini	2.0	Stool	#b2f396
83	Acidaminococcus intestini	Bacteroides coprocola	2.0	Stool	#b2f396
84	Bacteroides coprocola	Acidaminococcus sp. BV3L6	2.0	Stool	#b2f396
85	Acidaminococcus sp. BV3L6	Bacteroides coprocola	2.0	Stool	#b2f396
86	Bacteroides coprocola	Acidaminococcus sp. HPA0509	2.0	Stool	#b2f396
87	Acidaminococcus sp. HPA0509	Bacteroides coprocola	2.0	Stool	#b2f396
88	Bacteroides coprocola	Alistipes obesi	3.0	Stool	#b2f396
89	Alistipes obesi	Bacteroides coprocola	3.0	Stool	#b2f396
90	Bacteroides coprocola	Alistipes sp. AL-1	3.0	Stool	#b2f396
91	Alistipes sp. AL-1	Bacteroides coprocola	3.0	Stool	#b2f396
92	Bacteroides coprophilus	Anaerostipes caccae	2.0	Stool	#b2f396
93	Anaerostipes caccae	Bacteroides coprophilus	2.0	Stool	#b2f396
94	Bacteroides coprophilus	Anaerostipes sp. 3_2_56FAA	2.0	Stool	#b2f396
95	Anaerostipes sp. 3_2_56FAA	Bacteroides coprophilus	2.0	Stool	#b2f396
96	Bacteroides coprophilus	Bacteroidaceae bacterium MS4	2.0	Stool	#b2f396
97	Bacteroidaceae bacterium MS4	Bacteroides coprophilus	2.0	Stool	#b2f396
98	Bacteroides coprosuis	[Clostridium] methylpentosum	2.0	Stool	#b2f396
99	[Clostridium] methylpentosum	Bacteroides coprosuis	2.0	Stool	#b2f396
100	Bacteroides coprosuis	Alistipes obesi	2.0	Stool	#b2f396
101	Alistipes obesi	Bacteroides coprosuis	2.0	Stool	#b2f396
102	Bacteroides coprosuis	Alistipes senegalensis	2.0	Stool	#b2f396
103	Alistipes senegalensis	Bacteroides coprosuis	2.0	Stool	#b2f396
104	Bacteroides coprosuis	Bacteroides coprocola	2.0	Stool	#b2f396
105	Bacteroides coprocola	Bacteroides coprosuis	2.0	Stool	#b2f396
106	Bacteroides dorei	Anaerostipes caccae	2.0	Stool	#b2f396
107	Anaerostipes caccae	Bacteroides dorei	2.0	Stool	#b2f396
108	Bacteroides dorei	Anaerostipes sp. 3_2_56FAA	2.0	Stool	#b2f396
109	Anaerostipes sp. 3_2_56FAA	Bacteroides dorei	2.0	Stool	#b2f396
110	Bacteroides dorei	Bacteroidaceae bacterium MS4	2.0	Stool	#b2f396
111	Bacteroidaceae bacterium MS4	Bacteroides dorei	2.0	Stool	#b2f396
112	Bacteroides dorei	Bacteroides acidifaciens	4.0	Stool	#b2f396
113	Bacteroides acidifaciens	Bacteroides dorei	4.0	Stool	#b2f396
114	Bacteroides dorei	Bacteroides clarus	4.0	Stool	#b2f396
115	Bacteroides clarus	Bacteroides dorei	4.0	Stool	#b2f396
116	Bacteroides eggerthii	Anaerostipes caccae	2.0	Stool	#b2f396
117	Anaerostipes caccae	Bacteroides eggerthii	2.0	Stool	#b2f396
118	Bacteroides eggerthii	Anaerostipes sp. 3_2_56FAA	2.0	Stool	#b2f396
119	Anaerostipes sp. 3_2_56FAA	Bacteroides eggerthii	2.0	Stool	#b2f396
120	Bacteroides eggerthii	Bacteroidaceae bacterium MS4	2.0	Stool	#b2f396
121	Bacteroidaceae bacterium MS4	Bacteroides eggerthii	2.0	Stool	#b2f396
122	Bacteroides eggerthii	Bacteroides clarus	3.0	Stool	#b2f396
