	source	target	weight	edge_sample	edcolor
0	Actinomyces johnsonii	Actinobaculum sp. oral taxon 183	6.0	Intertype	#cccccc
1	Actinobaculum sp. oral taxon 183	Actinomyces johnsonii	6.0	Intertype	#cccccc
2	Actinomyces massiliensis	Actinomyces johnsonii	5.0	Intertype	#cccccc
3	Actinomyces johnsonii	Actinomyces massiliensis	5.0	Intertype	#cccccc
4	Actinomyces sp. ICM47	Actinomyces slackii	1.0	Intertype	#cccccc
5	Actinomyces slackii	Actinomyces sp. ICM47	1.0	Intertype	#cccccc
6	Actinomyces sp. oral taxon 171	Actinomyces johnsonii	5.0	Intertype	#cccccc
7	Actinomyces johnsonii	Actinomyces sp. oral taxon 171	5.0	Intertype	#cccccc
8	Actinomyces sp. oral taxon 175	Actinomyces johnsonii	5.0	Intertype	#cccccc
9	Actinomyces johnsonii	Actinomyces sp. oral taxon 175	5.0	Intertype	#cccccc
10	Actinomyces sp. oral taxon 175	Actinomyces oris	5.0	Supragingival_plaque	#ff964f
11	Actinomyces oris	Actinomyces sp. oral taxon 175	5.0	Supragingival_plaque	#ff964f
12	Actinomyces sp. oral taxon 414	Actinomyces sp. oral taxon 178	3.0	Intertype	#cccccc
13	Actinomyces sp. oral taxon 178	Actinomyces sp. oral taxon 414	3.0	Intertype	#cccccc
14	Actinomyces sp. oral taxon 849	Actinomyces massiliensis	5.0	Supragingival_plaque	#ff964f
15	Actinomyces massiliensis	Actinomyces sp. oral taxon 849	5.0	Supragingival_plaque	#ff964f
16	Aggregatibacter actinomycetemcomitans	Actinobaculum sp. oral taxon 183	5.0	Intertype	#cccccc
17	Actinobaculum sp. oral taxon 183	Aggregatibacter actinomycetemcomitans	5.0	Intertype	#cccccc
18	Alloprevotella tannerae	Aggregatibacter sp. oral taxon 458	3.0	Intertype	#cccccc
19	Aggregatibacter sp. oral taxon 458	Alloprevotella tannerae	3.0	Intertype	#cccccc
20	Atopobium rimae	Anaeroglobus geminatus	3.0	Saliva	#7effb5
21	Anaeroglobus geminatus	Atopobium rimae	3.0	Saliva	#7effb5
22	Bergeyella zoohelcum	Actinomyces dentalis	3.0	Intertype	#cccccc
23	Actinomyces dentalis	Bergeyella zoohelcum	3.0	Intertype	#cccccc
24	Bulleidia extructa	Actinomyces slackii	1.0	Intertype	#cccccc
