	source	target	weight	edge_sample	edcolor
0	Actinomyces gerencseriae	Abiotrophia defectiva	2.0	Intertype	#cccccc
1	Abiotrophia defectiva	Actinomyces gerencseriae	2.0	Intertype	#cccccc
2	Actinomyces naeslundii	[Pasteurella] pneumotropica	2.0	Intertype	#cccccc
3	[Pasteurella] pneumotropica	Actinomyces naeslundii	2.0	Intertype	#cccccc
4	Actinomyces sp. oral taxon 171	[Pasteurella] pneumotropica	2.0	Intertype	#cccccc
5	[Pasteurella] pneumotropica	Actinomyces sp. oral taxon 171	2.0	Intertype	#cccccc
6	Actinomyces sp. oral taxon 175	[Pasteurella] pneumotropica	2.0	Intertype	#cccccc
7	[Pasteurella] pneumotropica	Actinomyces sp. oral taxon 175	2.0	Intertype	#cccccc
8	Actinomyces viscosus	[Pasteurella] pneumotropica	2.0	Intertype	#cccccc
9	[Pasteurella] pneumotropica	Actinomyces viscosus	2.0	Intertype	#cccccc
10	Aggregatibacter actinomycetemcomitans	[Pasteurella] pneumotropica	3.0	Buccal_mucosa	#1996f3
11	[Pasteurella] pneumotropica	Aggregatibacter actinomycetemcomitans	3.0	Buccal_mucosa	#1996f3
12	Aggregatibacter actinomycetemcomitans	Actinomyces naeslundii	2.0	Intertype	#cccccc
13	Actinomyces naeslundii	Aggregatibacter actinomycetemcomitans	2.0	Intertype	#cccccc
14	Aggregatibacter actinomycetemcomitans	Actinomyces sp. oral taxon 171	2.0	Intertype	#cccccc
15	Actinomyces sp. oral taxon 171	Aggregatibacter actinomycetemcomitans	2.0	Intertype	#cccccc
16	Aggregatibacter actinomycetemcomitans	Actinomyces sp. oral taxon 175	2.0	Intertype	#cccccc
17	Actinomyces sp. oral taxon 175	Aggregatibacter actinomycetemcomitans	2.0	Intertype	#cccccc
18	Aggregatibacter actinomycetemcomitans	Actinomyces viscosus	2.0	Intertype	#cccccc
19	Actinomyces viscosus	Aggregatibacter actinomycetemcomitans	2.0	Intertype	#cccccc
20	Aggregatibacter segnis	Actinomyces naeslundii	2.0	Intertype	#cccccc
21	Actinomyces naeslundii	Aggregatibacter segnis	2.0	Intertype	#cccccc
22	Aggregatibacter segnis	Actinomyces sp. oral taxon 171	2.0	Intertype	#cccccc
23	Actinomyces sp. oral taxon 171	Aggregatibacter segnis	2.0	Intertype	#cccccc
24	Aggregatibacter segnis	Actinomyces sp. oral taxon 175	2.0	Intertype	#cccccc
25	Actinomyces sp. oral taxon 175	Aggregatibacter segnis	2.0	Intertype	#cccccc
26	Aggregatibacter segnis	Actinomyces viscosus	2.0	Intertype	#cccccc
27	Actinomyces viscosus	Aggregatibacter segnis	2.0	Intertype	#cccccc
28	Campylobacter gracilis	Actinomyces oris	2.0	Intertype	#cccccc
29	Actinomyces oris	Campylobacter gracilis	2.0	Intertype	#cccccc
30	Campylobacter rectus	[Pasteurella] pneumotropica	2.0	Intertype	#cccccc
31	[Pasteurella] pneumotropica	Campylobacter rectus	2.0	Intertype	#cccccc
32	Campylobacter rectus	Aggregatibacter actinomycetemcomitans	2.0	Intertype	#cccccc
33	Aggregatibacter actinomycetemcomitans	Campylobacter rectus	2.0	Intertype	#cccccc
34	Campylobacter rectus	Aggregatibacter segnis	2.0	Intertype	#cccccc
35	Aggregatibacter segnis	Campylobacter rectus	2.0	Intertype	#cccccc
36	Campylobacter showae	Campylobacter gracilis	3.0	Intertype	#cccccc
37	Campylobacter gracilis	Campylobacter showae	3.0	Intertype	#cccccc
38	Capnocytophaga sp. oral taxon 326	Campylobacter gracilis	3.0	Intertype	#cccccc
39	Campylobacter gracilis	Capnocytophaga sp. oral taxon 326	3.0	Intertype	#cccccc
40	Capnocytophaga sp. oral taxon 329	Campylobacter gracilis	3.0	Intertype	#cccccc
41	Campylobacter gracilis	Capnocytophaga sp. oral taxon 329	3.0	Intertype	#cccccc
42	Capnocytophaga sp. oral taxon 332	[Pasteurella] pneumotropica	2.0	Intertype	#cccccc
43	[Pasteurella] pneumotropica	Capnocytophaga sp. oral taxon 332	2.0	Intertype	#cccccc
44	Capnocytophaga sp. oral taxon 332	Aggregatibacter actinomycetemcomitans	2.0	Intertype	#cccccc
45	Aggregatibacter actinomycetemcomitans	Capnocytophaga sp. oral taxon 332	2.0	Intertype	#cccccc
46	Capnocytophaga sp. oral taxon 332	Aggregatibacter sp. oral taxon 458	2.0	Intertype	#cccccc
47	Aggregatibacter sp. oral taxon 458	Capnocytophaga sp. oral taxon 332	2.0	Intertype	#cccccc
48	Capnocytophaga sp. oral taxon 338	Abiotrophia defectiva	3.0	Intertype	#cccccc
49	Abiotrophia defectiva	Capnocytophaga sp. oral taxon 338	3.0	Intertype	#cccccc
