	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
0	Actinomyces gerencseriae	2	Subgingival_plaque	#e4cf74	10.0	1.0	#ecc86f	#5247fc
1	Abiotrophia defectiva	3	Buccal_mucosa	#1996f3	10.0	1.0	#ecc86f	#5247fc
2	Actinomyces naeslundii	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
3	[Pasteurella] pneumotropica	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
4	Actinomyces sp. oral taxon 171	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
5	[Pasteurella] pneumotropica	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
6	Actinomyces sp. oral taxon 175	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
7	[Pasteurella] pneumotropica	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
8	Actinomyces viscosus	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
9	[Pasteurella] pneumotropica	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
10	Aggregatibacter actinomycetemcomitans	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
11	[Pasteurella] pneumotropica	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
12	Aggregatibacter actinomycetemcomitans	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
13	Actinomyces naeslundii	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
14	Aggregatibacter actinomycetemcomitans	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
15	Actinomyces sp. oral taxon 171	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
16	Aggregatibacter actinomycetemcomitans	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
17	Actinomyces sp. oral taxon 175	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
18	Aggregatibacter actinomycetemcomitans	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
19	Actinomyces viscosus	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
20	Aggregatibacter segnis	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
21	Actinomyces naeslundii	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
22	Aggregatibacter segnis	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
23	Actinomyces sp. oral taxon 171	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
24	Aggregatibacter segnis	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
25	Actinomyces sp. oral taxon 175	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
26	Aggregatibacter segnis	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
27	Actinomyces viscosus	2	Supragingival_plaque	#ff964f	4.0	0.0	#10c6e6	#8000ff
28	Campylobacter gracilis	3	Subgingival_plaque	#e4cf74	3.0	2.0	#149df1	#2489f5
29	Actinomyces oris	2	Supragingival_plaque	#ff964f	3.0	2.0	#149df1	#2489f5
30	Campylobacter rectus	2	Subgingival_plaque	#e4cf74	4.0	0.0	#10c6e6	#8000ff
31	[Pasteurella] pneumotropica	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
32	Campylobacter rectus	2	Subgingival_plaque	#e4cf74	4.0	0.0	#10c6e6	#8000ff
33	Aggregatibacter actinomycetemcomitans	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
34	Campylobacter rectus	2	Subgingival_plaque	#e4cf74	4.0	0.0	#10c6e6	#8000ff
35	Aggregatibacter segnis	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
36	Campylobacter showae	4	Supragingival_plaque	#ff964f	3.0	2.0	#149df1	#2489f5
37	Campylobacter gracilis	3	Subgingival_plaque	#e4cf74	3.0	2.0	#149df1	#2489f5
38	Capnocytophaga sp. oral taxon 326	4	Supragingival_plaque	#ff964f	3.0	2.0	#149df1	#2489f5
39	Campylobacter gracilis	3	Subgingival_plaque	#e4cf74	3.0	2.0	#149df1	#2489f5
40	Capnocytophaga sp. oral taxon 329	4	Supragingival_plaque	#ff964f	3.0	2.0	#149df1	#2489f5
41	Campylobacter gracilis	3	Subgingival_plaque	#e4cf74	3.0	2.0	#149df1	#2489f5
42	Capnocytophaga sp. oral taxon 332	2	Supragingival_plaque	#ff964f	6.0	0.0	#5af8c8	#8000ff
43	[Pasteurella] pneumotropica	3	Buccal_mucosa	#1996f3	4.0	0.0	#10c6e6	#8000ff
44	Capnocytophaga sp. oral taxon 332	2	Supragingival_plaque	#ff964f	6.0	0.0	#5af8c8	#8000ff
