	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
0	[Clostridium] scindens	[Clostridium] methylpentosum	2.0	2	5	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	6.0	#7effb5	#7effb5
1	[Clostridium] methylpentosum	[Clostridium] scindens	2.0	5	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	5.0	#7effb5	#54f6cb
2	[Eubacterium] eligens	[Clostridium] spiroforme	4.0	14	9	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	6.0	#7effb5	#7effb5
3	[Clostridium] spiroforme	[Eubacterium] eligens	4.0	9	14	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	1.0	#7effb5	#5641fd
4	[Eubacterium] hallii	[Clostridium] citroniae	2.0	12	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	3.0	#7effb5	#01b3ec
5	[Clostridium] citroniae	[Eubacterium] hallii	2.0	2	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	3.0	#7effb5	#01b3ec
6	[Eubacterium] siraeum	[Eubacterium] eligens	3.0	12	14	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	6.0	#7effb5	#7effb5
7	[Eubacterium] eligens	[Eubacterium] siraeum	3.0	14	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	6.0	#7effb5	#7effb5
8	Acidaminococcus intestini	[Clostridium] methylpentosum	2.0	2	5	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	5.0	#7effb5	#54f6cb
9	[Clostridium] methylpentosum	Acidaminococcus intestini	2.0	5	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	5.0	#7effb5	#54f6cb
10	Acidaminococcus sp. BV3L6	[Clostridium] methylpentosum	2.0	2	5	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	5.0	#7effb5	#54f6cb
11	[Clostridium] methylpentosum	Acidaminococcus sp. BV3L6	2.0	5	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	2.0	5.0	#7effb5	#54f6cb
