	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
0	Lactobacillus vaginalis	Lactobacillus johnsonii	4.0	6	4	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	9
1	Lactobacillus johnsonii	Lactobacillus vaginalis	4.0	4	6	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	9
2	Nocardia otitidiscaviarum	Mycobacterium chelonae	2.0	2	4	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	9
3	Mycobacterium chelonae	Nocardia otitidiscaviarum	2.0	4	2	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	9
4	Peptoniphilus grossensis	[Eubacterium] rectale	2.0	2	2	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	9
5	[Eubacterium] rectale	Peptoniphilus grossensis	2.0	2	2	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	9
6	Porphyromonas asaccharolytica	Levyella massiliensis	2.0	2	2	Posterior_fornix	Anterior_nares	Intertype	#4df3ce	#8000ff	#cccccc	9
7	Levyella massiliensis	Porphyromonas asaccharolytica	2.0	2	2	Anterior_nares	Posterior_fornix	Intertype	#8000ff	#4df3ce	#cccccc	9
8	Prevotella buccalis	Dialister micraerophilus	3.0	3	4	Posterior_fornix	Saliva	Intertype	#4df3ce	#7effb5	#cccccc	9
9	Dialister micraerophilus	Prevotella buccalis	3.0	4	3	Saliva	Posterior_fornix	Intertype	#7effb5	#4df3ce	#cccccc	9
10	Pseudomonas mandelii	Peptoniphilus sp. BV3AC2	2.0	2	2	Mid_vagina	Posterior_fornix	Intertype	#18cde4	#4df3ce	#cccccc	9
11	Peptoniphilus sp. BV3AC2	Pseudomonas mandelii	2.0	2	2	Posterior_fornix	Mid_vagina	Intertype	#4df3ce	#18cde4	#cccccc	9
12	Pseudomonas sp. Ag1	Pseudomonas fluorescens	2.0	2	3	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	9
13	Pseudomonas fluorescens	Pseudomonas sp. Ag1	2.0	3	2	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	9
14	Pseudomonas sp. Eur1 9.41	Pseudomonas fluorescens	2.0	3	3	Mid_vagina	Mid_vagina	Mid_vagina	#18cde4	#18cde4	#18cde4	9
