	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
0	[Clostridium] scindens	[Clostridium] methylpentosum	2.0	2	5	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
1	[Clostridium] methylpentosum	[Clostridium] scindens	2.0	5	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
2	[Eubacterium] eligens	[Clostridium] spiroforme	4.0	14	9	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
3	[Clostridium] spiroforme	[Eubacterium] eligens	4.0	9	14	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
4	[Eubacterium] hallii	[Clostridium] citroniae	2.0	12	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
5	[Clostridium] citroniae	[Eubacterium] hallii	2.0	2	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
6	[Eubacterium] siraeum	[Eubacterium] eligens	3.0	12	14	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
7	[Eubacterium] eligens	[Eubacterium] siraeum	3.0	14	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
8	Acidaminococcus intestini	[Clostridium] methylpentosum	2.0	2	5	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
9	[Clostridium] methylpentosum	Acidaminococcus intestini	2.0	5	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
10	Acidaminococcus sp. BV3L6	[Clostridium] methylpentosum	2.0	2	5	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
11	[Clostridium] methylpentosum	Acidaminococcus sp. BV3L6	2.0	5	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
12	Acidaminococcus sp. HPA0509	[Clostridium] methylpentosum	2.0	2	5	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
13	[Clostridium] methylpentosum	Acidaminococcus sp. HPA0509	2.0	5	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
14	Actinomyces sp. S6-Spd3	[Clostridium] scindens	2.0	3	2	Tongue_dorsum	Stool	Intertype	#ff0000	#b2f396	#cccccc	16
15	[Clostridium] scindens	Actinomyces sp. S6-Spd3	2.0	2	3	Stool	Tongue_dorsum	Intertype	#b2f396	#ff0000	#cccccc	16
16	Adlercreutzia equolifaciens	[Clostridium] symbiosum	4.0	6	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
17	[Clostridium] symbiosum	Adlercreutzia equolifaciens	4.0	10	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
18	Alistipes finegoldii	[Eubacterium] hallii	5.0	11	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
19	[Eubacterium] hallii	Alistipes finegoldii	5.0	12	11	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
20	Alistipes indistinctus	Akkermansia muciniphila	4.0	8	15	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
21	Akkermansia muciniphila	Alistipes indistinctus	4.0	15	8	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
22	Alistipes obesi	Acidaminococcus intestini	2.0	10	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
23	Acidaminococcus intestini	Alistipes obesi	2.0	2	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
24	Alistipes obesi	Acidaminococcus sp. BV3L6	2.0	10	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
25	Acidaminococcus sp. BV3L6	Alistipes obesi	2.0	2	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
26	Alistipes obesi	Acidaminococcus sp. HPA0509	2.0	10	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
