	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
0	Actinomyces johnsonii	Actinobaculum sp. oral taxon 183	6.0	8	8	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	8
1	Actinobaculum sp. oral taxon 183	Actinomyces johnsonii	6.0	8	8	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	8
2	Actinomyces massiliensis	Actinomyces johnsonii	5.0	8	8	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	8
3	Actinomyces johnsonii	Actinomyces massiliensis	5.0	8	8	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	8
4	Actinomyces sp. ICM47	Actinomyces slackii	1.0	1	1	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	8
5	Actinomyces slackii	Actinomyces sp. ICM47	1.0	1	1	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	8
6	Actinomyces sp. oral taxon 171	Actinomyces johnsonii	5.0	8	8	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	8
7	Actinomyces johnsonii	Actinomyces sp. oral taxon 171	5.0	8	8	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	8
8	Actinomyces sp. oral taxon 175	Actinomyces johnsonii	5.0	8	8	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	8
9	Actinomyces johnsonii	Actinomyces sp. oral taxon 175	5.0	8	8	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	8
10	Actinomyces sp. oral taxon 175	Actinomyces oris	5.0	8	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
11	Actinomyces oris	Actinomyces sp. oral taxon 175	5.0	8	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
12	Actinomyces sp. oral taxon 414	Actinomyces sp. oral taxon 178	3.0	6	4	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	8
13	Actinomyces sp. oral taxon 178	Actinomyces sp. oral taxon 414	3.0	4	6	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	8
14	Actinomyces sp. oral taxon 849	Actinomyces massiliensis	5.0	8	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
15	Actinomyces massiliensis	Actinomyces sp. oral taxon 849	5.0	8	8	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	8
16	Aggregatibacter actinomycetemcomitans	Actinobaculum sp. oral taxon 183	5.0	7	8	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	8
17	Actinobaculum sp. oral taxon 183	Aggregatibacter actinomycetemcomitans	5.0	8	7	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	8
18	Alloprevotella tannerae	Aggregatibacter sp. oral taxon 458	3.0	4	6	Subgingival_plaque	Buccal_mucosa	Intertype	#e4cf74	#1996f3	#cccccc	8
19	Aggregatibacter sp. oral taxon 458	Alloprevotella tannerae	3.0	6	4	Buccal_mucosa	Subgingival_plaque	Intertype	#1996f3	#e4cf74	#cccccc	8
