	source	target	weight	edge_sample	edcolor
0	Acinetobacter baumannii	[Clostridium] leptum	0.999172940184	Intertype	#cccccc
1	[Clostridium] leptum	Acinetobacter baumannii	0.999172940184	Intertype	#cccccc
2	Acinetobacter johnsonii	Acinetobacter baumannii	0.998474977871	Intertype	#cccccc
3	Acinetobacter baumannii	Acinetobacter johnsonii	0.998474977871	Intertype	#cccccc
4	Acinetobacter junii	Acinetobacter baumannii	0.999357827556	Intertype	#cccccc
5	Acinetobacter baumannii	Acinetobacter junii	0.999357827556	Intertype	#cccccc
6	Acinetobacter lwoffii	[Clostridium] leptum	0.999172940184	Anterior_nares	#8000ff
7	[Clostridium] leptum	Acinetobacter lwoffii	0.999172940184	Anterior_nares	#8000ff
8	Acinetobacter lwoffii	Acinetobacter baumannii	1.0	Intertype	#cccccc
9	Acinetobacter baumannii	Acinetobacter lwoffii	1.0	Intertype	#cccccc
10	Acinetobacter lwoffii	Acinetobacter johnsonii	0.998474977871	Anterior_nares	#8000ff
11	Acinetobacter johnsonii	Acinetobacter lwoffii	0.998474977871	Anterior_nares	#8000ff
12	Acinetobacter lwoffii	Acinetobacter junii	0.999357827556	Anterior_nares	#8000ff
13	Acinetobacter junii	Acinetobacter lwoffii	0.999357827556	Anterior_nares	#8000ff
14	Acinetobacter sp. MDS7A	[Clostridium] leptum	0.999172940184	Anterior_nares	#8000ff
15	[Clostridium] leptum	Acinetobacter sp. MDS7A	0.999172940184	Anterior_nares	#8000ff
16	Acinetobacter sp. MDS7A	Acinetobacter baumannii	1.0	Intertype	#cccccc
17	Acinetobacter baumannii	Acinetobacter sp. MDS7A	1.0	Intertype	#cccccc
18	Acinetobacter sp. MDS7A	Acinetobacter johnsonii	0.998474977871	Anterior_nares	#8000ff
19	Acinetobacter johnsonii	Acinetobacter sp. MDS7A	0.998474977871	Anterior_nares	#8000ff
20	Acinetobacter sp. MDS7A	Acinetobacter junii	0.999357827556	Anterior_nares	#8000ff
21	Acinetobacter junii	Acinetobacter sp. MDS7A	0.999357827556	Anterior_nares	#8000ff
22	Acinetobacter sp. MDS7A	Acinetobacter lwoffii	1.0	Anterior_nares	#8000ff
23	Acinetobacter lwoffii	Acinetobacter sp. MDS7A	1.0	Anterior_nares	#8000ff
24	Acinetobacter towneri	[Clostridium] leptum	0.898080841522	Anterior_nares	#8000ff
25	[Clostridium] leptum	Acinetobacter towneri	0.898080841522	Anterior_nares	#8000ff
26	Acinetobacter towneri	Acinetobacter baumannii	0.902332558281	Intertype	#cccccc
27	Acinetobacter baumannii	Acinetobacter towneri	0.902332558281	Intertype	#cccccc
28	Acinetobacter towneri	Acinetobacter johnsonii	0.8961972636669999	Anterior_nares	#8000ff
29	Acinetobacter johnsonii	Acinetobacter towneri	0.8961972636669999	Anterior_nares	#8000ff
