	source	target	weight	edge_sample	edcolor
0	Actinomyces oris	Actinomyces naeslundii	1.0	Supragingival_plaque	#ff964f
1	Actinomyces naeslundii	Actinomyces oris	1.0	Supragingival_plaque	#ff964f
2	Actinomyces sp. ICM47	Actinomyces naeslundii	1.0	Intertype	#cccccc
3	Actinomyces naeslundii	Actinomyces sp. ICM47	1.0	Intertype	#cccccc
4	Actinomyces sp. ICM47	Actinomyces oris	1.0	Intertype	#cccccc
5	Actinomyces oris	Actinomyces sp. ICM47	1.0	Intertype	#cccccc
6	Actinomyces sp. oral taxon 170	Actinomyces naeslundii	1.0	Supragingival_plaque	#ff964f
7	Actinomyces naeslundii	Actinomyces sp. oral taxon 170	1.0	Supragingival_plaque	#ff964f
8	Actinomyces sp. oral taxon 170	Actinomyces oris	1.0	Supragingival_plaque	#ff964f
9	Actinomyces oris	Actinomyces sp. oral taxon 170	1.0	Supragingival_plaque	#ff964f
10	Actinomyces sp. oral taxon 170	Actinomyces sp. ICM47	1.0	Intertype	#cccccc
11	Actinomyces sp. ICM47	Actinomyces sp. oral taxon 170	1.0	Intertype	#cccccc
12	Actinomyces sp. oral taxon 171	Actinomyces naeslundii	1.0	Supragingival_plaque	#ff964f
13	Actinomyces naeslundii	Actinomyces sp. oral taxon 171	1.0	Supragingival_plaque	#ff964f
14	Actinomyces sp. oral taxon 171	Actinomyces oris	1.0	Supragingival_plaque	#ff964f
15	Actinomyces oris	Actinomyces sp. oral taxon 171	1.0	Supragingival_plaque	#ff964f
16	Actinomyces sp. oral taxon 171	Actinomyces sp. ICM47	1.0	Intertype	#cccccc
17	Actinomyces sp. ICM47	Actinomyces sp. oral taxon 171	1.0	Intertype	#cccccc
18	Actinomyces sp. oral taxon 171	Actinomyces sp. oral taxon 170	1.0	Supragingival_plaque	#ff964f
19	Actinomyces sp. oral taxon 170	Actinomyces sp. oral taxon 171	1.0	Supragingival_plaque	#ff964f
