	source	target	weight	edge_sample	edcolor
0	[Eubacterium] rectale	[Eubacterium] infirmum	0.9801960588200002	Intertype	#cccccc
1	[Eubacterium] infirmum	[Eubacterium] rectale	0.9801960588200002	Intertype	#cccccc
2	[Eubacterium] sulci	[Eubacterium] infirmum	0.924772198928	Intertype	#cccccc
3	[Eubacterium] infirmum	[Eubacterium] sulci	0.924772198928	Intertype	#cccccc
4	[Haemophilus] ducreyi	[Actinobacillus] muris	1.0	Buccal_mucosa	#1996f3
5	[Actinobacillus] muris	[Haemophilus] ducreyi	1.0	Buccal_mucosa	#1996f3
6	[Haemophilus] parasuis	[Actinobacillus] muris	0.917328644212	Buccal_mucosa	#1996f3
7	[Actinobacillus] muris	[Haemophilus] parasuis	0.917328644212	Buccal_mucosa	#1996f3
8	[Haemophilus] parasuis	[Haemophilus] ducreyi	0.917328644212	Buccal_mucosa	#1996f3
9	[Haemophilus] ducreyi	[Haemophilus] parasuis	0.917328644212	Buccal_mucosa	#1996f3
10	[Mannheimia] succiniciproducens	[Actinobacillus] muris	1.0	Buccal_mucosa	#1996f3
11	[Actinobacillus] muris	[Mannheimia] succiniciproducens	1.0	Buccal_mucosa	#1996f3
12	[Mannheimia] succiniciproducens	[Haemophilus] ducreyi	1.0	Buccal_mucosa	#1996f3
13	[Haemophilus] ducreyi	[Mannheimia] succiniciproducens	1.0	Buccal_mucosa	#1996f3
14	[Mannheimia] succiniciproducens	[Haemophilus] parasuis	0.917328644212	Buccal_mucosa	#1996f3
15	[Haemophilus] parasuis	[Mannheimia] succiniciproducens	0.917328644212	Buccal_mucosa	#1996f3
16	Acidovorax delafieldii	Acidovorax caeni	0.979863710097	Intertype	#cccccc
17	Acidovorax caeni	Acidovorax delafieldii	0.979863710097	Intertype	#cccccc
18	Acidovorax ebreus	Acidovorax caeni	0.979863710097	Intertype	#cccccc
19	Acidovorax caeni	Acidovorax ebreus	0.979863710097	Intertype	#cccccc
20	Acidovorax ebreus	Acidovorax delafieldii	1.0	Buccal_mucosa	#1996f3
21	Acidovorax delafieldii	Acidovorax ebreus	1.0	Buccal_mucosa	#1996f3
22	Acidovorax sp. JS42	Acidovorax caeni	0.979863710097	Intertype	#cccccc
23	Acidovorax caeni	Acidovorax sp. JS42	0.979863710097	Intertype	#cccccc
24	Acidovorax sp. JS42	Acidovorax delafieldii	1.0	Buccal_mucosa	#1996f3
25	Acidovorax delafieldii	Acidovorax sp. JS42	1.0	Buccal_mucosa	#1996f3
26	Acidovorax sp. JS42	Acidovorax ebreus	1.0	Buccal_mucosa	#1996f3
27	Acidovorax ebreus	Acidovorax sp. JS42	1.0	Buccal_mucosa	#1996f3
28	Acidovorax temperans	Acidovorax caeni	0.979457574208	Anterior_nares	#8000ff
29	Acidovorax caeni	Acidovorax temperans	0.979457574208	Anterior_nares	#8000ff
30	Acidovorax temperans	Acidovorax delafieldii	0.965176377947	Intertype	#cccccc
31	Acidovorax delafieldii	Acidovorax temperans	0.965176377947	Intertype	#cccccc
32	Acidovorax temperans	Acidovorax ebreus	0.965176377947	Intertype	#cccccc
33	Acidovorax ebreus	Acidovorax temperans	0.965176377947	Intertype	#cccccc
34	Acidovorax temperans	Acidovorax sp. JS42	0.965176377947	Intertype	#cccccc
35	Acidovorax sp. JS42	Acidovorax temperans	0.965176377947	Intertype	#cccccc
36	Acinetobacter baumannii	[Actinobacillus] muris	0.986666070043	Intertype	#cccccc
37	[Actinobacillus] muris	Acinetobacter baumannii	0.986666070043	Intertype	#cccccc
38	Acinetobacter baumannii	[Haemophilus] ducreyi	0.986666070043	Intertype	#cccccc
39	[Haemophilus] ducreyi	Acinetobacter baumannii	0.986666070043	Intertype	#cccccc
40	Acinetobacter baumannii	[Haemophilus] parasuis	0.905097048323	Intertype	#cccccc
41	[Haemophilus] parasuis	Acinetobacter baumannii	0.905097048323	Intertype	#cccccc
42	Acinetobacter baumannii	[Mannheimia] succiniciproducens	0.986666070043	Intertype	#cccccc
43	[Mannheimia] succiniciproducens	Acinetobacter baumannii	0.986666070043	Intertype	#cccccc
44	Actinobacillus minor	[Actinobacillus] muris	0.98613309711	Buccal_mucosa	#1996f3
45	[Actinobacillus] muris	Actinobacillus minor	0.98613309711	Buccal_mucosa	#1996f3
46	Actinobacillus minor	[Haemophilus] ducreyi	0.98613309711	Buccal_mucosa	#1996f3
47	[Haemophilus] ducreyi	Actinobacillus minor	0.98613309711	Buccal_mucosa	#1996f3
48	Actinobacillus minor	[Mannheimia] succiniciproducens	0.98613309711	Buccal_mucosa	#1996f3
49	[Mannheimia] succiniciproducens	Actinobacillus minor	0.98613309711	Buccal_mucosa	#1996f3
50	Actinobacillus minor	Acinetobacter baumannii	0.972984067466	Intertype	#cccccc
51	Acinetobacter baumannii	Actinobacillus minor	0.972984067466	Intertype	#cccccc
52	Actinobacillus pleuropneumoniae	[Actinobacillus] muris	1.0	Buccal_mucosa	#1996f3
53	[Actinobacillus] muris	Actinobacillus pleuropneumoniae	1.0	Buccal_mucosa	#1996f3
54	Actinobacillus pleuropneumoniae	[Haemophilus] ducreyi	1.0	Buccal_mucosa	#1996f3
55	[Haemophilus] ducreyi	Actinobacillus pleuropneumoniae	1.0	Buccal_mucosa	#1996f3
