	source	target	weight	edge_sample	edcolor
0	[Eubacterium] rectale	[Eubacterium] dolichum	0.945294177006	Stool	#b2f396
1	[Eubacterium] dolichum	[Eubacterium] rectale	0.945294177006	Stool	#b2f396
2	Acinetobacter baumannii	[Eubacterium] eligens	1.0	Intertype	#cccccc
3	[Eubacterium] eligens	Acinetobacter baumannii	1.0	Intertype	#cccccc
4	Acinetobacter johnsonii	[Eubacterium] eligens	1.0	Intertype	#cccccc
5	[Eubacterium] eligens	Acinetobacter johnsonii	1.0	Intertype	#cccccc
6	Acinetobacter johnsonii	Acinetobacter baumannii	1.0	Intertype	#cccccc
7	Acinetobacter baumannii	Acinetobacter johnsonii	1.0	Intertype	#cccccc
8	Afipia broomeae	[Eubacterium] dolichum	1.0	Intertype	#cccccc
9	[Eubacterium] dolichum	Afipia broomeae	1.0	Intertype	#cccccc
10	Afipia broomeae	[Eubacterium] rectale	0.945294177006	Intertype	#cccccc
11	[Eubacterium] rectale	Afipia broomeae	0.945294177006	Intertype	#cccccc
12	Akkermansia muciniphila	[Eubacterium] eligens	1.0	Stool	#b2f396
13	[Eubacterium] eligens	Akkermansia muciniphila	1.0	Stool	#b2f396
14	Akkermansia muciniphila	Acinetobacter baumannii	1.0	Intertype	#cccccc
15	Acinetobacter baumannii	Akkermansia muciniphila	1.0	Intertype	#cccccc
16	Akkermansia muciniphila	Acinetobacter johnsonii	1.0	Intertype	#cccccc
17	Acinetobacter johnsonii	Akkermansia muciniphila	1.0	Intertype	#cccccc
18	Alistipes putredinis	[Eubacterium] eligens	0.945294177006	Stool	#b2f396
19	[Eubacterium] eligens	Alistipes putredinis	0.945294177006	Stool	#b2f396
20	Alistipes putredinis	Acinetobacter baumannii	0.945294177006	Intertype	#cccccc
21	Acinetobacter baumannii	Alistipes putredinis	0.945294177006	Intertype	#cccccc
22	Alistipes putredinis	Acinetobacter johnsonii	0.945294177006	Intertype	#cccccc
23	Acinetobacter johnsonii	Alistipes putredinis	0.945294177006	Intertype	#cccccc
24	Alistipes putredinis	Akkermansia muciniphila	0.945294177006	Stool	#b2f396
25	Akkermansia muciniphila	Alistipes putredinis	0.945294177006	Stool	#b2f396
26	Alistipes shahii	[Eubacterium] eligens	1.0	Stool	#b2f396
27	[Eubacterium] eligens	Alistipes shahii	1.0	Stool	#b2f396
28	Alistipes shahii	Acinetobacter baumannii	1.0	Intertype	#cccccc
29	Acinetobacter baumannii	Alistipes shahii	1.0	Intertype	#cccccc
30	Alistipes shahii	Acinetobacter johnsonii	1.0	Intertype	#cccccc
31	Acinetobacter johnsonii	Alistipes shahii	1.0	Intertype	#cccccc
32	Alistipes shahii	Akkermansia muciniphila	1.0	Stool	#b2f396
33	Akkermansia muciniphila	Alistipes shahii	1.0	Stool	#b2f396
34	Alistipes shahii	Alistipes putredinis	0.945294177006	Stool	#b2f396
35	Alistipes putredinis	Alistipes shahii	0.945294177006	Stool	#b2f396
