	source	target	weight	edge_sample	edcolor
0	[Eubacterium] rectale	[Eubacterium] infirmum	1.0	Intertype	#cccccc
1	[Eubacterium] infirmum	[Eubacterium] rectale	1.0	Intertype	#cccccc
2	Abiotrophia defectiva	[Eubacterium] rectale	1.0	Intertype	#cccccc
3	[Eubacterium] rectale	Abiotrophia defectiva	1.0	Intertype	#cccccc
4	Actinobaculum sp. oral taxon 183	[Eubacterium] yurii	1.0	Intertype	#cccccc
5	[Eubacterium] yurii	Actinobaculum sp. oral taxon 183	1.0	Intertype	#cccccc
6	Actinomyces georgiae	[Eubacterium] rectale	1.0	Intertype	#cccccc
7	[Eubacterium] rectale	Actinomyces georgiae	1.0	Intertype	#cccccc
8	Actinomyces graevenitzii	[Eubacterium] infirmum	1.0	Intertype	#cccccc
9	[Eubacterium] infirmum	Actinomyces graevenitzii	1.0	Intertype	#cccccc
10	Actinomyces graevenitzii	[Eubacterium] rectale	1.0	Intertype	#cccccc
11	[Eubacterium] rectale	Actinomyces graevenitzii	1.0	Intertype	#cccccc
12	Actinomyces graevenitzii	Abiotrophia defectiva	1.0	Intertype	#cccccc
13	Abiotrophia defectiva	Actinomyces graevenitzii	1.0	Intertype	#cccccc
14	Actinomyces graevenitzii	Actinomyces georgiae	1.0	Intertype	#cccccc
15	Actinomyces georgiae	Actinomyces graevenitzii	1.0	Intertype	#cccccc
16	Actinomyces massiliensis	[Eubacterium] yurii	1.0	Intertype	#cccccc
17	[Eubacterium] yurii	Actinomyces massiliensis	1.0	Intertype	#cccccc
18	Actinomyces meyeri	[Eubacterium] yurii	1.0	Subgingival_plaque	#e4cf74
19	[Eubacterium] yurii	Actinomyces meyeri	1.0	Subgingival_plaque	#e4cf74
20	Actinomyces meyeri	Actinobaculum sp. oral taxon 183	1.0	Intertype	#cccccc
21	Actinobaculum sp. oral taxon 183	Actinomyces meyeri	1.0	Intertype	#cccccc
22	Actinomyces meyeri	Actinomyces massiliensis	1.0	Intertype	#cccccc
23	Actinomyces massiliensis	Actinomyces meyeri	1.0	Intertype	#cccccc
24	Actinomyces naeslundii	[Eubacterium] rectale	1.0	Intertype	#cccccc
25	[Eubacterium] rectale	Actinomyces naeslundii	1.0	Intertype	#cccccc
26	Actinomyces naeslundii	Actinomyces graevenitzii	1.0	Intertype	#cccccc
27	Actinomyces graevenitzii	Actinomyces naeslundii	1.0	Intertype	#cccccc
28	Actinomyces odontolyticus	[Eubacterium] rectale	1.0	Intertype	#cccccc
29	[Eubacterium] rectale	Actinomyces odontolyticus	1.0	Intertype	#cccccc
30	Actinomyces odontolyticus	Abiotrophia defectiva	1.0	Intertype	#cccccc
31	Abiotrophia defectiva	Actinomyces odontolyticus	1.0	Intertype	#cccccc
32	Actinomyces odontolyticus	Actinomyces georgiae	1.0	Intertype	#cccccc
33	Actinomyces georgiae	Actinomyces odontolyticus	1.0	Intertype	#cccccc
34	Actinomyces odontolyticus	Actinomyces graevenitzii	1.0	Tongue_dorsum	#ff0000
35	Actinomyces graevenitzii	Actinomyces odontolyticus	1.0	Tongue_dorsum	#ff0000
36	Actinomyces odontolyticus	Actinomyces naeslundii	1.0	Intertype	#cccccc
37	Actinomyces naeslundii	Actinomyces odontolyticus	1.0	Intertype	#cccccc
38	Actinomyces oris	[Eubacterium] rectale	1.0	Intertype	#cccccc
39	[Eubacterium] rectale	Actinomyces oris	1.0	Intertype	#cccccc
40	Actinomyces oris	Actinomyces graevenitzii	1.0	Intertype	#cccccc
41	Actinomyces graevenitzii	Actinomyces oris	1.0	Intertype	#cccccc
42	Actinomyces oris	Actinomyces odontolyticus	1.0	Intertype	#cccccc
43	Actinomyces odontolyticus	Actinomyces oris	1.0	Intertype	#cccccc
44	Actinomyces sp. oral taxon 170	[Eubacterium] yurii	1.0	Intertype	#cccccc
45	[Eubacterium] yurii	Actinomyces sp. oral taxon 170	1.0	Intertype	#cccccc
46	Actinomyces sp. oral taxon 170	Actinomyces massiliensis	1.0	Supragingival_plaque	#ff964f
47	Actinomyces massiliensis	Actinomyces sp. oral taxon 170	1.0	Supragingival_plaque	#ff964f
48	Actinomyces sp. oral taxon 170	Actinomyces meyeri	1.0	Intertype	#cccccc
49	Actinomyces meyeri	Actinomyces sp. oral taxon 170	1.0	Intertype	#cccccc
50	Actinomyces sp. oral taxon 171	[Eubacterium] rectale	1.0	Intertype	#cccccc
51	[Eubacterium] rectale	Actinomyces sp. oral taxon 171	1.0	Intertype	#cccccc
52	Actinomyces sp. oral taxon 171	Actinomyces graevenitzii	1.0	Intertype	#cccccc
53	Actinomyces graevenitzii	Actinomyces sp. oral taxon 171	1.0	Intertype	#cccccc
54	Actinomyces sp. oral taxon 171	Actinomyces odontolyticus	1.0	Intertype	#cccccc
55	Actinomyces odontolyticus	Actinomyces sp. oral taxon 171	1.0	Intertype	#cccccc
56	Actinomyces sp. oral taxon 171	Actinomyces oris	1.0	Supragingival_plaque	#ff964f
57	Actinomyces oris	Actinomyces sp. oral taxon 171	1.0	Supragingival_plaque	#ff964f
58	Actinomyces sp. oral taxon 175	[Eubacterium] yurii	1.0	Intertype	#cccccc
59	[Eubacterium] yurii	Actinomyces sp. oral taxon 175	1.0	Intertype	#cccccc
60	Actinomyces sp. oral taxon 175	Actinomyces massiliensis	1.0	Supragingival_plaque	#ff964f
61	Actinomyces massiliensis	Actinomyces sp. oral taxon 175	1.0	Supragingival_plaque	#ff964f
62	Actinomyces sp. oral taxon 175	Actinomyces meyeri	1.0	Intertype	#cccccc
63	Actinomyces meyeri	Actinomyces sp. oral taxon 175	1.0	Intertype	#cccccc
64	Actinomyces sp. oral taxon 175	Actinomyces sp. oral taxon 170	1.0	Supragingival_plaque	#ff964f
65	Actinomyces sp. oral taxon 170	Actinomyces sp. oral taxon 175	1.0	Supragingival_plaque	#ff964f
66	Actinomyces sp. oral taxon 178	[Eubacterium] yurii	1.0	Intertype	#cccccc
67	[Eubacterium] yurii	Actinomyces sp. oral taxon 178	1.0	Intertype	#cccccc
68	Actinomyces sp. oral taxon 178	Actinobaculum sp. oral taxon 183	1.0	Supragingival_plaque	#ff964f
69	Actinobaculum sp. oral taxon 183	Actinomyces sp. oral taxon 178	1.0	Supragingival_plaque	#ff964f
70	Actinomyces sp. oral taxon 178	Actinomyces johnsonii	1.0	Intertype	#cccccc
71	Actinomyces johnsonii	Actinomyces sp. oral taxon 178	1.0	Intertype	#cccccc
72	Actinomyces sp. oral taxon 178	Actinomyces massiliensis	1.0	Supragingival_plaque	#ff964f
73	Actinomyces massiliensis	Actinomyces sp. oral taxon 178	1.0	Supragingival_plaque	#ff964f
74	Actinomyces sp. oral taxon 178	Actinomyces meyeri	1.0	Intertype	#cccccc
75	Actinomyces meyeri	Actinomyces sp. oral taxon 178	1.0	Intertype	#cccccc
76	Actinomyces sp. oral taxon 178	Actinomyces sp. oral taxon 170	1.0	Supragingival_plaque	#ff964f
77	Actinomyces sp. oral taxon 170	Actinomyces sp. oral taxon 178	1.0	Supragingival_plaque	#ff964f
78	Actinomyces sp. oral taxon 178	Actinomyces sp. oral taxon 175	1.0	Supragingival_plaque	#ff964f
79	Actinomyces sp. oral taxon 175	Actinomyces sp. oral taxon 178	1.0	Supragingival_plaque	#ff964f
80	Actinomyces sp. oral taxon 180	[Eubacterium] infirmum	1.0	Intertype	#cccccc
81	[Eubacterium] infirmum	Actinomyces sp. oral taxon 180	1.0	Intertype	#cccccc
82	Actinomyces sp. oral taxon 180	[Eubacterium] rectale	1.0	Intertype	#cccccc
83	[Eubacterium] rectale	Actinomyces sp. oral taxon 180	1.0	Intertype	#cccccc
84	Actinomyces sp. oral taxon 180	Abiotrophia defectiva	1.0	Intertype	#cccccc
85	Abiotrophia defectiva	Actinomyces sp. oral taxon 180	1.0	Intertype	#cccccc
86	Actinomyces sp. oral taxon 180	Actinomyces georgiae	1.0	Intertype	#cccccc
87	Actinomyces georgiae	Actinomyces sp. oral taxon 180	1.0	Intertype	#cccccc
88	Actinomyces sp. oral taxon 180	Actinomyces graevenitzii	1.0	Intertype	#cccccc
89	Actinomyces graevenitzii	Actinomyces sp. oral taxon 180	1.0	Intertype	#cccccc
90	Actinomyces sp. oral taxon 180	Actinomyces naeslundii	1.0	Intertype	#cccccc
91	Actinomyces naeslundii	Actinomyces sp. oral taxon 180	1.0	Intertype	#cccccc
92	Actinomyces sp. oral taxon 180	Actinomyces odontolyticus	1.0	Intertype	#cccccc
93	Actinomyces odontolyticus	Actinomyces sp. oral taxon 180	1.0	Intertype	#cccccc
94	Actinomyces sp. oral taxon 180	Actinomyces oris	1.0	Intertype	#cccccc
95	Actinomyces oris	Actinomyces sp. oral taxon 180	1.0	Intertype	#cccccc
96	Actinomyces sp. oral taxon 180	Actinomyces sp. oral taxon 171	1.0	Intertype	#cccccc
97	Actinomyces sp. oral taxon 171	Actinomyces sp. oral taxon 180	1.0	Intertype	#cccccc
98	Actinomyces sp. oral taxon 414	[Eubacterium] rectale	1.0	Intertype	#cccccc
99	[Eubacterium] rectale	Actinomyces sp. oral taxon 414	1.0	Intertype	#cccccc
100	Actinomyces sp. oral taxon 414	Actinomyces graevenitzii	1.0	Intertype	#cccccc
101	Actinomyces graevenitzii	Actinomyces sp. oral taxon 414	1.0	Intertype	#cccccc
102	Actinomyces sp. oral taxon 414	Actinomyces odontolyticus	1.0	Intertype	#cccccc
103	Actinomyces odontolyticus	Actinomyces sp. oral taxon 414	1.0	Intertype	#cccccc
104	Actinomyces sp. oral taxon 414	Actinomyces sp. oral taxon 180	1.0	Intertype	#cccccc
105	Actinomyces sp. oral taxon 180	Actinomyces sp. oral taxon 414	1.0	Intertype	#cccccc
106	Actinomyces sp. oral taxon 848	Actinomyces sp. oral taxon 178	1.0	Supragingival_plaque	#ff964f
107	Actinomyces sp. oral taxon 178	Actinomyces sp. oral taxon 848	1.0	Supragingival_plaque	#ff964f
108	Actinomyces sp. oral taxon 849	[Eubacterium] yurii	1.0	Intertype	#cccccc
109	[Eubacterium] yurii	Actinomyces sp. oral taxon 849	1.0	Intertype	#cccccc
110	Actinomyces sp. oral taxon 849	Actinomyces massiliensis	1.0	Supragingival_plaque	#ff964f
111	Actinomyces massiliensis	Actinomyces sp. oral taxon 849	1.0	Supragingival_plaque	#ff964f
