	source	target	weight	edge_sample	edcolor
0	Actinomyces meyeri	Actinomyces graevenitzii	0.9109906575	Intertype	#cccccc
1	Actinomyces graevenitzii	Actinomyces meyeri	0.9109906575	Intertype	#cccccc
2	Actinomyces slackii	[Eubacterium] infirmum	0.8661380721520001	Intertype	#cccccc
3	[Eubacterium] infirmum	Actinomyces slackii	0.8661380721520001	Intertype	#cccccc
4	Actinomyces slackii	Actinomyces odontolyticus	0.981019003089	Intertype	#cccccc
5	Actinomyces odontolyticus	Actinomyces slackii	0.981019003089	Intertype	#cccccc
6	Actinomyces sp. ICM47	[Eubacterium] infirmum	0.8661380721520001	Intertype	#cccccc
7	[Eubacterium] infirmum	Actinomyces sp. ICM47	0.8661380721520001	Intertype	#cccccc
8	Actinomyces sp. ICM47	Actinomyces odontolyticus	0.981019003089	Tongue_dorsum	#ff0000
9	Actinomyces odontolyticus	Actinomyces sp. ICM47	0.981019003089	Tongue_dorsum	#ff0000
10	Actinomyces sp. ICM47	Actinomyces slackii	1.0	Intertype	#cccccc
11	Actinomyces slackii	Actinomyces sp. ICM47	1.0	Intertype	#cccccc
12	Actinomyces sp. oral taxon 178	Actinomyces georgiae	0.889382426803	Intertype	#cccccc
13	Actinomyces georgiae	Actinomyces sp. oral taxon 178	0.889382426803	Intertype	#cccccc
14	Actinomyces sp. oral taxon 877	[Eubacterium] infirmum	0.8023809576459999	Intertype	#cccccc
15	[Eubacterium] infirmum	Actinomyces sp. oral taxon 877	0.8023809576459999	Intertype	#cccccc
16	Actinomyces sp. oral taxon 877	Actinomyces slackii	0.911684611677	Supragingival_plaque	#ff964f
17	Actinomyces slackii	Actinomyces sp. oral taxon 877	0.911684611677	Supragingival_plaque	#ff964f
18	Actinomyces sp. oral taxon 877	Actinomyces sp. ICM47	0.911684611677	Intertype	#cccccc
19	Actinomyces sp. ICM47	Actinomyces sp. oral taxon 877	0.911684611677	Intertype	#cccccc
20	Alloprevotella rava	Actinomyces johnsonii	0.8328256477779999	Intertype	#cccccc
21	Actinomyces johnsonii	Alloprevotella rava	0.8328256477779999	Intertype	#cccccc
22	Alloprevotella tannerae	Actinomyces slackii	0.894228954552	Intertype	#cccccc
23	Actinomyces slackii	Alloprevotella tannerae	0.894228954552	Intertype	#cccccc
24	Alloprevotella tannerae	Actinomyces sp. ICM47	0.894228954552	Intertype	#cccccc
25	Actinomyces sp. ICM47	Alloprevotella tannerae	0.894228954552	Intertype	#cccccc
26	Anaeroglobus geminatus	Alloprevotella rava	0.939087351623	Saliva	#7effb5
27	Alloprevotella rava	Anaeroglobus geminatus	0.939087351623	Saliva	#7effb5
28	Arcanobacterium haemolyticum	Actinomyces johnsonii	0.872708144742	Intertype	#cccccc
29	Actinomyces johnsonii	Arcanobacterium haemolyticum	0.872708144742	Intertype	#cccccc
30	Arcanobacterium haemolyticum	Actinomyces massiliensis	0.934071219449	Supragingival_plaque	#ff964f
31	Actinomyces massiliensis	Arcanobacterium haemolyticum	0.934071219449	Supragingival_plaque	#ff964f
32	Arcanobacterium haemolyticum	Alloprevotella rava	0.975157827299	Intertype	#cccccc
33	Alloprevotella rava	Arcanobacterium haemolyticum	0.975157827299	Intertype	#cccccc
34	Arcanobacterium haemolyticum	Anaeroglobus geminatus	0.976785140782	Intertype	#cccccc
35	Anaeroglobus geminatus	Arcanobacterium haemolyticum	0.976785140782	Intertype	#cccccc
36	Atopobium rimae	Arcanobacterium haemolyticum	0.8294929107790001	Intertype	#cccccc
37	Arcanobacterium haemolyticum	Atopobium rimae	0.8294929107790001	Intertype	#cccccc
38	Bulleidia extructa	[Eubacterium] infirmum	0.8661380721520001	Intertype	#cccccc
39	[Eubacterium] infirmum	Bulleidia extructa	0.8661380721520001	Intertype	#cccccc
40	Bulleidia extructa	Actinomyces odontolyticus	0.981019003089	Intertype	#cccccc
41	Actinomyces odontolyticus	Bulleidia extructa	0.981019003089	Intertype	#cccccc
42	Bulleidia extructa	Actinomyces slackii	1.0	Intertype	#cccccc
43	Actinomyces slackii	Bulleidia extructa	1.0	Intertype	#cccccc
44	Bulleidia extructa	Actinomyces sp. ICM47	1.0	Intertype	#cccccc
45	Actinomyces sp. ICM47	Bulleidia extructa	1.0	Intertype	#cccccc
46	Bulleidia extructa	Actinomyces sp. oral taxon 877	0.911684611677	Intertype	#cccccc
47	Actinomyces sp. oral taxon 877	Bulleidia extructa	0.911684611677	Intertype	#cccccc
48	Bulleidia extructa	Alloprevotella tannerae	0.894228954552	Intertype	#cccccc
49	Alloprevotella tannerae	Bulleidia extructa	0.894228954552	Intertype	#cccccc
50	Campylobacter curvus	Actinomyces slackii	0.878310065654	Supragingival_plaque	#ff964f
51	Actinomyces slackii	Campylobacter curvus	0.878310065654	Supragingival_plaque	#ff964f
52	Campylobacter curvus	Actinomyces sp. ICM47	0.878310065654	Intertype	#cccccc
53	Actinomyces sp. ICM47	Campylobacter curvus	0.878310065654	Intertype	#cccccc
54	Campylobacter curvus	Alloprevotella tannerae	0.9000810375499999	Intertype	#cccccc
55	Alloprevotella tannerae	Campylobacter curvus	0.9000810375499999	Intertype	#cccccc
56	Campylobacter curvus	Bulleidia extructa	0.878310065654	Intertype	#cccccc
57	Bulleidia extructa	Campylobacter curvus	0.878310065654	Intertype	#cccccc
58	Campylobacter sp. 10_1_50	Actinomyces graevenitzii	1.0	Intertype	#cccccc
59	Actinomyces graevenitzii	Campylobacter sp. 10_1_50	1.0	Intertype	#cccccc
60	Campylobacter sp. 10_1_50	Actinomyces meyeri	0.9109906575	Intertype	#cccccc
61	Actinomyces meyeri	Campylobacter sp. 10_1_50	0.9109906575	Intertype	#cccccc
62	Capnocytophaga cynodegmi	Actinomyces meyeri	0.896296296296	Intertype	#cccccc
63	Actinomyces meyeri	Capnocytophaga cynodegmi	0.896296296296	Intertype	#cccccc
64	Capnocytophaga gingivalis	Actinomyces graevenitzii	0.924991780225	Intertype	#cccccc
65	Actinomyces graevenitzii	Capnocytophaga gingivalis	0.924991780225	Intertype	#cccccc
66	Capnocytophaga gingivalis	Campylobacter sp. 10_1_50	0.924991780225	Intertype	#cccccc
67	Campylobacter sp. 10_1_50	Capnocytophaga gingivalis	0.924991780225	Intertype	#cccccc
68	Capnocytophaga granulosa	[Eubacterium] infirmum	0.8379873665880001	Intertype	#cccccc
69	[Eubacterium] infirmum	Capnocytophaga granulosa	0.8379873665880001	Intertype	#cccccc
70	Capnocytophaga granulosa	Actinomyces slackii	0.8010173872380001	Supragingival_plaque	#ff964f
71	Actinomyces slackii	Capnocytophaga granulosa	0.8010173872380001	Supragingival_plaque	#ff964f
72	Capnocytophaga granulosa	Actinomyces sp. ICM47	0.8010173872380001	Intertype	#cccccc
73	Actinomyces sp. ICM47	Capnocytophaga granulosa	0.8010173872380001	Intertype	#cccccc
74	Capnocytophaga granulosa	Bulleidia extructa	0.8010173872380001	Intertype	#cccccc
75	Bulleidia extructa	Capnocytophaga granulosa	0.8010173872380001	Intertype	#cccccc
76	Capnocytophaga sp. CM59	[Eubacterium] infirmum	0.8757475631899999	Intertype	#cccccc
77	[Eubacterium] infirmum	Capnocytophaga sp. CM59	0.8757475631899999	Intertype	#cccccc
78	Capnocytophaga sp. oral taxon 323	Alloprevotella rava	0.8989185601299999	Intertype	#cccccc
79	Alloprevotella rava	Capnocytophaga sp. oral taxon 323	0.8989185601299999	Intertype	#cccccc
80	Capnocytophaga sp. oral taxon 323	Arcanobacterium haemolyticum	0.927753785513	Supragingival_plaque	#ff964f
81	Arcanobacterium haemolyticum	Capnocytophaga sp. oral taxon 323	0.927753785513	Supragingival_plaque	#ff964f
82	Capnocytophaga sp. oral taxon 324	Alloprevotella rava	0.958095239251	Intertype	#cccccc
83	Alloprevotella rava	Capnocytophaga sp. oral taxon 324	0.958095239251	Intertype	#cccccc
84	Capnocytophaga sp. oral taxon 324	Arcanobacterium haemolyticum	0.977709315041	Supragingival_plaque	#ff964f
85	Arcanobacterium haemolyticum	Capnocytophaga sp. oral taxon 324	0.977709315041	Supragingival_plaque	#ff964f
86	Capnocytophaga sp. oral taxon 326	Arcanobacterium haemolyticum	0.921821355258	Supragingival_plaque	#ff964f
87	Arcanobacterium haemolyticum	Capnocytophaga sp. oral taxon 326	0.921821355258	Supragingival_plaque	#ff964f
88	Capnocytophaga sp. oral taxon 335	Alloprevotella rava	0.87909532291	Intertype	#cccccc
89	Alloprevotella rava	Capnocytophaga sp. oral taxon 335	0.87909532291	Intertype	#cccccc
90	Capnocytophaga sp. oral taxon 335	Arcanobacterium haemolyticum	0.872871560944	Supragingival_plaque	#ff964f
91	Arcanobacterium haemolyticum	Capnocytophaga sp. oral taxon 335	0.872871560944	Supragingival_plaque	#ff964f
92	Capnocytophaga sp. oral taxon 335	Capnocytophaga ochracea	0.876005759757	Supragingival_plaque	#ff964f
93	Capnocytophaga ochracea	Capnocytophaga sp. oral taxon 335	0.876005759757	Supragingival_plaque	#ff964f
94	Capnocytophaga sp. oral taxon 335	Capnocytophaga sp. oral taxon 323	0.8986914687659999	Supragingival_plaque	#ff964f
