	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
0	Actinomyces meyeri	6	Subgingival_plaque	#e4cf74	5.0	2.0	#9bfba5	#01b3ec
1	Actinomyces graevenitzii	2	Tongue_dorsum	#ff0000	5.0	2.0	#9bfba5	#01b3ec
2	Actinomyces slackii	1	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
3	[Eubacterium] infirmum	3	Subgingival_plaque	#e4cf74	3.0	0.0	#2adddd	#8000ff
4	Actinomyces slackii	1	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
5	Actinomyces odontolyticus	7	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
6	Actinomyces sp. ICM47	1	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
7	[Eubacterium] infirmum	3	Subgingival_plaque	#e4cf74	3.0	0.0	#2adddd	#8000ff
8	Actinomyces sp. ICM47	1	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
9	Actinomyces odontolyticus	7	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
10	Actinomyces sp. ICM47	1	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
11	Actinomyces slackii	1	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
12	Actinomyces sp. oral taxon 178	8	Supragingival_plaque	#ff964f	8.0	1.0	#ff592d	#425ffa
13	Actinomyces georgiae	6	Subgingival_plaque	#e4cf74	8.0	1.0	#ff592d	#425ffa
14	Actinomyces sp. oral taxon 877	8	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
15	[Eubacterium] infirmum	3	Subgingival_plaque	#e4cf74	3.0	0.0	#2adddd	#8000ff
16	Actinomyces sp. oral taxon 877	8	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
17	Actinomyces slackii	1	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
18	Actinomyces sp. oral taxon 877	8	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
19	Actinomyces sp. ICM47	1	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
20	Alloprevotella rava	6	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
21	Actinomyces johnsonii	8	Subgingival_plaque	#e4cf74	0.0	3.0	#8000ff	#3febd5
22	Alloprevotella tannerae	2	Subgingival_plaque	#e4cf74	3.0	0.0	#2adddd	#8000ff
23	Actinomyces slackii	1	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
24	Alloprevotella tannerae	2	Subgingival_plaque	#e4cf74	3.0	0.0	#2adddd	#8000ff
25	Actinomyces sp. ICM47	1	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
26	Anaeroglobus geminatus	4	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
27	Alloprevotella rava	6	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
28	Arcanobacterium haemolyticum	4	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#7effb5
29	Actinomyces johnsonii	8	Subgingival_plaque	#e4cf74	0.0	3.0	#8000ff	#3febd5
30	Arcanobacterium haemolyticum	4	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#7effb5
31	Actinomyces massiliensis	8	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#7effb5
32	Arcanobacterium haemolyticum	4	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#7effb5
33	Alloprevotella rava	6	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
34	Arcanobacterium haemolyticum	4	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#7effb5
35	Anaeroglobus geminatus	4	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
36	Atopobium rimae	3	Saliva	#7effb5	0.0	4.0	#8000ff	#7effb5
37	Arcanobacterium haemolyticum	4	Supragingival_plaque	#ff964f	0.0	4.0	#8000ff	#7effb5
38	Bulleidia extructa	3	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
39	[Eubacterium] infirmum	3	Subgingival_plaque	#e4cf74	3.0	0.0	#2adddd	#8000ff
40	Bulleidia extructa	3	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
41	Actinomyces odontolyticus	7	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
42	Bulleidia extructa	3	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
43	Actinomyces slackii	1	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
44	Bulleidia extructa	3	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
45	Actinomyces sp. ICM47	1	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
46	Bulleidia extructa	3	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
47	Actinomyces sp. oral taxon 877	8	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
48	Bulleidia extructa	3	Throat	#ff5029	3.0	0.0	#2adddd	#8000ff
49	Alloprevotella tannerae	2	Subgingival_plaque	#e4cf74	3.0	0.0	#2adddd	#8000ff
50	Campylobacter curvus	8	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
51	Actinomyces slackii	1	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
52	Campylobacter curvus	8	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
53	Actinomyces sp. ICM47	1	Tongue_dorsum	#ff0000	3.0	0.0	#2adddd	#8000ff
54	Campylobacter curvus	8	Supragingival_plaque	#ff964f	3.0	0.0	#2adddd	#8000ff
55	Alloprevotella tannerae	2	Subgingival_plaque	#e4cf74	3.0	0.0	#2adddd	#8000ff
