	source	target	weight	edge_sample	edcolor
0	Actinobacillus pleuropneumoniae	[Haemophilus] parasuis	1.0	Buccal_mucosa	#1996f3
1	[Haemophilus] parasuis	Actinobacillus pleuropneumoniae	1.0	Buccal_mucosa	#1996f3
2	Actinobaculum sp. oral taxon 183	Abiotrophia defectiva	0.970378401061	Intertype	#cccccc
3	Abiotrophia defectiva	Actinobaculum sp. oral taxon 183	0.970378401061	Intertype	#cccccc
4	Actinomyces dentalis	Abiotrophia defectiva	0.970378401061	Intertype	#cccccc
5	Abiotrophia defectiva	Actinomyces dentalis	0.970378401061	Intertype	#cccccc
6	Actinomyces dentalis	Actinobaculum sp. oral taxon 183	1.0	Intertype	#cccccc
7	Actinobaculum sp. oral taxon 183	Actinomyces dentalis	1.0	Intertype	#cccccc
8	Actinomyces gerencseriae	Actinobaculum sp. oral taxon 183	0.968245836552	Intertype	#cccccc
9	Actinobaculum sp. oral taxon 183	Actinomyces gerencseriae	0.968245836552	Intertype	#cccccc
10	Actinomyces gerencseriae	Actinomyces dentalis	0.968245836552	Subgingival_plaque	#e4cf74
11	Actinomyces dentalis	Actinomyces gerencseriae	0.968245836552	Subgingival_plaque	#e4cf74
12	Actinomyces massiliensis	Abiotrophia defectiva	0.970378401061	Intertype	#cccccc
13	Abiotrophia defectiva	Actinomyces massiliensis	0.970378401061	Intertype	#cccccc
14	Actinomyces massiliensis	Actinobaculum sp. oral taxon 183	1.0	Supragingival_plaque	#ff964f
15	Actinobaculum sp. oral taxon 183	Actinomyces massiliensis	1.0	Supragingival_plaque	#ff964f
16	Actinomyces massiliensis	Actinomyces dentalis	1.0	Intertype	#cccccc
17	Actinomyces dentalis	Actinomyces massiliensis	1.0	Intertype	#cccccc
18	Actinomyces massiliensis	Actinomyces gerencseriae	0.968245836552	Intertype	#cccccc
19	Actinomyces gerencseriae	Actinomyces massiliensis	0.968245836552	Intertype	#cccccc
20	Actinomyces naeslundii	[Pasteurella] pneumotropica	0.912870929175	Intertype	#cccccc
21	[Pasteurella] pneumotropica	Actinomyces naeslundii	0.912870929175	Intertype	#cccccc
22	Actinomyces odontolyticus	Actinomyces meyeri	0.937559166045	Intertype	#cccccc
23	Actinomyces meyeri	Actinomyces odontolyticus	0.937559166045	Intertype	#cccccc
24	Actinomyces oris	Actinobaculum sp. oral taxon 183	0.943242218284	Supragingival_plaque	#ff964f
25	Actinobaculum sp. oral taxon 183	Actinomyces oris	0.943242218284	Supragingival_plaque	#ff964f
26	Actinomyces oris	Actinomyces dentalis	0.943242218284	Intertype	#cccccc
27	Actinomyces dentalis	Actinomyces oris	0.943242218284	Intertype	#cccccc
28	Actinomyces oris	Actinomyces gerencseriae	0.996316746233	Intertype	#cccccc
29	Actinomyces gerencseriae	Actinomyces oris	0.996316746233	Intertype	#cccccc
30	Actinomyces oris	Actinomyces massiliensis	0.943242218284	Supragingival_plaque	#ff964f
31	Actinomyces massiliensis	Actinomyces oris	0.943242218284	Supragingival_plaque	#ff964f
32	Actinomyces oris	Actinomyces naeslundii	0.840168050417	Supragingival_plaque	#ff964f
33	Actinomyces naeslundii	Actinomyces oris	0.840168050417	Supragingival_plaque	#ff964f
34	Actinomyces sp. ICM39	[Haemophilus] parasuis	0.989049713167	Intertype	#cccccc
35	[Haemophilus] parasuis	Actinomyces sp. ICM39	0.989049713167	Intertype	#cccccc
36	Actinomyces sp. ICM39	Actinobacillus pleuropneumoniae	0.989049713167	Intertype	#cccccc
37	Actinobacillus pleuropneumoniae	Actinomyces sp. ICM39	0.989049713167	Intertype	#cccccc
38	Actinomyces sp. oral taxon 170	Abiotrophia defectiva	0.970378401061	Intertype	#cccccc
39	Abiotrophia defectiva	Actinomyces sp. oral taxon 170	0.970378401061	Intertype	#cccccc
40	Actinomyces sp. oral taxon 170	Actinobaculum sp. oral taxon 183	1.0	Supragingival_plaque	#ff964f
41	Actinobaculum sp. oral taxon 183	Actinomyces sp. oral taxon 170	1.0	Supragingival_plaque	#ff964f
42	Actinomyces sp. oral taxon 170	Actinomyces dentalis	1.0	Intertype	#cccccc
43	Actinomyces dentalis	Actinomyces sp. oral taxon 170	1.0	Intertype	#cccccc
44	Actinomyces sp. oral taxon 170	Actinomyces gerencseriae	0.968245836552	Intertype	#cccccc
45	Actinomyces gerencseriae	Actinomyces sp. oral taxon 170	0.968245836552	Intertype	#cccccc
46	Actinomyces sp. oral taxon 170	Actinomyces massiliensis	1.0	Supragingival_plaque	#ff964f
47	Actinomyces massiliensis	Actinomyces sp. oral taxon 170	1.0	Supragingival_plaque	#ff964f
48	Actinomyces sp. oral taxon 170	Actinomyces oris	0.943242218284	Supragingival_plaque	#ff964f
49	Actinomyces oris	Actinomyces sp. oral taxon 170	0.943242218284	Supragingival_plaque	#ff964f
50	Actinomyces sp. oral taxon 171	[Pasteurella] pneumotropica	0.912870929175	Intertype	#cccccc
51	[Pasteurella] pneumotropica	Actinomyces sp. oral taxon 171	0.912870929175	Intertype	#cccccc
52	Actinomyces sp. oral taxon 171	Actinomyces naeslundii	1.0	Supragingival_plaque	#ff964f
53	Actinomyces naeslundii	Actinomyces sp. oral taxon 171	1.0	Supragingival_plaque	#ff964f
54	Actinomyces sp. oral taxon 171	Actinomyces oris	0.840168050417	Supragingival_plaque	#ff964f
55	Actinomyces oris	Actinomyces sp. oral taxon 171	0.840168050417	Supragingival_plaque	#ff964f
56	Actinomyces sp. oral taxon 175	[Pasteurella] pneumotropica	0.912870929175	Intertype	#cccccc
57	[Pasteurella] pneumotropica	Actinomyces sp. oral taxon 175	0.912870929175	Intertype	#cccccc
58	Actinomyces sp. oral taxon 175	Actinomyces naeslundii	1.0	Supragingival_plaque	#ff964f
59	Actinomyces naeslundii	Actinomyces sp. oral taxon 175	1.0	Supragingival_plaque	#ff964f
60	Actinomyces sp. oral taxon 175	Actinomyces oris	0.840168050417	Supragingival_plaque	#ff964f
61	Actinomyces oris	Actinomyces sp. oral taxon 175	0.840168050417	Supragingival_plaque	#ff964f
62	Actinomyces sp. oral taxon 175	Actinomyces sp. oral taxon 171	1.0	Supragingival_plaque	#ff964f
63	Actinomyces sp. oral taxon 171	Actinomyces sp. oral taxon 175	1.0	Supragingival_plaque	#ff964f
64	Actinomyces sp. oral taxon 414	[Haemophilus] parasuis	1.0	Intertype	#cccccc
65	[Haemophilus] parasuis	Actinomyces sp. oral taxon 414	1.0	Intertype	#cccccc
66	Actinomyces sp. oral taxon 414	Actinobacillus pleuropneumoniae	1.0	Intertype	#cccccc
67	Actinobacillus pleuropneumoniae	Actinomyces sp. oral taxon 414	1.0	Intertype	#cccccc
68	Actinomyces sp. oral taxon 414	Actinomyces sp. ICM39	0.989049713167	Intertype	#cccccc
69	Actinomyces sp. ICM39	Actinomyces sp. oral taxon 414	0.989049713167	Intertype	#cccccc
