	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
0	[Eubacterium] rectale	[Eubacterium] dolichum	0.945294177006	2	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#01b3ec	#8000ff
1	[Eubacterium] dolichum	[Eubacterium] rectale	0.945294177006	1	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	1.0	0.0	#01b3ec	#8000ff
2	Acinetobacter baumannii	[Eubacterium] eligens	1.0	1	1	Attached	Stool	Intertype	#4e4dfc	#b2f396	#cccccc	3.0	1.0	#feb562	#1996f3
3	[Eubacterium] eligens	Acinetobacter baumannii	1.0	1	1	Stool	Attached	Intertype	#b2f396	#4e4dfc	#cccccc	3.0	1.0	#feb562	#1996f3
4	Acinetobacter johnsonii	[Eubacterium] eligens	1.0	1	1	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	3.0	1.0	#feb562	#1996f3
5	[Eubacterium] eligens	Acinetobacter johnsonii	1.0	1	1	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	3.0	1.0	#feb562	#1996f3
6	Acinetobacter johnsonii	Acinetobacter baumannii	1.0	1	1	Anterior_nares	Attached	Intertype	#8000ff	#4e4dfc	#cccccc	3.0	1.0	#feb562	#1996f3
7	Acinetobacter baumannii	Acinetobacter johnsonii	1.0	1	1	Attached	Anterior_nares	Intertype	#4e4dfc	#8000ff	#cccccc	3.0	1.0	#feb562	#1996f3
8	Afipia broomeae	[Eubacterium] dolichum	1.0	1	1	Throat	Stool	Intertype	#ff5029	#b2f396	#cccccc	1.0	0.0	#01b3ec	#8000ff
9	[Eubacterium] dolichum	Afipia broomeae	1.0	1	1	Stool	Throat	Intertype	#b2f396	#ff5029	#cccccc	1.0	0.0	#01b3ec	#8000ff
10	Afipia broomeae	[Eubacterium] rectale	0.945294177006	1	2	Throat	Stool	Intertype	#ff5029	#b2f396	#cccccc	1.0	0.0	#01b3ec	#8000ff
11	[Eubacterium] rectale	Afipia broomeae	0.945294177006	2	1	Stool	Throat	Intertype	#b2f396	#ff5029	#cccccc	1.0	0.0	#01b3ec	#8000ff
12	Akkermansia muciniphila	[Eubacterium] eligens	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	1.0	#feb562	#1996f3
13	[Eubacterium] eligens	Akkermansia muciniphila	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	1.0	#feb562	#1996f3
14	Akkermansia muciniphila	Acinetobacter baumannii	1.0	1	1	Stool	Attached	Intertype	#b2f396	#4e4dfc	#cccccc	3.0	1.0	#feb562	#1996f3
15	Acinetobacter baumannii	Akkermansia muciniphila	1.0	1	1	Attached	Stool	Intertype	#4e4dfc	#b2f396	#cccccc	3.0	1.0	#feb562	#1996f3
16	Akkermansia muciniphila	Acinetobacter johnsonii	1.0	1	1	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	3.0	1.0	#feb562	#1996f3
17	Acinetobacter johnsonii	Akkermansia muciniphila	1.0	1	1	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	3.0	1.0	#feb562	#1996f3
18	Alistipes putredinis	[Eubacterium] eligens	0.945294177006	2	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	1.0	#feb562	#1996f3
19	[Eubacterium] eligens	Alistipes putredinis	0.945294177006	1	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	1.0	#feb562	#1996f3
20	Alistipes putredinis	Acinetobacter baumannii	0.945294177006	2	1	Stool	Attached	Intertype	#b2f396	#4e4dfc	#cccccc	3.0	1.0	#feb562	#1996f3
21	Acinetobacter baumannii	Alistipes putredinis	0.945294177006	1	2	Attached	Stool	Intertype	#4e4dfc	#b2f396	#cccccc	3.0	1.0	#feb562	#1996f3
22	Alistipes putredinis	Acinetobacter johnsonii	0.945294177006	2	1	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	3.0	1.0	#feb562	#1996f3
23	Acinetobacter johnsonii	Alistipes putredinis	0.945294177006	1	2	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	3.0	1.0	#feb562	#1996f3
24	Alistipes putredinis	Akkermansia muciniphila	0.945294177006	2	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	1.0	#feb562	#1996f3
25	Akkermansia muciniphila	Alistipes putredinis	0.945294177006	1	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	1.0	#feb562	#1996f3
26	Alistipes shahii	[Eubacterium] eligens	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	1.0	#feb562	#1996f3
27	[Eubacterium] eligens	Alistipes shahii	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	1.0	#feb562	#1996f3
28	Alistipes shahii	Acinetobacter baumannii	1.0	1	1	Stool	Attached	Intertype	#b2f396	#4e4dfc	#cccccc	3.0	1.0	#feb562	#1996f3
29	Acinetobacter baumannii	Alistipes shahii	1.0	1	1	Attached	Stool	Intertype	#4e4dfc	#b2f396	#cccccc	3.0	1.0	#feb562	#1996f3
30	Alistipes shahii	Acinetobacter johnsonii	1.0	1	1	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	3.0	1.0	#feb562	#1996f3
31	Acinetobacter johnsonii	Alistipes shahii	1.0	1	1	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	3.0	1.0	#feb562	#1996f3
32	Alistipes shahii	Akkermansia muciniphila	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	3.0	1.0	#feb562	#1996f3
