	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
0	[Clostridium] aminophilum	[Bacteroides] pectinophilus	0.831974200296	1	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	13.0	0.0	#f0c46c	#8000ff
1	[Bacteroides] pectinophilus	[Clostridium] aminophilum	0.831974200296	12	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	13.0	0.0	#f0c46c	#8000ff
2	[Clostridium] innocuum	[Bacteroides] pectinophilus	0.831974200296	1	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	13.0	0.0	#f0c46c	#8000ff
3	[Bacteroides] pectinophilus	[Clostridium] innocuum	0.831974200296	12	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	13.0	0.0	#f0c46c	#8000ff
4	[Clostridium] innocuum	[Clostridium] aminophilum	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	13.0	0.0	#f0c46c	#8000ff
5	[Clostridium] aminophilum	[Clostridium] innocuum	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	13.0	0.0	#f0c46c	#8000ff
6	[Clostridium] leptum	[Clostridium] aminophilum	0.863129666127	15	1	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	13.0	0.0	#f0c46c	#8000ff
7	[Clostridium] aminophilum	[Clostridium] leptum	0.863129666127	1	15	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	13.0	0.0	#f0c46c	#8000ff
8	[Clostridium] leptum	[Clostridium] innocuum	0.863129666127	15	1	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	13.0	0.0	#f0c46c	#8000ff
9	[Clostridium] innocuum	[Clostridium] leptum	0.863129666127	1	15	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	13.0	0.0	#f0c46c	#8000ff
10	[Clostridium] scindens	[Clostridium] leptum	0.860434426563	2	15	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	4.0	0.0	#10a2f0	#8000ff
