	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
0	Actinobacillus pleuropneumoniae	[Haemophilus] parasuis	1.0	1	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	0.0	1.0	#8000ff	#2c7ef7
1	[Haemophilus] parasuis	Actinobacillus pleuropneumoniae	1.0	1	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	0.0	1.0	#8000ff	#2c7ef7
2	Actinobaculum sp. oral taxon 183	Abiotrophia defectiva	0.970378401061	1	3	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	0.0	2.0	#8000ff	#2adddd
3	Abiotrophia defectiva	Actinobaculum sp. oral taxon 183	0.970378401061	3	1	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	0.0	2.0	#8000ff	#2adddd
4	Actinomyces dentalis	Abiotrophia defectiva	0.970378401061	1	3	Subgingival_plaque	Buccal_mucosa	Intertype	#e4cf74	#1996f3	#cccccc	0.0	2.0	#8000ff	#2adddd
5	Abiotrophia defectiva	Actinomyces dentalis	0.970378401061	3	1	Buccal_mucosa	Subgingival_plaque	Intertype	#1996f3	#e4cf74	#cccccc	0.0	2.0	#8000ff	#2adddd
6	Actinomyces dentalis	Actinobaculum sp. oral taxon 183	1.0	1	1	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	0.0	2.0	#8000ff	#2adddd
7	Actinobaculum sp. oral taxon 183	Actinomyces dentalis	1.0	1	1	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	0.0	2.0	#8000ff	#2adddd
8	Actinomyces gerencseriae	Actinobaculum sp. oral taxon 183	0.968245836552	2	1	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	0.0	2.0	#8000ff	#2adddd
9	Actinobaculum sp. oral taxon 183	Actinomyces gerencseriae	0.968245836552	1	2	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	0.0	2.0	#8000ff	#2adddd
10	Actinomyces gerencseriae	Actinomyces dentalis	0.968245836552	2	1	Subgingival_plaque	Subgingival_plaque	Subgingival_plaque	#e4cf74	#e4cf74	#e4cf74	0.0	2.0	#8000ff	#2adddd
11	Actinomyces dentalis	Actinomyces gerencseriae	0.968245836552	1	2	Subgingival_plaque	Subgingival_plaque	Subgingival_plaque	#e4cf74	#e4cf74	#e4cf74	0.0	2.0	#8000ff	#2adddd
12	Actinomyces massiliensis	Abiotrophia defectiva	0.970378401061	1	3	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	0.0	2.0	#8000ff	#2adddd
