	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
0	[Clostridium] aminophilum	[Bacteroides] pectinophilus	0.831974200296	1	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
1	[Bacteroides] pectinophilus	[Clostridium] aminophilum	0.831974200296	12	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
2	[Clostridium] innocuum	[Bacteroides] pectinophilus	0.831974200296	1	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
3	[Bacteroides] pectinophilus	[Clostridium] innocuum	0.831974200296	12	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
4	[Clostridium] innocuum	[Clostridium] aminophilum	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
5	[Clostridium] aminophilum	[Clostridium] innocuum	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
6	[Clostridium] leptum	[Clostridium] aminophilum	0.863129666127	15	1	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	16
7	[Clostridium] aminophilum	[Clostridium] leptum	0.863129666127	1	15	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	16
8	[Clostridium] leptum	[Clostridium] innocuum	0.863129666127	15	1	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	16
9	[Clostridium] innocuum	[Clostridium] leptum	0.863129666127	1	15	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	16
10	[Clostridium] scindens	[Clostridium] leptum	0.860434426563	2	15	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	16
11	[Clostridium] leptum	[Clostridium] scindens	0.860434426563	15	2	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	16
12	[Clostridium] spiroforme	[Clostridium] aminophilum	0.911111111111	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
13	[Clostridium] aminophilum	[Clostridium] spiroforme	0.911111111111	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
14	[Clostridium] spiroforme	[Clostridium] innocuum	0.911111111111	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
15	[Clostridium] innocuum	[Clostridium] spiroforme	0.911111111111	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
16	[Eubacterium] cellulosolvens	[Clostridium] citroniae	0.995861643492	10	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
17	[Clostridium] citroniae	[Eubacterium] cellulosolvens	0.995861643492	2	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
18	[Eubacterium] hallii	[Clostridium] citroniae	0.861644032389	14	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
19	[Clostridium] citroniae	[Eubacterium] hallii	0.861644032389	2	14	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
20	[Eubacterium] hallii	[Eubacterium] cellulosolvens	0.86522464041	14	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
21	[Eubacterium] cellulosolvens	[Eubacterium] hallii	0.86522464041	10	14	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
22	[Ruminococcus] gnavus	[Eubacterium] cellulosolvens	0.854031315056	1	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
23	[Eubacterium] cellulosolvens	[Ruminococcus] gnavus	0.854031315056	10	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
24	Acidaminococcus sp. BV3L6	Acidaminococcus intestini	1.0	13	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
25	Acidaminococcus intestini	Acidaminococcus sp. BV3L6	1.0	3	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
26	Acidaminococcus sp. HPA0509	Acidaminococcus intestini	1.0	2	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
27	Acidaminococcus intestini	Acidaminococcus sp. HPA0509	1.0	3	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
28	Acidaminococcus sp. HPA0509	Acidaminococcus sp. BV3L6	1.0	2	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
29	Acidaminococcus sp. BV3L6	Acidaminococcus sp. HPA0509	1.0	13	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
30	Aggregatibacter aphrophilus	Actinomyces sp. ICM47	1.0	3	2	Anterior_nares	Tongue_dorsum	Intertype	#8000ff	#ff0000	#cccccc	16
31	Actinomyces sp. ICM47	Aggregatibacter aphrophilus	1.0	2	3	Tongue_dorsum	Anterior_nares	Intertype	#ff0000	#8000ff	#cccccc	16
32	Alistipes indistinctus	Acidaminococcus intestini	0.8550767726	15	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
33	Acidaminococcus intestini	Alistipes indistinctus	0.8550767726	3	15	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
34	Alistipes indistinctus	Acidaminococcus sp. BV3L6	0.8550767726	15	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
35	Acidaminococcus sp. BV3L6	Alistipes indistinctus	0.8550767726	13	15	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
36	Alistipes indistinctus	Acidaminococcus sp. HPA0509	0.8550767726	15	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
37	Acidaminococcus sp. HPA0509	Alistipes indistinctus	0.8550767726	2	15	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
38	Alistipes onderdonkii	[Clostridium] citroniae	0.92653990354	7	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
39	[Clostridium] citroniae	Alistipes onderdonkii	0.92653990354	2	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
40	Alistipes onderdonkii	[Eubacterium] cellulosolvens	0.932085385888	7	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
41	[Eubacterium] cellulosolvens	Alistipes onderdonkii	0.932085385888	10	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
42	Alistipes timonensis	[Clostridium] scindens	0.909873826818	11	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
43	[Clostridium] scindens	Alistipes timonensis	0.909873826818	2	11	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
44	Alistipes timonensis	Actinomyces sp. S6-Spd3	0.866675316087	11	7	Stool	Tongue_dorsum	Intertype	#b2f396	#ff0000	#cccccc	16
45	Actinomyces sp. S6-Spd3	Alistipes timonensis	0.866675316087	7	11	Tongue_dorsum	Stool	Intertype	#ff0000	#b2f396	#cccccc	16
46	Anaerococcus vaginalis	[Bacteroides] pectinophilus	0.831974200296	10	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
47	[Bacteroides] pectinophilus	Anaerococcus vaginalis	0.831974200296	12	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
48	Anaerococcus vaginalis	[Clostridium] aminophilum	1.0	10	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
49	[Clostridium] aminophilum	Anaerococcus vaginalis	1.0	1	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
50	Anaerococcus vaginalis	[Clostridium] innocuum	1.0	10	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
51	[Clostridium] innocuum	Anaerococcus vaginalis	1.0	1	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	16
52	Anaerococcus vaginalis	[Clostridium] leptum	0.863129666127	10	15	Stool	Anterior_nares	Intertype	#b2f396	#8000ff	#cccccc	16
53	[Clostridium] leptum	Anaerococcus vaginalis	0.863129666127	15	10	Anterior_nares	Stool	Intertype	#8000ff	#b2f396	#cccccc	16
