	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
0	Actinobacillus pleuropneumoniae	[Haemophilus] parasuis	1.0	1	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	5
1	[Haemophilus] parasuis	Actinobacillus pleuropneumoniae	1.0	1	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	5
2	Actinobaculum sp. oral taxon 183	Abiotrophia defectiva	0.970378401061	1	3	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	5
3	Abiotrophia defectiva	Actinobaculum sp. oral taxon 183	0.970378401061	3	1	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	5
4	Actinomyces dentalis	Abiotrophia defectiva	0.970378401061	1	3	Subgingival_plaque	Buccal_mucosa	Intertype	#e4cf74	#1996f3	#cccccc	5
5	Abiotrophia defectiva	Actinomyces dentalis	0.970378401061	3	1	Buccal_mucosa	Subgingival_plaque	Intertype	#1996f3	#e4cf74	#cccccc	5
6	Actinomyces dentalis	Actinobaculum sp. oral taxon 183	1.0	1	1	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	5
7	Actinobaculum sp. oral taxon 183	Actinomyces dentalis	1.0	1	1	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	5
8	Actinomyces gerencseriae	Actinobaculum sp. oral taxon 183	0.968245836552	2	1	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	5
9	Actinobaculum sp. oral taxon 183	Actinomyces gerencseriae	0.968245836552	1	2	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	5
10	Actinomyces gerencseriae	Actinomyces dentalis	0.968245836552	2	1	Subgingival_plaque	Subgingival_plaque	Subgingival_plaque	#e4cf74	#e4cf74	#e4cf74	5
11	Actinomyces dentalis	Actinomyces gerencseriae	0.968245836552	1	2	Subgingival_plaque	Subgingival_plaque	Subgingival_plaque	#e4cf74	#e4cf74	#e4cf74	5
12	Actinomyces massiliensis	Abiotrophia defectiva	0.970378401061	1	3	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	5
13	Abiotrophia defectiva	Actinomyces massiliensis	0.970378401061	3	1	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	5
14	Actinomyces massiliensis	Actinobaculum sp. oral taxon 183	1.0	1	1	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	5
15	Actinobaculum sp. oral taxon 183	Actinomyces massiliensis	1.0	1	1	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	5
16	Actinomyces massiliensis	Actinomyces dentalis	1.0	1	1	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	5
17	Actinomyces dentalis	Actinomyces massiliensis	1.0	1	1	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	5
18	Actinomyces massiliensis	Actinomyces gerencseriae	0.968245836552	1	2	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	5
19	Actinomyces gerencseriae	Actinomyces massiliensis	0.968245836552	2	1	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	5
20	Actinomyces naeslundii	[Pasteurella] pneumotropica	0.912870929175	2	3	Supragingival_plaque	Buccal_mucosa	Intertype	#ff964f	#1996f3	#cccccc	5
21	[Pasteurella] pneumotropica	Actinomyces naeslundii	0.912870929175	3	2	Buccal_mucosa	Supragingival_plaque	Intertype	#1996f3	#ff964f	#cccccc	5
22	Actinomyces odontolyticus	Actinomyces meyeri	0.937559166045	5	5	Tongue_dorsum	Subgingival_plaque	Intertype	#ff0000	#e4cf74	#cccccc	5
23	Actinomyces meyeri	Actinomyces odontolyticus	0.937559166045	5	5	Subgingival_plaque	Tongue_dorsum	Intertype	#e4cf74	#ff0000	#cccccc	5
24	Actinomyces oris	Actinobaculum sp. oral taxon 183	0.943242218284	2	1	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	5
25	Actinobaculum sp. oral taxon 183	Actinomyces oris	0.943242218284	1	2	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	5
26	Actinomyces oris	Actinomyces dentalis	0.943242218284	2	1	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	5
27	Actinomyces dentalis	Actinomyces oris	0.943242218284	1	2	Subgingival_plaque	Supragingival_plaque	Intertype	#e4cf74	#ff964f	#cccccc	5
28	Actinomyces oris	Actinomyces gerencseriae	0.996316746233	2	2	Supragingival_plaque	Subgingival_plaque	Intertype	#ff964f	#e4cf74	#cccccc	5
