	source	target	weight	edge_sample	edcolor
0	Actinomyces	Actinobaculum	5.0	Supragingival_plaque	#ff964f
1	Actinobaculum	Actinomyces	5.0	Supragingival_plaque	#ff964f
2	Aggregatibacter	Abiotrophia	10.0	Intertype	#cccccc
3	Abiotrophia	Aggregatibacter	10.0	Intertype	#cccccc
4	Alistipes	Acholeplasma	2.0	Stool	#b2f396
5	Acholeplasma	Alistipes	2.0	Stool	#b2f396
6	Alistipes	Acidaminococcus	2.0	Stool	#b2f396
7	Acidaminococcus	Alistipes	2.0	Stool	#b2f396
8	Aliterella	Acidovorax	1.0	Anterior_nares	#8000ff
9	Acidovorax	Aliterella	1.0	Anterior_nares	#8000ff
10	Alysiella	Alloprevotella	2.0	Attached	#4e4dfc
11	Alloprevotella	Alysiella	2.0	Attached	#4e4dfc
12	Anaerococcus	Acidovorax	2.0	Anterior_nares	#8000ff
13	Acidovorax	Anaerococcus	2.0	Anterior_nares	#8000ff
14	Anaerofustis	Adlercreutzia	1.0	Stool	#b2f396
15	Adlercreutzia	Anaerofustis	1.0	Stool	#b2f396
16	Anaeroglobus	Actinobaculum	3.0	Intertype	#cccccc
17	Actinobaculum	Anaeroglobus	3.0	Intertype	#cccccc
18	Anaerostipes	Akkermansia	3.0	Stool	#b2f396
19	Akkermansia	Anaerostipes	3.0	Stool	#b2f396
20	Arthrobacter	Acidovorax	1.0	Anterior_nares	#8000ff
21	Acidovorax	Arthrobacter	1.0	Anterior_nares	#8000ff
22	Arthrobacter	Aliterella	1.0	Anterior_nares	#8000ff
23	Aliterella	Arthrobacter	1.0	Anterior_nares	#8000ff
24	Atopobacter	Amphibacillus	1.0	Anterior_nares	#8000ff
25	Amphibacillus	Atopobacter	1.0	Anterior_nares	#8000ff
26	Avibacterium	Actinobacillus	2.0	Buccal_mucosa	#1996f3
27	Actinobacillus	Avibacterium	2.0	Buccal_mucosa	#1996f3
28	Azohydromonas	Acidovorax	1.0	Anterior_nares	#8000ff
29	Acidovorax	Azohydromonas	1.0	Anterior_nares	#8000ff
30	Azohydromonas	Aliterella	1.0	Anterior_nares	#8000ff
31	Aliterella	Azohydromonas	1.0	Anterior_nares	#8000ff
32	Azohydromonas	Arthrobacter	1.0	Anterior_nares	#8000ff
33	Arthrobacter	Azohydromonas	1.0	Anterior_nares	#8000ff
34	Bacteroides	Anaerotruncus	5.0	Stool	#b2f396
35	Anaerotruncus	Bacteroides	5.0	Stool	#b2f396
36	Basfia	Alloprevotella	2.0	Intertype	#cccccc
37	Alloprevotella	Basfia	2.0	Intertype	#cccccc
38	Bifidobacterium	Adlercreutzia	2.0	Stool	#b2f396
39	Adlercreutzia	Bifidobacterium	2.0	Stool	#b2f396
40	Bifidobacterium	Anaerostipes	3.0	Stool	#b2f396
41	Anaerostipes	Bifidobacterium	3.0	Stool	#b2f396
42	Bifidobacterium	Bacteroides	3.0	Stool	#b2f396
43	Bacteroides	Bifidobacterium	3.0	Stool	#b2f396
44	Blautia	Acetivibrio	9.0	Stool	#b2f396
45	Acetivibrio	Blautia	9.0	Stool	#b2f396
46	Blautia	Adlercreutzia	3.0	Stool	#b2f396
47	Adlercreutzia	Blautia	3.0	Stool	#b2f396
