	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
0	Acidaminococcus	3	Stool	#b2f396	3.0	1.0	#3079f7	#6a22fe
1	Acholeplasma	12	Stool	#b2f396	3.0	1.0	#3079f7	#6a22fe
2	Aliterella	4	Anterior_nares	#8000ff	15.0	2.0	#ff9d53	#5247fc
3	Acinetobacter	2	Anterior_nares	#8000ff	8.0	2.0	#56f7ca	#5247fc
4	Anaerotruncus	30	Stool	#b2f396	1.0	0.0	#6629fe	#8000ff
5	Acetivibrio	28	Stool	#b2f396	1.0	0.0	#6629fe	#8000ff
6	Arthrobacter	1	Anterior_nares	#8000ff	15.0	2.0	#ff9d53	#5247fc
7	Acinetobacter	2	Anterior_nares	#8000ff	8.0	2.0	#56f7ca	#5247fc
8	Arthrobacter	1	Anterior_nares	#8000ff	15.0	2.0	#ff9d53	#5247fc
9	Aliterella	4	Anterior_nares	#8000ff	15.0	2.0	#ff9d53	#5247fc
10	Atopobacter	11	Anterior_nares	#8000ff	6.0	9.0	#20d5e1	#50f4cc
11	Amphibacillus	1	Anterior_nares	#8000ff	6.0	9.0	#20d5e1	#50f4cc
12	Aureimonas	8	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
13	Arcanobacterium	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
14	Avibacterium	9	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
15	Actinobacillus	10	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
16	Azohydromonas	12	Anterior_nares	#8000ff	8.0	2.0	#56f7ca	#5247fc
17	Acinetobacter	2	Anterior_nares	#8000ff	8.0	2.0	#56f7ca	#5247fc
18	Azohydromonas	12	Anterior_nares	#8000ff	8.0	2.0	#56f7ca	#5247fc
19	Aliterella	4	Anterior_nares	#8000ff	15.0	2.0	#ff9d53	#5247fc
20	Azohydromonas	12	Anterior_nares	#8000ff	8.0	2.0	#56f7ca	#5247fc
21	Arthrobacter	1	Anterior_nares	#8000ff	15.0	2.0	#ff9d53	#5247fc
22	Basfia	23	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
23	Actinobacillus	10	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
24	Basfia	23	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
25	Avibacterium	9	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
26	Bibersteinia	1	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
27	Actinobacillus	10	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
28	Bibersteinia	1	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
29	Basfia	23	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
30	Bradyrhizobium	43	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
31	Afipia	24	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
32	Brevibacterium	14	Posterior_fornix	#4df3ce	0.0	5.0	#8000ff	#0ea5ef
33	Aerococcus	10	Posterior_fornix	#4df3ce	9.0	5.0	#70febc	#0ea5ef
34	Burkholderia	2	Posterior_fornix	#4df3ce	9.0	5.0	#70febc	#0ea5ef
35	Aerococcus	10	Posterior_fornix	#4df3ce	9.0	5.0	#70febc	#0ea5ef
36	Burkholderia	2	Posterior_fornix	#4df3ce	9.0	5.0	#70febc	#0ea5ef
37	Brevibacterium	14	Posterior_fornix	#4df3ce	0.0	5.0	#8000ff	#0ea5ef
38	Calothrix	1	Anterior_nares	#8000ff	6.0	9.0	#20d5e1	#50f4cc
39	Amphibacillus	1	Anterior_nares	#8000ff	6.0	9.0	#20d5e1	#50f4cc
40	Calothrix	1	Anterior_nares	#8000ff	6.0	9.0	#20d5e1	#50f4cc
41	Atopobacter	11	Anterior_nares	#8000ff	6.0	9.0	#20d5e1	#50f4cc
42	Citrobacter	1	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
43	Afipia	24	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
44	Citrobacter	1	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
45	Bradyrhizobium	43	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
46	Conchiformibius	13	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
47	Afipia	24	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
48	Conchiformibius	13	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
49	Bradyrhizobium	43	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
50	Conchiformibius	13	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
51	Citrobacter	1	Throat	#ff5029	13.0	6.0	#dcd67a	#0ac0e8
52	Crocosphaera	19	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
53	Arcanobacterium	2	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
54	Crocosphaera	19	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
55	Aureimonas	8	Anterior_nares	#8000ff	18.0	11.0	#ff2c16	#7effb5
56	Dechloromonas	21	Buccal_mucosa	#1996f3	11.0	7.0	#a6f89d	#22d6e0
57	Alicycliphilus	6	Buccal_mucosa	#1996f3	11.0	7.0	#a6f89d	#22d6e0
58	Dehalobacter	1	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
59	Actinobacillus	10	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
60	Dehalobacter	1	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
61	Avibacterium	9	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
62	Dehalobacter	1	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
63	Basfia	23	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
64	Dehalobacter	1	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
65	Bibersteinia	1	Buccal_mucosa	#1996f3	4.0	3.0	#169bf2	#3c68f9
66	Delftia	7	Anterior_nares	#8000ff	15.0	2.0	#ff9d53	#5247fc
67	Acinetobacter	2	Anterior_nares	#8000ff	8.0	2.0	#56f7ca	#5247fc
68	Delftia	7	Anterior_nares	#8000ff	15.0	2.0	#ff9d53	#5247fc
69	Aliterella	4	Anterior_nares	#8000ff	15.0	2.0	#ff9d53	#5247fc
70	Delftia	7	Anterior_nares	#8000ff	15.0	2.0	#ff9d53	#5247fc
