	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
0	Acidaminococcus	Acholeplasma	0.809039834956	3	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
1	Acholeplasma	Acidaminococcus	0.809039834956	12	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
2	Aliterella	Acinetobacter	0.996194152991	4	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
3	Acinetobacter	Aliterella	0.996194152991	2	4	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
4	Anaerotruncus	Acetivibrio	0.878050690831	30	28	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
5	Acetivibrio	Anaerotruncus	0.878050690831	28	30	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
6	Arthrobacter	Acinetobacter	0.996194152991	1	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
7	Acinetobacter	Arthrobacter	0.996194152991	2	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
8	Arthrobacter	Aliterella	1.0	1	4	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
9	Aliterella	Arthrobacter	1.0	4	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
10	Atopobacter	Amphibacillus	1.0	11	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
11	Amphibacillus	Atopobacter	1.0	1	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
12	Aureimonas	Arcanobacterium	0.969895294641	8	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
13	Arcanobacterium	Aureimonas	0.969895294641	2	8	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
14	Avibacterium	Actinobacillus	0.826132455582	9	10	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
15	Actinobacillus	Avibacterium	0.826132455582	10	9	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
16	Azohydromonas	Acinetobacter	0.996194152991	12	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
17	Acinetobacter	Azohydromonas	0.996194152991	2	12	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
18	Azohydromonas	Aliterella	1.0	12	4	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
19	Aliterella	Azohydromonas	1.0	4	12	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
