	source	target	weight	edge_sample	edcolor
0	[Clostridium] bolteae	[Bacteroides] pectinophilus	5.0	Stool	#b2f396
1	[Bacteroides] pectinophilus	[Clostridium] bolteae	5.0	Stool	#b2f396
2	[Clostridium] clostridioforme	[Clostridium] asparagiforme	4.0	Stool	#b2f396
3	[Clostridium] asparagiforme	[Clostridium] clostridioforme	4.0	Stool	#b2f396
4	[Clostridium] clostridioforme	[Clostridium] bolteae	5.0	Stool	#b2f396
5	[Clostridium] bolteae	[Clostridium] clostridioforme	5.0	Stool	#b2f396
6	[Clostridium] glycyrrhizinilyticum	[Clostridium] citroniae	1.0	Stool	#b2f396
7	[Clostridium] citroniae	[Clostridium] glycyrrhizinilyticum	1.0	Stool	#b2f396
8	[Clostridium] methylpentosum	[Clostridium] aminophilum	1.0	Stool	#b2f396
9	[Clostridium] aminophilum	[Clostridium] methylpentosum	1.0	Stool	#b2f396
10	[Clostridium] methylpentosum	[Clostridium] innocuum	1.0	Stool	#b2f396
11	[Clostridium] innocuum	[Clostridium] methylpentosum	1.0	Stool	#b2f396
12	[Clostridium] saccharogumia	[Clostridium] glycyrrhizinilyticum	1.0	Stool	#b2f396
13	[Clostridium] glycyrrhizinilyticum	[Clostridium] saccharogumia	1.0	Stool	#b2f396
14	[Clostridium] scindens	[Clostridium] methylpentosum	1.0	Stool	#b2f396
15	[Clostridium] methylpentosum	[Clostridium] scindens	1.0	Stool	#b2f396
16	[Clostridium] spiroforme	[Bacteroides] pectinophilus	3.0	Stool	#b2f396
17	[Bacteroides] pectinophilus	[Clostridium] spiroforme	3.0	Stool	#b2f396
18	[Clostridium] spiroforme	[Clostridium] asparagiforme	3.0	Stool	#b2f396
19	[Clostridium] asparagiforme	[Clostridium] spiroforme	3.0	Stool	#b2f396
20	[Clostridium] symbiosum	[Clostridium] asparagiforme	4.0	Stool	#b2f396
21	[Clostridium] asparagiforme	[Clostridium] symbiosum	4.0	Stool	#b2f396
22	[Clostridium] symbiosum	[Clostridium] spiroforme	6.0	Stool	#b2f396
23	[Clostridium] spiroforme	[Clostridium] symbiosum	6.0	Stool	#b2f396
24	[Eubacterium] eligens	[Bacteroides] pectinophilus	5.0	Stool	#b2f396
25	[Bacteroides] pectinophilus	[Eubacterium] eligens	5.0	Stool	#b2f396
26	[Eubacterium] hallii	[Bacteroides] pectinophilus	5.0	Stool	#b2f396
27	[Bacteroides] pectinophilus	[Eubacterium] hallii	5.0	Stool	#b2f396
28	[Eubacterium] hallii	[Clostridium] bolteae	4.0	Stool	#b2f396
29	[Clostridium] bolteae	[Eubacterium] hallii	4.0	Stool	#b2f396
30	[Eubacterium] hallii	[Clostridium] spiroforme	5.0	Stool	#b2f396
31	[Clostridium] spiroforme	[Eubacterium] hallii	5.0	Stool	#b2f396
32	[Eubacterium] rectale	[Clostridium] spiroforme	3.0	Stool	#b2f396
33	[Clostridium] spiroforme	[Eubacterium] rectale	3.0	Stool	#b2f396
34	[Eubacterium] rectale	[Clostridium] symbiosum	4.0	Stool	#b2f396
35	[Clostridium] symbiosum	[Eubacterium] rectale	4.0	Stool	#b2f396
36	[Eubacterium] siraeum	[Bacteroides] pectinophilus	2.0	Stool	#b2f396
37	[Bacteroides] pectinophilus	[Eubacterium] siraeum	2.0	Stool	#b2f396
38	[Eubacterium] siraeum	[Clostridium] aminophilum	1.0	Stool	#b2f396
39	[Clostridium] aminophilum	[Eubacterium] siraeum	1.0	Stool	#b2f396
40	[Eubacterium] siraeum	[Clostridium] innocuum	1.0	Stool	#b2f396
41	[Clostridium] innocuum	[Eubacterium] siraeum	1.0	Stool	#b2f396
42	[Eubacterium] siraeum	[Clostridium] scindens	1.0	Stool	#b2f396
43	[Clostridium] scindens	[Eubacterium] siraeum	1.0	Stool	#b2f396
44	[Haemophilus] ducreyi	[Actinobacillus] muris	2.0	Buccal_mucosa	#1996f3
45	[Actinobacillus] muris	[Haemophilus] ducreyi	2.0	Buccal_mucosa	#1996f3
46	[Haemophilus] parasuis	[Actinobacillus] muris	2.0	Buccal_mucosa	#1996f3
47	[Actinobacillus] muris	[Haemophilus] parasuis	2.0	Buccal_mucosa	#1996f3
48	[Haemophilus] parasuis	[Haemophilus] ducreyi	2.0	Buccal_mucosa	#1996f3
49	[Haemophilus] ducreyi	[Haemophilus] parasuis	2.0	Buccal_mucosa	#1996f3
50	[Mannheimia] succiniciproducens	[Actinobacillus] muris	2.0	Buccal_mucosa	#1996f3
51	[Actinobacillus] muris	[Mannheimia] succiniciproducens	2.0	Buccal_mucosa	#1996f3
52	[Mannheimia] succiniciproducens	[Haemophilus] ducreyi	2.0	Buccal_mucosa	#1996f3
53	[Haemophilus] ducreyi	[Mannheimia] succiniciproducens	2.0	Buccal_mucosa	#1996f3
54	[Mannheimia] succiniciproducens	[Haemophilus] parasuis	2.0	Buccal_mucosa	#1996f3
55	[Haemophilus] parasuis	[Mannheimia] succiniciproducens	2.0	Buccal_mucosa	#1996f3
56	[Ruminococcus] gnavus	[Clostridium] bolteae	4.0	Stool	#b2f396
57	[Clostridium] bolteae	[Ruminococcus] gnavus	4.0	Stool	#b2f396
58	[Ruminococcus] gnavus	[Eubacterium] hallii	3.0	Stool	#b2f396
59	[Eubacterium] hallii	[Ruminococcus] gnavus	3.0	Stool	#b2f396
60	[Ruminococcus] torques	[Clostridium] aminophilum	1.0	Stool	#b2f396
61	[Clostridium] aminophilum	[Ruminococcus] torques	1.0	Stool	#b2f396
62	[Ruminococcus] torques	[Clostridium] citroniae	1.0	Stool	#b2f396
63	[Clostridium] citroniae	[Ruminococcus] torques	1.0	Stool	#b2f396
64	[Ruminococcus] torques	[Clostridium] innocuum	1.0	Stool	#b2f396
65	[Clostridium] innocuum	[Ruminococcus] torques	1.0	Stool	#b2f396
66	[Ruminococcus] torques	[Clostridium] saccharogumia	1.0	Stool	#b2f396
67	[Clostridium] saccharogumia	[Ruminococcus] torques	1.0	Stool	#b2f396
68	[Ruminococcus] torques	[Clostridium] scindens	1.0	Stool	#b2f396
69	[Clostridium] scindens	[Ruminococcus] torques	1.0	Stool	#b2f396
70	Abiotrophia defectiva	[Haemophilus] parasuis	3.0	Buccal_mucosa	#1996f3
71	[Haemophilus] parasuis	Abiotrophia defectiva	3.0	Buccal_mucosa	#1996f3
72	Acidaminococcus sp. BV3L6	Acidaminococcus intestini	2.0	Stool	#b2f396
73	Acidaminococcus intestini	Acidaminococcus sp. BV3L6	2.0	Stool	#b2f396
74	Acidaminococcus sp. HPA0509	Acidaminococcus intestini	2.0	Stool	#b2f396
75	Acidaminococcus intestini	Acidaminococcus sp. HPA0509	2.0	Stool	#b2f396
76	Acidaminococcus sp. HPA0509	Acidaminococcus sp. BV3L6	2.0	Stool	#b2f396
77	Acidaminococcus sp. BV3L6	Acidaminococcus sp. HPA0509	2.0	Stool	#b2f396
78	Acinetobacter johnsonii	[Clostridium] leptum	1.0	Anterior_nares	#8000ff
79	[Clostridium] leptum	Acinetobacter johnsonii	1.0	Anterior_nares	#8000ff
80	Acinetobacter junii	[Clostridium] leptum	1.0	Anterior_nares	#8000ff
81	[Clostridium] leptum	Acinetobacter junii	1.0	Anterior_nares	#8000ff
82	Acinetobacter junii	Acinetobacter johnsonii	1.0	Anterior_nares	#8000ff
83	Acinetobacter johnsonii	Acinetobacter junii	1.0	Anterior_nares	#8000ff
84	Actinobacillus minor	[Eubacterium] sulci	2.0	Intertype	#cccccc
85	[Eubacterium] sulci	Actinobacillus minor	2.0	Intertype	#cccccc
86	Actinobacillus pleuropneumoniae	[Actinobacillus] muris	2.0	Buccal_mucosa	#1996f3
87	[Actinobacillus] muris	Actinobacillus pleuropneumoniae	2.0	Buccal_mucosa	#1996f3
88	Actinobacillus pleuropneumoniae	[Haemophilus] ducreyi	2.0	Buccal_mucosa	#1996f3
89	[Haemophilus] ducreyi	Actinobacillus pleuropneumoniae	2.0	Buccal_mucosa	#1996f3
90	Actinobacillus pleuropneumoniae	[Haemophilus] parasuis	2.0	Buccal_mucosa	#1996f3
91	[Haemophilus] parasuis	Actinobacillus pleuropneumoniae	2.0	Buccal_mucosa	#1996f3
92	Actinobacillus pleuropneumoniae	[Mannheimia] succiniciproducens	2.0	Buccal_mucosa	#1996f3
93	[Mannheimia] succiniciproducens	Actinobacillus pleuropneumoniae	2.0	Buccal_mucosa	#1996f3
94	Actinobacillus pleuropneumoniae	Actinobacillus minor	2.0	Buccal_mucosa	#1996f3
95	Actinobacillus minor	Actinobacillus pleuropneumoniae	2.0	Buccal_mucosa	#1996f3
96	Actinobacillus ureae	Actinobacillus pleuropneumoniae	2.0	Buccal_mucosa	#1996f3
97	Actinobacillus pleuropneumoniae	Actinobacillus ureae	2.0	Buccal_mucosa	#1996f3
98	Actinomyces dentalis	[Eubacterium] infirmum	3.0	Subgingival_plaque	#e4cf74
99	[Eubacterium] infirmum	Actinomyces dentalis	3.0	Subgingival_plaque	#e4cf74
100	Actinomyces dentalis	Abiotrophia defectiva	3.0	Intertype	#cccccc
101	Abiotrophia defectiva	Actinomyces dentalis	3.0	Intertype	#cccccc
102	Actinomyces georgiae	[Eubacterium] infirmum	3.0	Subgingival_plaque	#e4cf74
103	[Eubacterium] infirmum	Actinomyces georgiae	3.0	Subgingival_plaque	#e4cf74
104	Actinomyces gerencseriae	Actinomyces dentalis	3.0	Subgingival_plaque	#e4cf74
105	Actinomyces dentalis	Actinomyces gerencseriae	3.0	Subgingival_plaque	#e4cf74
106	Actinomyces graevenitzii	[Eubacterium] sulci	3.0	Tongue_dorsum	#ff0000
107	[Eubacterium] sulci	Actinomyces graevenitzii	3.0	Tongue_dorsum	#ff0000
108	Actinomyces israelii	Actinobaculum sp. oral taxon 183	2.0	Intertype	#cccccc
109	Actinobaculum sp. oral taxon 183	Actinomyces israelii	2.0	Intertype	#cccccc
110	Actinomyces johnsonii	Actinobaculum sp. oral taxon 183	4.0	Intertype	#cccccc
111	Actinobaculum sp. oral taxon 183	Actinomyces johnsonii	4.0	Intertype	#cccccc
112	Actinomyces johnsonii	Actinomyces dentalis	5.0	Subgingival_plaque	#e4cf74
113	Actinomyces dentalis	Actinomyces johnsonii	5.0	Subgingival_plaque	#e4cf74
114	Actinomyces johnsonii	Actinomyces gerencseriae	4.0	Subgingival_plaque	#e4cf74
