	source	source_freq	first_sample	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
0	[Clostridium] bolteae	12	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
1	[Bacteroides] pectinophilus	11	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
2	[Clostridium] clostridioforme	15	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
3	[Clostridium] asparagiforme	9	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
4	[Clostridium] clostridioforme	15	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
5	[Clostridium] bolteae	12	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
6	[Clostridium] glycyrrhizinilyticum	4	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
7	[Clostridium] citroniae	1	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
8	[Clostridium] methylpentosum	4	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
9	[Clostridium] aminophilum	1	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
10	[Clostridium] methylpentosum	4	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
11	[Clostridium] innocuum	1	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
12	[Clostridium] saccharogumia	1	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
13	[Clostridium] glycyrrhizinilyticum	4	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
14	[Clostridium] scindens	1	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
15	[Clostridium] methylpentosum	4	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
16	[Clostridium] spiroforme	8	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
17	[Bacteroides] pectinophilus	11	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
18	[Clostridium] spiroforme	8	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
19	[Clostridium] asparagiforme	9	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
20	[Clostridium] symbiosum	9	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
21	[Clostridium] asparagiforme	9	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
22	[Clostridium] symbiosum	9	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
23	[Clostridium] spiroforme	8	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
24	[Eubacterium] eligens	15	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
25	[Bacteroides] pectinophilus	11	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
26	[Eubacterium] hallii	11	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
27	[Bacteroides] pectinophilus	11	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
28	[Eubacterium] hallii	11	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
29	[Clostridium] bolteae	12	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
30	[Eubacterium] hallii	11	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
31	[Clostridium] spiroforme	8	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
32	[Eubacterium] rectale	24	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
33	[Clostridium] spiroforme	8	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
34	[Eubacterium] rectale	24	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
35	[Clostridium] symbiosum	9	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
36	[Eubacterium] siraeum	11	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
37	[Bacteroides] pectinophilus	11	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
38	[Eubacterium] siraeum	11	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
39	[Clostridium] aminophilum	1	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
40	[Eubacterium] siraeum	11	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
41	[Clostridium] innocuum	1	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
42	[Eubacterium] siraeum	11	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
43	[Clostridium] scindens	1	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
44	[Haemophilus] ducreyi	2	Buccal_mucosa	#1996f3	0.0	0.0	#8000ff	#8000ff
45	[Actinobacillus] muris	2	Buccal_mucosa	#1996f3	0.0	0.0	#8000ff	#8000ff
46	[Haemophilus] parasuis	6	Buccal_mucosa	#1996f3	0.0	0.0	#8000ff	#8000ff
47	[Actinobacillus] muris	2	Buccal_mucosa	#1996f3	0.0	0.0	#8000ff	#8000ff
48	[Haemophilus] parasuis	6	Buccal_mucosa	#1996f3	0.0	0.0	#8000ff	#8000ff
49	[Haemophilus] ducreyi	2	Buccal_mucosa	#1996f3	0.0	0.0	#8000ff	#8000ff
50	[Mannheimia] succiniciproducens	2	Buccal_mucosa	#1996f3	0.0	0.0	#8000ff	#8000ff
51	[Actinobacillus] muris	2	Buccal_mucosa	#1996f3	0.0	0.0	#8000ff	#8000ff
52	[Mannheimia] succiniciproducens	2	Buccal_mucosa	#1996f3	0.0	0.0	#8000ff	#8000ff
53	[Haemophilus] ducreyi	2	Buccal_mucosa	#1996f3	0.0	0.0	#8000ff	#8000ff
54	[Mannheimia] succiniciproducens	2	Buccal_mucosa	#1996f3	0.0	0.0	#8000ff	#8000ff
55	[Haemophilus] parasuis	6	Buccal_mucosa	#1996f3	0.0	0.0	#8000ff	#8000ff
56	[Ruminococcus] gnavus	11	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
57	[Clostridium] bolteae	12	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
58	[Ruminococcus] gnavus	11	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
59	[Eubacterium] hallii	11	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
60	[Ruminococcus] torques	3	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
61	[Clostridium] aminophilum	1	Stool	#b2f396	2.0	1.0	#ff0000	#1996f3
