	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
0	[Clostridium] innocuum	[Clostridium] aminophilum	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	1.0	#169bf2	#7610ff
1	[Clostridium] aminophilum	[Clostridium] innocuum	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	1.0	#169bf2	#7610ff
2	[Clostridium] saccharogumia	[Clostridium] citroniae	1.0	4	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	1.0	#169bf2	#7610ff
3	[Clostridium] citroniae	[Clostridium] saccharogumia	1.0	1	4	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	1.0	#169bf2	#7610ff
4	[Clostridium] scindens	[Clostridium] aminophilum	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	1.0	#169bf2	#7610ff
5	[Clostridium] aminophilum	[Clostridium] scindens	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	1.0	#169bf2	#7610ff
6	[Clostridium] scindens	[Clostridium] innocuum	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	1.0	#169bf2	#7610ff
7	[Clostridium] innocuum	[Clostridium] scindens	1.0	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	1.0	#169bf2	#7610ff
8	[Clostridium] spiroforme	[Bacteroides] pectinophilus	0.855798720298	1	11	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	1.0	#169bf2	#7610ff
9	[Bacteroides] pectinophilus	[Clostridium] spiroforme	0.855798720298	11	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	1.0	#169bf2	#7610ff
10	[Clostridium] spiroforme	[Clostridium] aminophilum	0.910721513176	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	1.0	#169bf2	#7610ff
11	[Clostridium] aminophilum	[Clostridium] spiroforme	0.910721513176	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	1.0	#169bf2	#7610ff
12	[Clostridium] spiroforme	[Clostridium] innocuum	0.910721513176	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	1.0	#169bf2	#7610ff
13	[Clostridium] innocuum	[Clostridium] spiroforme	0.910721513176	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	1.0	#169bf2	#7610ff
14	[Clostridium] spiroforme	[Clostridium] scindens	0.910721513176	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	1.0	#169bf2	#7610ff
15	[Clostridium] scindens	[Clostridium] spiroforme	0.910721513176	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	1.0	#169bf2	#7610ff
16	[Clostridium] symbiosum	[Bacteroides] pectinophilus	0.8469552603939999	8	11	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	1.0	#169bf2	#7610ff
17	[Bacteroides] pectinophilus	[Clostridium] symbiosum	0.8469552603939999	11	8	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	1.0	#169bf2	#7610ff
18	[Eubacterium] hallii	[Clostridium] sordellii	0.873883560682	15	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	1.0	#169bf2	#7610ff
19	[Clostridium] sordellii	[Eubacterium] hallii	0.873883560682	1	15	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	9.0	1.0	#169bf2	#7610ff
