	source	source_freq	source_type	target_type	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
0	Acidaminococcus	2	Stool	Stool	#b2f396	0.0	2.0	#8000ff	#10c6e6
1	Acholeplasma	3	Stool	Stool	#b2f396	0.0	2.0	#8000ff	#10c6e6
2	Actinomyces	36	Supragingival_plaque	Supragingival_plaque	#ff964f	5.0	0.0	#ecc86f	#8000ff
3	Actinobaculum	24	Supragingival_plaque	Supragingival_plaque	#ff964f	5.0	0.0	#ecc86f	#8000ff
4	Aggregatibacter	28	Mixed	Buccal_mucosa	#cccccc	5.0	0.0	#ecc86f	#8000ff
5	Abiotrophia	27	Buccal_mucosa	Mixed	#1996f3	5.0	0.0	#ecc86f	#8000ff
8	Anaeroglobus	8	Saliva	Buccal_mucosa	#7effb5	5.0	0.0	#ecc86f	#8000ff
14	Anaerostipes	10	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
15	Adlercreutzia	6	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
17	Akkermansia	20	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
18	Avibacterium	3	Buccal_mucosa	Buccal_mucosa	#1996f3	7.0	4.0	#ff0000	#a2f9a0
19	Actinobacillus	9	Buccal_mucosa	Buccal_mucosa	#1996f3	7.0	4.0	#ff0000	#a2f9a0
20	Bacillus	16	Anterior_nares	Anterior_nares	#8000ff	1.0	6.0	#386df9	#ff703a
21	Aliterella	1	Anterior_nares	Anterior_nares	#8000ff	1.0	6.0	#386df9	#ff703a
23	Arthrobacter	1	Anterior_nares	Anterior_nares	#8000ff	1.0	6.0	#386df9	#ff703a
25	Azohydromonas	1	Anterior_nares	Anterior_nares	#8000ff	1.0	6.0	#386df9	#ff703a
26	Bacteroides	43	Stool	Stool	#b2f396	6.0	2.0	#ff703a	#10c6e6
27	Alistipes	28	Stool	Stool	#b2f396	6.0	2.0	#ff703a	#10c6e6
29	Anaerotruncus	13	Stool	Stool	#b2f396	6.0	1.0	#ff703a	#386df9
30	Barnesiella	14	Stool	Stool	#b2f396	6.0	2.0	#ff703a	#10c6e6
