	source	target	weight	source_freq	target_freq	source_type	target_type	edge_sample	fscolor	sscolor	edcolor	spect_cluster	commun_cluster	spect_color	comm_color
0	Acidaminococcus	Acholeplasma	2.0	2	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	2.0	#8000ff	#10c6e6
1	Acholeplasma	Acidaminococcus	2.0	3	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	0.0	2.0	#8000ff	#10c6e6
2	Actinomyces	Actinobaculum	6.0	36	24	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	5.0	0.0	#ecc86f	#8000ff
3	Actinobaculum	Actinomyces	6.0	24	36	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	5.0	0.0	#ecc86f	#8000ff
4	Aggregatibacter	Abiotrophia	7.0	28	27	Mixed	Buccal_mucosa	Intertype	#cccccc	#1996f3	#cccccc	5.0	0.0	#ecc86f	#8000ff
5	Abiotrophia	Aggregatibacter	7.0	27	28	Buccal_mucosa	Mixed	Intertype	#1996f3	#cccccc	#cccccc	5.0	0.0	#ecc86f	#8000ff
6	Aggregatibacter	Actinobaculum	4.0	28	24	Mixed	Supragingival_plaque	Intertype	#cccccc	#ff964f	#cccccc	5.0	0.0	#ecc86f	#8000ff
7	Actinobaculum	Aggregatibacter	4.0	24	28	Supragingival_plaque	Mixed	Intertype	#ff964f	#cccccc	#cccccc	5.0	0.0	#ecc86f	#8000ff
8	Anaeroglobus	Abiotrophia	3.0	8	27	Saliva	Buccal_mucosa	Intertype	#7effb5	#1996f3	#cccccc	5.0	0.0	#ecc86f	#8000ff
9	Abiotrophia	Anaeroglobus	3.0	27	8	Buccal_mucosa	Saliva	Intertype	#1996f3	#7effb5	#cccccc	5.0	0.0	#ecc86f	#8000ff
10	Anaeroglobus	Actinobaculum	3.0	8	24	Saliva	Supragingival_plaque	Intertype	#7effb5	#ff964f	#cccccc	5.0	0.0	#ecc86f	#8000ff
11	Actinobaculum	Anaeroglobus	3.0	24	8	Supragingival_plaque	Saliva	Intertype	#ff964f	#7effb5	#cccccc	5.0	0.0	#ecc86f	#8000ff
12	Anaeroglobus	Aggregatibacter	5.0	8	28	Saliva	Mixed	Intertype	#7effb5	#cccccc	#cccccc	5.0	0.0	#ecc86f	#8000ff
13	Aggregatibacter	Anaeroglobus	5.0	28	8	Mixed	Saliva	Intertype	#cccccc	#7effb5	#cccccc	5.0	0.0	#ecc86f	#8000ff
14	Anaerostipes	Adlercreutzia	4.0	10	6	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	1.0	#ff703a	#386df9
15	Adlercreutzia	Anaerostipes	4.0	6	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	1.0	#ff703a	#386df9
16	Anaerostipes	Akkermansia	4.0	10	20	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	1.0	#ff703a	#386df9
17	Akkermansia	Anaerostipes	4.0	20	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	1.0	#ff703a	#386df9
18	Avibacterium	Actinobacillus	2.0	3	9	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	7.0	4.0	#ff0000	#a2f9a0
19	Actinobacillus	Avibacterium	2.0	9	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	7.0	4.0	#ff0000	#a2f9a0
20	Bacillus	Aliterella	1.0	16	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	1.0	6.0	#386df9	#ff703a
21	Aliterella	Bacillus	1.0	1	16	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	1.0	6.0	#386df9	#ff703a
22	Bacillus	Arthrobacter	1.0	16	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	1.0	6.0	#386df9	#ff703a
23	Arthrobacter	Bacillus	1.0	1	16	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	1.0	6.0	#386df9	#ff703a
24	Bacillus	Azohydromonas	1.0	16	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	1.0	6.0	#386df9	#ff703a
25	Azohydromonas	Bacillus	1.0	1	16	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	1.0	6.0	#386df9	#ff703a
26	Bacteroides	Alistipes	7.0	43	28	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	2.0	#ff703a	#10c6e6
27	Alistipes	Bacteroides	7.0	28	43	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	2.0	#ff703a	#10c6e6
28	Bacteroides	Anaerotruncus	5.0	43	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	2.0	#ff703a	#10c6e6
29	Anaerotruncus	Bacteroides	5.0	13	43	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	1.0	#ff703a	#386df9
30	Barnesiella	Alistipes	2.0	14	28	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	2.0	#ff703a	#10c6e6
31	Alistipes	Barnesiella	2.0	28	14	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	2.0	#ff703a	#10c6e6
32	Barnesiella	Bacteroides	3.0	14	43	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	2.0	#ff703a	#10c6e6
33	Bacteroides	Barnesiella	3.0	43	14	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	6.0	2.0	#ff703a	#10c6e6
34	Basfia	Actinobacillus	2.0	2	9	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	7.0	4.0	#ff0000	#a2f9a0
35	Actinobacillus	Basfia	2.0	9	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	7.0	4.0	#ff0000	#a2f9a0
36	Basfia	Avibacterium	2.0	2	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	7.0	4.0	#ff0000	#a2f9a0
37	Avibacterium	Basfia	2.0	3	2	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	7.0	4.0	#ff0000	#a2f9a0
