	source	target	weight	source_freq	target_freq	source_type	target_type	edge_sample	fscolor	sscolor	edcolor	num_samps
0	Acidaminococcus	Acholeplasma	0.809039834956	3	13	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
1	Acholeplasma	Acidaminococcus	0.809039834956	13	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
2	Aliterella	Acinetobacter	0.996269364243	20	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
3	Acinetobacter	Aliterella	0.996269364243	11	20	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
4	Anaerotruncus	Acetivibrio	0.878995721172	1	27	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
5	Acetivibrio	Anaerotruncus	0.878995721172	27	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
6	Arthrobacter	Acinetobacter	0.996269364243	1	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
7	Acinetobacter	Arthrobacter	0.996269364243	11	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
8	Arthrobacter	Aliterella	1.0	1	20	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
9	Aliterella	Arthrobacter	1.0	20	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
10	Aureimonas	Arcanobacterium	0.969895294641	10	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
11	Arcanobacterium	Aureimonas	0.969895294641	11	10	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
12	Avibacterium	Actinobacillus	0.827468348294	13	22	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
13	Actinobacillus	Avibacterium	0.827468348294	22	13	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
14	Azohydromonas	Acinetobacter	0.996269364243	2	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
15	Acinetobacter	Azohydromonas	0.996269364243	11	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
16	Azohydromonas	Aliterella	1.0	2	20	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
17	Aliterella	Azohydromonas	1.0	20	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
18	Azohydromonas	Arthrobacter	1.0	2	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
19	Arthrobacter	Azohydromonas	1.0	1	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
20	Basfia	Actinobacillus	0.989910959455	3	22	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
21	Actinobacillus	Basfia	0.989910959455	22	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
22	Basfia	Avibacterium	0.809039834956	3	13	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
23	Avibacterium	Basfia	0.809039834956	13	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
24	Bibersteinia	Actinobacillus	0.937409160126	1	22	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
25	Actinobacillus	Bibersteinia	0.937409160126	22	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
26	Bibersteinia	Basfia	0.946963109332	1	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
27	Basfia	Bibersteinia	0.946963109332	3	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
28	Bradyrhizobium	Afipia	0.947204968944	2	36	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
29	Afipia	Bradyrhizobium	0.947204968944	36	2	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
30	Brevibacterium	Aerococcus	0.999889637745	3	24	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	57
31	Aerococcus	Brevibacterium	0.999889637745	24	3	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	57
32	Burkholderia	Aerococcus	0.999889637745	10	24	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	57
33	Aerococcus	Burkholderia	0.999889637745	24	10	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	57
34	Burkholderia	Brevibacterium	1.0	10	3	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	57
35	Brevibacterium	Burkholderia	1.0	3	10	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	57
36	Calothrix	Brevundimonas	1.0	1	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
37	Brevundimonas	Calothrix	1.0	2	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
38	Citrobacter	Afipia	0.947204968944	1	36	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
39	Afipia	Citrobacter	0.947204968944	36	1	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
40	Citrobacter	Bradyrhizobium	1.0	1	2	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
41	Bradyrhizobium	Citrobacter	1.0	2	1	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
42	Conchiformibius	Afipia	0.84143240311	20	36	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
43	Afipia	Conchiformibius	0.84143240311	36	20	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
44	Conchiformibius	Bradyrhizobium	0.892841614772	20	2	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
45	Bradyrhizobium	Conchiformibius	0.892841614772	2	20	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
46	Conchiformibius	Citrobacter	0.892841614772	20	1	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
47	Citrobacter	Conchiformibius	0.892841614772	1	20	Throat	Throat	Throat	#ff5029	#ff5029	#ff5029	57
48	Crocosphaera	Arcanobacterium	0.969895294641	23	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
49	Arcanobacterium	Crocosphaera	0.969895294641	11	23	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
50	Crocosphaera	Aureimonas	1.0	23	10	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
51	Aureimonas	Crocosphaera	1.0	10	23	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
52	Dechloromonas	Alicycliphilus	0.99386155515	6	4	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
53	Alicycliphilus	Dechloromonas	0.99386155515	4	6	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
54	Dehalobacter	Actinobacillus	0.989910959455	14	22	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
55	Actinobacillus	Dehalobacter	0.989910959455	22	14	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
56	Dehalobacter	Avibacterium	0.809039834956	14	13	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
57	Avibacterium	Dehalobacter	0.809039834956	13	14	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
58	Dehalobacter	Basfia	1.0	14	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
59	Basfia	Dehalobacter	1.0	3	14	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
60	Dehalobacter	Bibersteinia	0.946963109332	14	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
61	Bibersteinia	Dehalobacter	0.946963109332	1	14	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
62	Delftia	Acinetobacter	0.996269364243	7	11	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
63	Acinetobacter	Delftia	0.996269364243	11	7	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
64	Delftia	Aliterella	1.0	7	20	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
65	Aliterella	Delftia	1.0	20	7	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
66	Delftia	Arthrobacter	1.0	7	1	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
67	Arthrobacter	Delftia	1.0	1	7	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
68	Delftia	Azohydromonas	1.0	7	2	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
69	Azohydromonas	Delftia	1.0	2	7	Anterior_nares	Anterior_nares	Anterior_nares	#8000ff	#8000ff	#8000ff	57
70	Desulfotomaculum	Anaerofustis	1.0	12	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
71	Anaerofustis	Desulfotomaculum	1.0	1	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
72	Desulfovibrio	Anaerofustis	0.997686125607	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
73	Anaerofustis	Desulfovibrio	0.997686125607	1	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
74	Desulfovibrio	Desulfotomaculum	0.997686125607	1	12	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
75	Desulfotomaculum	Desulfovibrio	0.997686125607	12	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
76	Echinicola	Actinobacillus	0.989910959455	3	22	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
77	Actinobacillus	Echinicola	0.989910959455	22	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
78	Echinicola	Avibacterium	0.809039834956	3	13	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
79	Avibacterium	Echinicola	0.809039834956	13	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
80	Echinicola	Basfia	1.0	3	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
81	Basfia	Echinicola	1.0	3	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
82	Echinicola	Bibersteinia	0.946963109332	3	1	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
83	Bibersteinia	Echinicola	0.946963109332	1	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
84	Echinicola	Dehalobacter	1.0	3	14	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
85	Dehalobacter	Echinicola	1.0	14	3	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
86	Eggerthella	Catabacter	0.94284730416	2	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
87	Catabacter	Eggerthella	0.94284730416	3	2	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
88	Elizabethkingia	Alicycliphilus	1.0	5	4	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
89	Alicycliphilus	Elizabethkingia	1.0	4	5	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
90	Elizabethkingia	Dechloromonas	0.99386155515	5	6	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
91	Dechloromonas	Elizabethkingia	0.99386155515	6	5	Buccal_mucosa	Buccal_mucosa	Buccal_mucosa	#1996f3	#1996f3	#1996f3	57
92	Enhydrobacter	Bosea	0.992246133193	18	14	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	57
93	Bosea	Enhydrobacter	0.992246133193	14	18	Posterior_fornix	Posterior_fornix	Posterior_fornix	#4df3ce	#4df3ce	#4df3ce	57
94	Enterorhabdus	Cellulomonas	0.95158108575	1	10	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
95	Cellulomonas	Enterorhabdus	0.95158108575	10	1	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
96	Erysipelatoclostridium	Catabacter	0.977610339885	4	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	57
