	source	source_freq	source_type	target_type	fscolor	spect_cluster	commun_cluster	spect_color	comm_color
0	[Clostridium] innocuum	1	Stool	Stool	#b2f396	18.0	1.0	#64fbc3	#7610ff
1	[Clostridium] aminophilum	1	Stool	Stool	#b2f396	18.0	1.0	#64fbc3	#7610ff
2	[Clostridium] spiroforme	1	Stool	Stool	#b2f396	18.0	1.0	#64fbc3	#7610ff
3	[Bacteroides] pectinophilus	12	Stool	Stool	#b2f396	18.0	1.0	#64fbc3	#7610ff
8	[Eubacterium] cellulosolvens	10	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
9	[Clostridium] citroniae	2	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
10	[Eubacterium] hallii	5	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
13	[Clostridium] symbiosum	9	Stool	Stool	#b2f396	18.0	1.0	#64fbc3	#7610ff
16	[Haemophilus] ducreyi	14	Buccal_mucosa	Buccal_mucosa	#1996f3	3.0	0.0	#5a3bfd	#8000ff
17	[Actinobacillus] muris	2	Buccal_mucosa	Buccal_mucosa	#1996f3	24.0	0.0	#b2f396	#8000ff
18	[Haemophilus] parasuis	8	Buccal_mucosa	Buccal_mucosa	#1996f3	3.0	0.0	#5a3bfd	#8000ff
22	[Mannheimia] succiniciproducens	2	Buccal_mucosa	Buccal_mucosa	#1996f3	3.0	0.0	#5a3bfd	#8000ff
28	[Ruminococcus] gnavus	2	Stool	Stool	#b2f396	10.0	1.0	#01b3ec	#7610ff
32	Acetivibrio ethanolgignens	12	Stool	Stool	#b2f396	18.0	1.0	#64fbc3	#7610ff
34	Acidaminococcus sp. BV3L6	27	Stool	Stool	#b2f396	32.0	11.0	#ff964f	#01b3ec
35	Acidaminococcus intestini	3	Stool	Stool	#b2f396	32.0	11.0	#ff964f	#01b3ec
36	Acidaminococcus sp. HPA0509	13	Stool	Stool	#b2f396	32.0	11.0	#ff964f	#01b3ec
40	Acidovorax ebreus	2	Buccal_mucosa	Buccal_mucosa	#1996f3	16.0	13.0	#4df3ce	#17cbe4
41	Acidovorax delafieldii	2	Buccal_mucosa	Buccal_mucosa	#1996f3	16.0	13.0	#4df3ce	#17cbe4
42	Acidovorax sp. JS42	3	Buccal_mucosa	Buccal_mucosa	#1996f3	16.0	13.0	#4df3ce	#17cbe4
46	Acinetobacter junii	7	Anterior_nares	Attached	#8000ff	11.0	6.0	#0dc2e8	#3c68f9
47	Acinetobacter baumannii	1	Attached	Anterior_nares	#4e4dfc	11.0	6.0	#0dc2e8	#3c68f9
48	Acinetobacter lwoffii	13	Anterior_nares	Anterior_nares	#8000ff	11.0	6.0	#0dc2e8	#3c68f9
49	[Clostridium] leptum	17	Anterior_nares	Anterior_nares	#8000ff	11.0	6.0	#0dc2e8	#3c68f9
53	Acinetobacter johnsonii	1	Anterior_nares	Anterior_nares	#8000ff	11.0	6.0	#0dc2e8	#3c68f9
