TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Acidaminococcus	Stool	#b2f396	2	3.0	1.0	#feb562	#4e4dfc
Actinomyces	Supragingival_plaque	#ff964f	36	0.0	0.0	#8000ff	#8000ff
Aggregatibacter	Mixed	#cccccc	29	0.0	0.0	#8000ff	#8000ff
Akkermansia	Stool	#b2f396	19	3.0	1.0	#feb562	#4e4dfc
Alistipes	Stool	#b2f396	25	3.0	1.0	#feb562	#4e4dfc
Anaeroglobus	Saliva	#7effb5	9	0.0	0.0	#8000ff	#8000ff
Anaerostipes	Stool	#b2f396	10	3.0	1.0	#feb562	#4e4dfc
Avibacterium	Buccal_mucosa	#1996f3	3	0.0	3.0	#8000ff	#18cde4
Bacillus	Anterior_nares	#8000ff	16	1.0	2.0	#01b3ec	#1996f3
Bacteroides	Stool	#b2f396	44	3.0	1.0	#feb562	#4e4dfc
Basfia	Buccal_mucosa	#1996f3	2	0.0	3.0	#8000ff	#18cde4
Bibersteinia	Buccal_mucosa	#1996f3	2	0.0	3.0	#8000ff	#18cde4
Bilophila	Stool	#b2f396	10	3.0	1.0	#feb562	#4e4dfc
Blautia	Stool	#b2f396	18	3.0	1.0	#feb562	#4e4dfc
Bradyrhizobium	Throat	#ff5029	1	4.0	5.0	#ff0000	#7effb5
Butyricicoccus	Stool	#b2f396	9	3.0	1.0	#feb562	#4e4dfc
Butyricimonas	Stool	#b2f396	10	3.0	1.0	#feb562	#4e4dfc
Butyrivibrio	Stool	#b2f396	13	3.0	1.0	#feb562	#4e4dfc
Capnocytophaga	Supragingival_plaque	#ff964f	31	0.0	0.0	#8000ff	#8000ff
Carnobacterium	Saliva	#7effb5	20	0.0	0.0	#8000ff	#8000ff
Catenibacterium	Stool	#b2f396	6	3.0	1.0	#feb562	#4e4dfc
Catonella	Subgingival_plaque	#e4cf74	23	0.0	0.0	#8000ff	#8000ff
Centipeda	Subgingival_plaque	#e4cf74	15	0.0	0.0	#8000ff	#8000ff
Chryseobacterium	Attached	#4e4dfc	12	0.0	3.0	#8000ff	#18cde4
Citrobacter	Throat	#ff5029	1	4.0	5.0	#ff0000	#7effb5
Clostridium	Stool	#b2f396	28	3.0	1.0	#feb562	#4e4dfc
Coprobacillus	Stool	#b2f396	10	3.0	1.0	#feb562	#4e4dfc
Coprobacter	Stool	#b2f396	5	3.0	1.0	#feb562	#4e4dfc
Coprococcus	Stool	#b2f396	17	3.0	1.0	#feb562	#4e4dfc
Crocosphaera	Anterior_nares	#8000ff	1	1.0	2.0	#01b3ec	#1996f3
