	source	target	weight	edge_sample	edge_color
0	Acidaminococcus	Acholeplasma	0.809039834956	Stool	#b2f396
1	Alistipes	Acholeplasma	0.80442109808	Stool	#b2f396
2	Alistipes	Acidaminococcus	0.821199706982	Stool	#b2f396
3	Anaerotruncus	Acetivibrio	0.878050690831	Stool	#b2f396
4	Atopobacter	Amphibacillus	1.0	Anterior_nares	#8000ff
5	Aureimonas	Arcanobacterium	0.969895294641	Anterior_nares	#8000ff
6	Avibacterium	Actinobacillus	0.827468348294	Buccal_mucosa	#1996f3
7	Basfia	Actinobacillus	0.989910959455	Buccal_mucosa	#1996f3
8	Basfia	Avibacterium	0.809039834956	Buccal_mucosa	#1996f3
9	Bibersteinia	Actinobacillus	0.937409160126	Buccal_mucosa	#1996f3
10	Bibersteinia	Basfia	0.946963109332	Buccal_mucosa	#1996f3
11	Bifidobacterium	Anaerostipes	0.813240019848	Stool	#b2f396
12	Blautia	Adlercreutzia	0.920045738413	Stool	#b2f396
13	Bradyrhizobium	Afipia	0.947204968944	Throat	#ff5029
14	Brevibacterium	Aerococcus	0.999888986451	Posterior_fornix	#4df3ce
15	Burkholderia	Aerococcus	0.999888986451	Posterior_fornix	#4df3ce
16	Burkholderia	Brevibacterium	1.0	Posterior_fornix	#4df3ce
17	Butyricimonas	Acholeplasma	0.86427070592	Stool	#b2f396
18	Butyricimonas	Acidaminococcus	0.984611751352	Stool	#b2f396
19	Butyricimonas	Alistipes	0.875766299549	Stool	#b2f396
20	Calothrix	Amphibacillus	0.948129316401	Anterior_nares	#8000ff
21	Calothrix	Atopobacter	0.948129316401	Anterior_nares	#8000ff
22	Cardiobacterium	Capnocytophaga	0.815797279867	Mixed	#cccccc
23	Catenibacterium	Butyrivibrio	0.998051168578	Stool	#b2f396
24	Cellulomonas	Akkermansia	0.968735706646	Stool	#b2f396
25	Citrobacter	Afipia	0.947204968944	Throat	#ff5029
26	Citrobacter	Bradyrhizobium	1.0	Throat	#ff5029
27	Clostridium	Catabacter	0.98709512924	Stool	#b2f396
28	Collinsella	Anaerostipes	0.807858095107	Stool	#b2f396
29	Comamonas	Bosea	0.892841614772	Mixed	#cccccc
30	Conchiformibius	Afipia	0.84143240311	Throat	#ff5029
31	Conchiformibius	Bradyrhizobium	0.892841614772	Throat	#ff5029
32	Conchiformibius	Citrobacter	0.892841614772	Throat	#ff5029
33	Coprobacter	Barnesiella	0.924429688573	Stool	#b2f396
34	Coprococcus	Acetivibrio	0.814810114338	Stool	#b2f396
35	Coprococcus	Adlercreutzia	0.945261776478	Stool	#b2f396
36	Coprococcus	Blautia	0.925704237327	Stool	#b2f396
37	Crocosphaera	Arcanobacterium	0.969895294641	Anterior_nares	#8000ff
38	Crocosphaera	Aureimonas	1.0	Anterior_nares	#8000ff
39	Dechloromonas	Abiotrophia	0.890477280659	Buccal_mucosa	#1996f3
40	Dehalobacter	Actinobacillus	0.989910959455	Buccal_mucosa	#1996f3
41	Dehalobacter	Avibacterium	0.809039834956	Buccal_mucosa	#1996f3
42	Dehalobacter	Basfia	1.0	Buccal_mucosa	#1996f3
43	Dehalobacter	Bibersteinia	0.946963109332	Buccal_mucosa	#1996f3
44	Desulfotomaculum	Anaerofustis	1.0	Stool	#b2f396
45	Desulfovibrio	Anaerofustis	0.998428806071	Stool	#b2f396
46	Desulfovibrio	Desulfotomaculum	0.998428806071	Stool	#b2f396
47	Dolosigranulum	Calothrix	0.856275337956	Anterior_nares	#8000ff
48	Dorea	Adlercreutzia	0.835660825399	Stool	#b2f396
49	Dorea	Blautia	0.804619147827	Stool	#b2f396
50	Dorea	Coprococcus	0.881713826133	Stool	#b2f396
