	TAXA	sample_type	sample_color	frequency
0	[Clostridium] bolteae	Stool	#b2f396	13
1	[Clostridium] clostridioforme	Stool	#b2f396	16
2	[Clostridium] leptum	Anterior_nares	#8000ff	17
3	[Clostridium] methylpentosum	Stool	#b2f396	5
5	[Clostridium] saccharogumia	Stool	#b2f396	2
6	[Clostridium] scindens	Stool	#b2f396	2
8	[Clostridium] spiroforme	Stool	#b2f396	9
10	[Clostridium] symbiosum	Stool	#b2f396	10
12	[Eubacterium] cellulosolvens	Stool	#b2f396	1
13	[Eubacterium] eligens	Stool	#b2f396	15
14	[Eubacterium] hallii	Stool	#b2f396	12
17	[Eubacterium] rectale	Stool	#b2f396	27
19	[Eubacterium] siraeum	Stool	#b2f396	13
22	[Haemophilus] ducreyi	Buccal_mucosa	#1996f3	2
23	[Mannheimia] succiniciproducens	Buccal_mucosa	#1996f3	2
25	[Ruminococcus] gnavus	Stool	#b2f396	12
28	[Ruminococcus] torques	Stool	#b2f396	3
32	Acidaminococcus sp. BV3L6	Stool	#b2f396	2
33	Acidaminococcus sp. HPA0509	Stool	#b2f396	2
35	Acinetobacter baumannii	Attached	#4e4dfc	13
36	Acinetobacter johnsonii	Anterior_nares	#8000ff	3
37	Acinetobacter junii	Anterior_nares	#8000ff	7
39	Acinetobacter lwoffii	Anterior_nares	#8000ff	1
40	Acinetobacter sp. MDS7A	Anterior_nares	#8000ff	1
41	Acinetobacter towneri	Anterior_nares	#8000ff	2
44	Actinobacillus pleuropneumoniae	Buccal_mucosa	#1996f3	3
48	Actinobacillus ureae	Buccal_mucosa	#1996f3	5
49	Actinomyces georgiae	Subgingival_plaque	#e4cf74	9
50	Actinomyces gerencseriae	Subgingival_plaque	#e4cf74	14
51	Actinomyces graevenitzii	Tongue_dorsum	#ff0000	19
53	Actinomyces israelii	Subgingival_plaque	#e4cf74	10
54	Actinomyces johnsonii	Subgingival_plaque	#e4cf74	19
57	Actinomyces massiliensis	Supragingival_plaque	#ff964f	25
58	Actinomyces meyeri	Subgingival_plaque	#e4cf74	15
62	Actinomyces naeslundii	Supragingival_plaque	#ff964f	25
64	Actinomyces oris	Supragingival_plaque	#ff964f	25
66	Actinomyces sp. ICM39	Tongue_dorsum	#ff0000	12
68	Actinomyces sp. ICM47	Tongue_dorsum	#ff0000	17
69	Actinomyces sp. ICM54	Tongue_dorsum	#ff0000	9
70	Actinomyces sp. ICM58	Tongue_dorsum	#ff0000	9
73	Actinomyces sp. oral taxon 170	Supragingival_plaque	#ff964f	23
74	Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff964f	26
77	Actinomyces sp. oral taxon 172	Tongue_dorsum	#ff0000	9
79	Actinomyces sp. oral taxon 175	Supragingival_plaque	#ff964f	23
84	Actinomyces sp. oral taxon 178	Supragingival_plaque	#ff964f	6
87	Actinomyces sp. oral taxon 181	Saliva	#7effb5	10
91	Actinomyces sp. oral taxon 414	Subgingival_plaque	#e4cf74	12
98	Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff964f	11
100	Actinomyces sp. oral taxon 848	Supragingival_plaque	#ff964f	8
106	Actinomyces sp. oral taxon 849	Supragingival_plaque	#ff964f	13
113	Actinomyces sp. oral taxon 877	Supragingival_plaque	#ff964f	5
116	Actinomyces sp. ph3	Saliva	#7effb5	10
120	Actinomyces sp. S6-Spd3	Tongue_dorsum	#ff0000	19
124	Actinomyces timonensis	Subgingival_plaque	#e4cf74	12
128	Actinomyces viscosus	Supragingival_plaque	#ff964f	23
130	Adlercreutzia equolifaciens	Stool	#b2f396	6
132	Aggregatibacter actinomycetemcomitans	Buccal_mucosa	#1996f3	21
136	Aggregatibacter aphrophilus	Anterior_nares	#8000ff	28
138	Aggregatibacter segnis	Buccal_mucosa	#1996f3	21
149	Aggregatibacter sp. oral taxon 458	Buccal_mucosa	#1996f3	21
157	Akkermansia muciniphila	Stool	#b2f396	20
159	Alistipes finegoldii	Stool	#b2f396	11
163	Alistipes indistinctus	Stool	#b2f396	8
167	Alistipes inops	Stool	#b2f396	7
170	Alistipes obesi	Stool	#b2f396	11
176	Alistipes onderdonkii	Stool	#b2f396	12
182	Alistipes putredinis	Stool	#b2f396	23
183	Alistipes senegalensis	Stool	#b2f396	11
190	Alistipes shahii	Stool	#b2f396	14
191	Alistipes sp. AL-1	Stool	#b2f396	11
198	Alistipes sp. HGB5	Stool	#b2f396	11
201	Alistipes timonensis	Stool	#b2f396	10
207	Aliterella atlantica	Anterior_nares	#8000ff	1
208	Alloprevotella rava	Saliva	#7effb5	20
213	Alloprevotella tannerae	Subgingival_plaque	#e4cf74	21
215	alpha proteobacterium LLX12A	Anterior_nares	#8000ff	1
216	Alysiella crassa	Attached	#4e4dfc	2
217	Anaerococcus prevotii	Posterior_fornix	#4df3ce	2
218	Anaerococcus sp. PH9	Posterior_fornix	#4df3ce	2
219	Anaerococcus vaginalis	Stool	#b2f396	1
222	Anaerofustis stercorihominis	Stool	#b2f396	1
224	Anaeroglobus geminatus	Saliva	#7effb5	8
229	Anaerostipes hadrus	Stool	#b2f396	7
233	Anaerostipes sp. 3_2_56FAA	Stool	#b2f396	2
234	Anaerotruncus colihominis	Stool	#b2f396	11
237	Arcanobacterium haemolyticum	Supragingival_plaque	#ff964f	1
239	Atopobium parvulum	Saliva	#7effb5	18
247	Atopobium rimae	Saliva	#7effb5	12
252	Atopobium sp. BS2	Saliva	#7effb5	10
258	Atopobium sp. ICM42b	Saliva	#7effb5	11
265	Atopobium sp. oral taxon 199	Saliva	#7effb5	2
267	Atopobium vaginae	Posterior_fornix	#4df3ce	2
268	Avibacterium paragallinarum	Buccal_mucosa	#1996f3	3
273	Azohydromonas australica	Anterior_nares	#8000ff	1
274	Bacillus thermoamylovorans	Anterior_nares	#8000ff	2
278	bacterium LF-3	Stool	#b2f396	10
283	Bacteroidaceae bacterium MS4	Stool	#b2f396	2
285	Bacteroides acidifaciens	Stool	#b2f396	15
290	Bacteroides barnesiae	Stool	#b2f396	8
295	Bacteroides caccae	Stool	#b2f396	19
299	Bacteroides cellulosilyticus	Stool	#b2f396	15
304	Bacteroides clarus	Stool	#b2f396	8
309	Bacteroides coprocola	Stool	#b2f396	18
315	Bacteroides coprophilus	Stool	#b2f396	14
319	Bacteroides coprosuis	Stool	#b2f396	2
327	Bacteroides dorei	Stool	#b2f396	19
334	Bacteroides eggerthii	Stool	#b2f396	13
338	Bacteroides faecichinchillae	Stool	#b2f396	10
345	Bacteroides faecis	Stool	#b2f396	18
352	Bacteroides finegoldii	Stool	#b2f396	19
358	Bacteroides fluxus	Stool	#b2f396	12
360	Bacteroides fragilis	Stool	#b2f396	20
365	Bacteroides gallinarum	Subgingival_plaque	#e4cf74	15
375	Bacteroides graminisolvens	Stool	#b2f396	2
383	Bacteroides helcogenes	Stool	#b2f396	7
390	Bacteroides intestinalis	Stool	#b2f396	17
397	Bacteroides massiliensis	Stool	#b2f396	18
400	Bacteroides nordii	Stool	#b2f396	9
405	Bacteroides oleiciplenus	Stool	#b2f396	12
413	Bacteroides ovatus	Stool	#b2f396	20
418	Bacteroides paurosaccharolyticus	Buccal_mucosa	#1996f3	3
419	Bacteroides plebeius	Stool	#b2f396	8
420	Bacteroides pyogenes	Stool	#b2f396	8
423	Bacteroides reticulotermitis	Stool	#b2f396	3
429	Bacteroides salanitronis	Stool	#b2f396	12
435	Bacteroides salyersiae	Stool	#b2f396	6
442	Bacteroides sartorii	Stool	#b2f396	13
449	Bacteroides sp. 1_1_30	Stool	#b2f396	10
455	Bacteroides sp. 1_1_6	Stool	#b2f396	15
465	Bacteroides sp. 14(A)	Stool	#b2f396	10
467	Bacteroides sp. 2_1_33B	Stool	#b2f396	10
478	Bacteroides sp. 2_1_56FAA	Stool	#b2f396	1
482	Bacteroides sp. 3_1_13	Stool	#b2f396	13
495	Bacteroides sp. 3_1_19	Stool	#b2f396	11
505	Bacteroides sp. 3_1_33FAA	Stool	#b2f396	14
516	Bacteroides sp. 3_1_40A	Stool	#b2f396	12
523	Bacteroides sp. 4_1_36	Stool	#b2f396	9
529	Bacteroides sp. 4_3_47FAA	Stool	#b2f396	12
542	Bacteroides sp. 9_1_42FAA	Stool	#b2f396	14
554	Bacteroides sp. D2	Stool	#b2f396	13
562	Bacteroides sp. D20	Stool	#b2f396	10
576	Bacteroides sp. D22	Stool	#b2f396	11
577	Bacteroides sp. HPS0048	Stool	#b2f396	6
584	Bacteroides stercorirosoris	Stool	#b2f396	13
592	Bacteroides stercoris	Stool	#b2f396	14
596	Bacteroides thetaiotaomicron	Stool	#b2f396	17
603	Bacteroides uniformis	Stool	#b2f396	21
619	Bacteroides vulgatus	Stool	#b2f396	19
637	Bacteroides xylanisolvens	Stool	#b2f396	11
641	Bacteroidetes oral taxon 274	Subgingival_plaque	#e4cf74	22
651	Barnesiella intestinihominis	Stool	#b2f396	8
655	Barnesiella viscericola	Stool	#b2f396	7
664	Bibersteinia trehalosi	Buccal_mucosa	#1996f3	2
670	Bifidobacterium adolescentis	Stool	#b2f396	13
675	Bifidobacterium bifidum	Anterior_nares	#8000ff	2
678	Bifidobacterium breve	Stool	#b2f396	1
682	Bifidobacterium kashiwanohense	Stool	#b2f396	1
686	Bifidobacterium longum	Stool	#b2f396	14
693	Bifidobacterium pseudocatenulatum	Stool	#b2f396	3
694	Bifidobacterium ruminantium	Stool	#b2f396	1
698	Bifidobacterium saeculare	Stool	#b2f396	1
701	Bilophila sp. 4_1_30	Stool	#b2f396	6
710	Bilophila wadsworthia	Stool	#b2f396	10
723	Blautia hansenii	Stool	#b2f396	1
727	Blautia hydrogenotrophica	Stool	#b2f396	3
734	Blautia obeum	Stool	#b2f396	14
741	Blautia producta	Stool	#b2f396	8
746	Blautia schinkii	Stool	#b2f396	2
750	Blautia sp. GD9	Stool	#b2f396	9
761	Blautia sp. KLE 1732	Stool	#b2f396	11
772	Blautia wexlerae	Stool	#b2f396	16
779	Brochothrix thermosphacta	Saliva	#7effb5	3
783	Burkholderiales bacterium 1_1_47	Stool	#b2f396	10
794	Butyricicoccus pullicaecorum	Stool	#b2f396	10
802	Butyricimonas synergistica	Stool	#b2f396	7
822	Butyricimonas virosa	Stool	#b2f396	9
827	Butyrivibrio sp. NC3005	Stool	#b2f396	2
832	Calothrix sp. PCC 7103	Anterior_nares	#8000ff	2
834	Campylobacter concisus	Saliva	#7effb5	27
846	Campylobacter curvus	Supragingival_plaque	#ff964f	5
847	Campylobacter fetus	Attached	#4e4dfc	2
849	Campylobacter gracilis	Subgingival_plaque	#e4cf74	24
853	Campylobacter hominis	Attached	#4e4dfc	5
856	Campylobacter mucosalis	Attached	#4e4dfc	2
859	Campylobacter rectus	Subgingival_plaque	#e4cf74	19
860	Campylobacter showae	Supragingival_plaque	#ff964f	27
864	Campylobacter sp. 10_1_50	Saliva	#7effb5	9
867	Campylobacter sp. FOBRC14	Attached	#4e4dfc	2
871	candidate division SR1 bacterium RAAC1_SR1_1	Tongue_dorsum	#ff0000	2
873	Candidatus Alistipes marseilloanorexicus	Stool	#b2f396	11
883	Candidatus Bacteroides timonensis	Stool	#b2f396	10
888	Candidatus Saccharibacteria bacterium RAAC3_TM7_1	Saliva	#7effb5	1
891	Candidatus Saccharibacteria oral taxon TM7x	Saliva	#7effb5	25
900	Capnocytophaga cynodegmi	Supragingival_plaque	#ff964f	4
902	Capnocytophaga gingivalis	Supragingival_plaque	#ff964f	27
908	Capnocytophaga granulosa	Supragingival_plaque	#ff964f	14
