TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
[Clostridium] innocuum	Stool	#b2f396	1	30.0	1.0	#ff1c0e	#7216ff
[Clostridium] spiroforme	Stool	#b2f396	9	2.0	1.0	#6032fe	#7216ff
[Eubacterium] cellulosolvens	Stool	#b2f396	1	7.0	1.0	#0ea5ef	#7216ff
[Eubacterium] eligens	Stool	#b2f396	15	22.0	1.0	#e8cb72	#7216ff
[Eubacterium] hallii	Stool	#b2f396	12	7.0	1.0	#0ea5ef	#7216ff
[Eubacterium] rectale	Stool	#b2f396	27	22.0	1.0	#e8cb72	#7216ff
[Eubacterium] siraeum	Stool	#b2f396	13	2.0	1.0	#6032fe	#7216ff
[Haemophilus] ducreyi	Buccal_mucosa	#1996f3	2	4.0	0.0	#4062fa	#8000ff
[Haemophilus] parasuis	Buccal_mucosa	#1996f3	6	4.0	0.0	#4062fa	#8000ff
[Mannheimia] succiniciproducens	Buccal_mucosa	#1996f3	2	4.0	0.0	#4062fa	#8000ff
[Ruminococcus] gnavus	Stool	#b2f396	12	7.0	1.0	#0ea5ef	#7216ff
Acetivibrio ethanolgignens	Stool	#b2f396	13	22.0	1.0	#e8cb72	#7216ff
Acidaminococcus sp. BV3L6	Stool	#b2f396	2	5.0	8.0	#2e7bf7	#06aeed
Acidaminococcus sp. HPA0509	Stool	#b2f396	2	5.0	8.0	#2e7bf7	#06aeed
Acidovorax ebreus	Buccal_mucosa	#1996f3	1	23.0	10.0	#fbb965	#1acfe3
Acidovorax sp. JS42	Buccal_mucosa	#1996f3	1	23.0	10.0	#fbb965	#1acfe3
Acinetobacter baumannii	Attached	#4e4dfc	13	0.0	5.0	#8000ff	#3473f8
Acinetobacter johnsonii	Anterior_nares	#8000ff	3	0.0	5.0	#8000ff	#3473f8
Acinetobacter junii	Anterior_nares	#8000ff	7	0.0	5.0	#8000ff	#3473f8
Acinetobacter lwoffii	Anterior_nares	#8000ff	1	0.0	5.0	#8000ff	#3473f8
Acinetobacter sp. MDS7A	Anterior_nares	#8000ff	1	0.0	5.0	#8000ff	#3473f8
Acinetobacter towneri	Anterior_nares	#8000ff	2	0.0	5.0	#8000ff	#3473f8
Actinobacillus minor	Buccal_mucosa	#1996f3	5	4.0	0.0	#4062fa	#8000ff
Actinobacillus pleuropneumoniae	Buccal_mucosa	#1996f3	3	4.0	0.0	#4062fa	#8000ff
Actinobacillus ureae	Buccal_mucosa	#1996f3	5	4.0	0.0	#4062fa	#8000ff
Actinomyces dentalis	Subgingival_plaque	#e4cf74	13	27.0	6.0	#ff6533	#2489f5
Actinomyces georgiae	Subgingival_plaque	#e4cf74	9	27.0	6.0	#ff6533	#2489f5
Actinomyces gerencseriae	Subgingival_plaque	#e4cf74	14	27.0	6.0	#ff6533	#2489f5
Actinomyces johnsonii	Subgingival_plaque	#e4cf74	19	13.0	6.0	#54f6cb	#2489f5
Actinomyces massiliensis	Supragingival_plaque	#ff964f	25	13.0	6.0	#54f6cb	#2489f5
Actinomyces sp. ICM47	Tongue_dorsum	#ff0000	17	24.0	7.0	#ffa759	#149df1
Actinomyces sp. ICM54	Tongue_dorsum	#ff0000	9	24.0	7.0	#ffa759	#149df1
Actinomyces sp. ICM58	Tongue_dorsum	#ff0000	9	24.0	7.0	#ffa759	#149df1
Actinomyces sp. oral taxon 172	Tongue_dorsum	#ff0000	9	24.0	7.0	#ffa759	#149df1
Actinomyces sp. oral taxon 175	Supragingival_plaque	#ff964f	23	28.0	14.0	#ff4d27	#58f8c9
Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff964f	11	13.0	6.0	#54f6cb	#2489f5
Actinomyces sp. oral taxon 877	Supragingival_plaque	#ff964f	5	26.0	6.0	#ff7e41	#2489f5
Actinomyces sp. ph3	Saliva	#7effb5	10	24.0	7.0	#ffa759	#149df1
Actinomyces sp. S6-Spd3	Tongue_dorsum	#ff0000	19	24.0	7.0	#ffa759	#149df1
Actinomyces viscosus	Supragingival_plaque	#ff964f	23	28.0	14.0	#ff4d27	#58f8c9
Adlercreutzia equolifaciens	Stool	#b2f396	6	22.0	1.0	#e8cb72	#7216ff
