	source	target	weight	edge_sample	edge_color
0	Akkermansia	Adlercreutzia	2.0	Stool	#b2f396
1	Alistipes	Acetivibrio	4.0	Stool	#b2f396
2	Aliterella	Acinetobacter	1.0	Anterior_nares	#8000ff
3	Alloprevotella	Actinobacillus	4.0	Mixed	#cccccc
4	Alysiella	Alloprevotella	2.0	Attached	#4e4dfc
5	Anaeroglobus	Abiotrophia	3.0	Mixed	#cccccc
6	Anaeroglobus	Actinobaculum	3.0	Mixed	#cccccc
7	Anaeroglobus	Aggregatibacter	5.0	Mixed	#cccccc
8	Anaeroglobus	Alloprevotella	3.0	Mixed	#cccccc
9	Anaerostipes	Adlercreutzia	3.0	Stool	#b2f396
10	Anaerotruncus	Acetivibrio	8.0	Stool	#b2f396
11	Arthrobacter	Acinetobacter	1.0	Anterior_nares	#8000ff
12	Arthrobacter	Aliterella	1.0	Anterior_nares	#8000ff
13	Aureimonas	Arcanobacterium	1.0	Anterior_nares	#8000ff
14	Avibacterium	Actinobacillus	2.0	Buccal_mucosa	#1996f3
15	Avibacterium	Alloprevotella	2.0	Mixed	#cccccc
16	Azohydromonas	Acinetobacter	1.0	Anterior_nares	#8000ff
17	Azohydromonas	Aliterella	1.0	Anterior_nares	#8000ff
18	Azohydromonas	Arthrobacter	1.0	Anterior_nares	#8000ff
19	Bacteroides	Alistipes	6.0	Stool	#b2f396
20	Barnesiella	Alistipes	2.0	Stool	#b2f396
21	Barnesiella	Bacteroides	3.0	Stool	#b2f396
22	Basfia	Actinobacillus	2.0	Buccal_mucosa	#1996f3
23	Basfia	Alloprevotella	2.0	Mixed	#cccccc
24	Bibersteinia	Basfia	1.0	Buccal_mucosa	#1996f3
25	Bifidobacterium	Acetivibrio	3.0	Stool	#b2f396
26	Bifidobacterium	Adlercreutzia	2.0	Stool	#b2f396
27	Bilophila	Acholeplasma	2.0	Stool	#b2f396
28	Bilophila	Acidaminococcus	2.0	Stool	#b2f396
29	Blautia	Adlercreutzia	3.0	Stool	#b2f396
30	Blautia	Akkermansia	7.0	Stool	#b2f396
31	Blautia	Anaerostipes	6.0	Stool	#b2f396
32	Brevibacterium	Aerococcus	1.0	Posterior_fornix	#4df3ce
33	Burkholderia	Aerococcus	1.0	Posterior_fornix	#4df3ce
34	Burkholderia	Brevibacterium	1.0	Posterior_fornix	#4df3ce
35	Butyricicoccus	Bilophila	3.0	Stool	#b2f396
36	Butyricicoccus	Blautia	5.0	Stool	#b2f396
37	Butyricimonas	Acholeplasma	2.0	Stool	#b2f396
38	Butyricimonas	Akkermansia	2.0	Stool	#b2f396
39	Butyricimonas	Alistipes	2.0	Stool	#b2f396
40	Butyricimonas	Blautia	3.0	Stool	#b2f396
41	Butyricimonas	Butyricicoccus	2.0	Stool	#b2f396
42	Calothrix	Brevundimonas	1.0	Anterior_nares	#8000ff
43	Campylobacter	Actinobacillus	4.0	Mixed	#cccccc
44	Campylobacter	Actinomyces	8.0	Mixed	#cccccc
45	Campylobacter	Brochothrix	2.0	Saliva	#7effb5
46	Carnobacterium	Alloprevotella	4.0	Mixed	#cccccc
47	Catenibacterium	Acholeplasma	1.0	Stool	#b2f396
48	Catenibacterium	Butyrivibrio	1.0	Stool	#b2f396
49	Catonella	Anaeroglobus	4.0	Mixed	#cccccc
50	Catonella	Atopobium	4.0	Mixed	#cccccc
51	Catonella	Campylobacter	7.0	Mixed	#cccccc
52	Cellulomonas	Atopobium	2.0	Mixed	#cccccc
53	Centipeda	Anaeroglobus	4.0	Mixed	#cccccc
54	Centipeda	Campylobacter	5.0	Mixed	#cccccc
55	Chlamydia	Abiotrophia	3.0	Mixed	#cccccc
56	Chryseobacterium	Alloprevotella	4.0	Attached	#4e4dfc
57	Chryseobacterium	Alysiella	2.0	Attached	#4e4dfc
58	Chryseobacterium	Avibacterium	2.0	Mixed	#cccccc
59	Chryseobacterium	Basfia	2.0	Mixed	#cccccc
60	Chryseobacterium	Bergeyella	3.0	Mixed	#cccccc
61	Citrobacter	Bradyrhizobium	1.0	Throat	#ff5029
62	Clostridium	Catabacter	1.0	Stool	#b2f396
63	Comamonas	Alicycliphilus	1.0	Mixed	#cccccc
64	Comamonas	Bosea	1.0	Mixed	#cccccc
65	Conchiformibius	Bradyrhizobium	1.0	Throat	#ff5029
66	Conchiformibius	Citrobacter	1.0	Throat	#ff5029
67	Coprobacillus	Adlercreutzia	2.0	Stool	#b2f396
68	Coprobacillus	Blautia	5.0	Stool	#b2f396
69	Coprobacter	Adlercreutzia	2.0	Stool	#b2f396
70	Coprobacter	Akkermansia	2.0	Stool	#b2f396
71	Coprobacter	Anaerostipes	2.0	Stool	#b2f396
72	Coprobacter	Blautia	3.0	Stool	#b2f396
73	Coprobacter	Coprobacillus	3.0	Stool	#b2f396
74	Coprococcus	Adlercreutzia	4.0	Stool	#b2f396
75	Coprococcus	Akkermansia	5.0	Stool	#b2f396
76	Coprococcus	Anaerostipes	3.0	Stool	#b2f396
77	Coprococcus	Barnesiella	2.0	Stool	#b2f396
78	Coprococcus	Blautia	9.0	Stool	#b2f396
79	Coprococcus	Butyricicoccus	3.0	Stool	#b2f396
80	Coprococcus	Butyricimonas	3.0	Stool	#b2f396
81	Coprococcus	Coprobacillus	5.0	Stool	#b2f396
82	Coprococcus	Coprobacter	3.0	Stool	#b2f396
83	Crocosphaera	Arcanobacterium	1.0	Anterior_nares	#8000ff
84	Crocosphaera	Aureimonas	1.0	Anterior_nares	#8000ff
85	Cupriavidus	Alistipes	2.0	Mixed	#cccccc
86	Dechloromonas	Alicycliphilus	1.0	Buccal_mucosa	#1996f3
87	Dehalobacter	Actinobacillus	2.0	Buccal_mucosa	#1996f3
88	Dehalobacter	Alloprevotella	2.0	Mixed	#cccccc
89	Dehalobacter	Basfia	2.0	Buccal_mucosa	#1996f3
90	Dehalobacter	Bibersteinia	1.0	Buccal_mucosa	#1996f3
91	Dehalobacter	Chryseobacterium	2.0	Mixed	#cccccc
92	Delftia	Acinetobacter	1.0	Anterior_nares	#8000ff
93	Delftia	Aliterella	1.0	Anterior_nares	#8000ff
94	Delftia	Arthrobacter	1.0	Anterior_nares	#8000ff
95	Delftia	Azohydromonas	1.0	Anterior_nares	#8000ff
96	Desulfotomaculum	Anaerofustis	1.0	Stool	#b2f396
97	Desulfovibrio	Anaerofustis	1.0	Stool	#b2f396
98	Desulfovibrio	Desulfotomaculum	1.0	Stool	#b2f396
99	Dialister	Cellulomonas	2.0	Stool	#b2f396
100	Dielma	Akkermansia	2.0	Stool	#b2f396
101	Dielma	Butyricicoccus	2.0	Stool	#b2f396
102	Dielma	Butyricimonas	2.0	Stool	#b2f396
103	Dolosigranulum	Brevundimonas	1.0	Anterior_nares	#8000ff
104	Dolosigranulum	Calothrix	1.0	Anterior_nares	#8000ff
105	Dorea	Acetivibrio	3.0	Stool	#b2f396
106	Dorea	Collinsella	3.0	Stool	#b2f396
107	Echinicola	Actinobacillus	2.0	Buccal_mucosa	#1996f3
108	Echinicola	Alloprevotella	2.0	Mixed	#cccccc
109	Echinicola	Basfia	2.0	Buccal_mucosa	#1996f3
110	Echinicola	Bibersteinia	1.0	Buccal_mucosa	#1996f3
111	Echinicola	Chryseobacterium	2.0	Mixed	#cccccc
112	Echinicola	Dehalobacter	2.0	Buccal_mucosa	#1996f3
113	Eggerthella	Catabacter	1.0	Stool	#b2f396
114	Eggerthia	Bulleidia	1.0	Mixed	#cccccc
115	Elizabethkingia	Alicycliphilus	1.0	Buccal_mucosa	#1996f3
116	Elizabethkingia	Comamonas	1.0	Mixed	#cccccc
117	Elizabethkingia	Dechloromonas	1.0	Buccal_mucosa	#1996f3
118	Enhydrobacter	Bosea	1.0	Posterior_fornix	#4df3ce
119	Enterococcus	Acetivibrio	6.0	Mixed	#cccccc
120	Enterococcus	Anaerotruncus	5.0	Mixed	#cccccc
121	Erysipelatoclostridium	Adlercreutzia	2.0	Stool	#b2f396
122	Erysipelatoclostridium	Akkermansia	2.0	Stool	#b2f396
123	Erysipelatoclostridium	Anaerostipes	3.0	Stool	#b2f396
124	Erysipelatoclostridium	Clostridium	2.0	Stool	#b2f396
125	Erysipelatoclostridium	Coprobacillus	2.0	Stool	#b2f396
126	Erysipelatoclostridium	Coprobacter	3.0	Stool	#b2f396
127	Erysipelatoclostridium	Eggerthella	2.0	Stool	#b2f396
128	Escherichia	Enterorhabdus	1.0	Stool	#b2f396
129	Eubacterium	Adlercreutzia	3.0	Mixed	#cccccc
130	Eubacterium	Anaerostipes	4.0	Mixed	#cccccc
131	Eubacterium	Blautia	5.0	Mixed	#cccccc
132	Eubacterium	Coprobacillus	4.0	Mixed	#cccccc
133	Eubacterium	Coprobacter	3.0	Mixed	#cccccc
134	Eubacterium	Coprococcus	5.0	Mixed	#cccccc
