TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Acidaminococcus	Stool	#b2f396	2	12.0	1.0	#34e4d9	#7019ff
Aliterella	Anterior_nares	#8000ff	1	22.0	2.0	#cbe486	#5e35fe
Anaerotruncus	Stool	#b2f396	12	28.0	0.0	#ff8646	#8000ff
Arthrobacter	Anterior_nares	#8000ff	1	22.0	2.0	#cbe486	#5e35fe
Aureimonas	Anterior_nares	#8000ff	1	18.0	10.0	#8efeac	#2fe0db
Avibacterium	Buccal_mucosa	#1996f3	3	7.0	3.0	#1898f2	#4c50fc
Azohydromonas	Anterior_nares	#8000ff	1	22.0	2.0	#cbe486	#5e35fe
Bacillus	Anterior_nares	#8000ff	17	25.0	2.0	#f6be68	#5e35fe
Basfia	Buccal_mucosa	#1996f3	2	7.0	3.0	#1898f2	#4c50fc
Bibersteinia	Buccal_mucosa	#1996f3	2	7.0	3.0	#1898f2	#4c50fc
Bifidobacterium	Stool	#b2f396	21	21.0	0.0	#bbee91	#8000ff
Bilophila	Stool	#b2f396	9	3.0	1.0	#5444fd	#7019ff
Blautia	Stool	#b2f396	18	29.0	0.0	#ff733b	#8000ff
Bradyrhizobium	Throat	#ff5029	1	0.0	5.0	#8000ff	#2981f6
Brevibacterium	Posterior_fornix	#4df3ce	1	23.0	4.0	#d9da7d	#396bf9
Burkholderia	Posterior_fornix	#4df3ce	1	23.0	4.0	#d9da7d	#396bf9
Butyricimonas	Stool	#b2f396	10	12.0	1.0	#34e4d9	#7019ff
Calothrix	Anterior_nares	#8000ff	1	17.0	15.0	#7effb5	#86ffb0
Catenibacterium	Stool	#b2f396	6	32.0	18.0	#ff2f18	#bced8f
Cellulomonas	Stool	#b2f396	6	30.0	7.0	#ff5c2f	#06aeed
Citrobacter	Throat	#ff5029	1	0.0	5.0	#8000ff	#2981f6
Clostridium	Stool	#b2f396	28	2.0	20.0	#622ffe	#ded579
Collinsella	Stool	#b2f396	10	21.0	0.0	#bbee91	#8000ff
Conchiformibius	Throat	#ff5029	2	0.0	5.0	#8000ff	#2981f6
Coprobacter	Stool	#b2f396	5	6.0	13.0	#2686f5	#64fbc3
Coprococcus	Stool	#b2f396	17	29.0	0.0	#ff733b	#8000ff
Crocosphaera	Anterior_nares	#8000ff	1	18.0	10.0	#8efeac	#2fe0db
Dechloromonas	Buccal_mucosa	#1996f3	2	9.0	8.0	#07bbea	#0dc2e8
Dehalobacter	Buccal_mucosa	#1996f3	2	7.0	3.0	#1898f2	#4c50fc
Delftia	Anterior_nares	#8000ff	1	22.0	2.0	#cbe486	#5e35fe
Desulfotomaculum	Stool	#b2f396	1	31.0	0.0	#ff4724	#8000ff
Desulfovibrio	Stool	#b2f396	4	31.0	0.0	#ff4724	#8000ff
Dolosigranulum	Anterior_nares	#8000ff	4	17.0	15.0	#7effb5	#86ffb0
Dorea	Stool	#b2f396	16	27.0	0.0	#ff9b52	#8000ff
Echinicola	Buccal_mucosa	#1996f3	2	7.0	3.0	#1898f2	#4c50fc
Eggerthella	Stool	#b2f396	3	19.0	20.0	#9cfba4	#ded579
Elizabethkingia	Buccal_mucosa	#1996f3	1	9.0	8.0	#07bbea	#0dc2e8
Enhydrobacter	Posterior_fornix	#4df3ce	2	33.0	14.0	#ff190d	#76ffb9
Enterorhabdus	Stool	#b2f396	1	30.0	7.0	#ff5c2f	#06aeed
Erysipelatoclostridium	Stool	#b2f396	9	19.0	20.0	#9cfba4	#ded579
Escherichia	Stool	#b2f396	8	30.0	7.0	#ff5c2f	#06aeed
Eubacterium	Subgingival_plaque	#e4cf74	38	21.0	0.0	#bbee91	#8000ff
Exiguobacterium	Anterior_nares	#8000ff	2	18.0	10.0	#8efeac	#2fe0db
Facklamia	Posterior_fornix	#4df3ce	2	23.0	4.0	#d9da7d	#396bf9
Faecalibacterium	Stool	#b2f396	27	1.0	0.0	#7216ff	#8000ff
Faecalicoccus	Stool	#b2f396	1	2.0	20.0	#622ffe	#ded579
Faecalitalea	Stool	#b2f396	3	28.0	0.0	#ff8646	#8000ff
Fenollaria	Posterior_fornix	#4df3ce	1	33.0	14.0	#ff190d	#76ffb9
Filifactor	Throat	#ff5029	11	18.0	17.0	#8efeac	#abf69b
Flavobacterium	Throat	#ff5029	1	0.0	5.0	#8000ff	#2981f6
Flavonifractor	Stool	#b2f396	14	24.0	12.0	#e8cb72	#52f5cb
Gallibacterium	Attached	#4e4dfc	5	7.0	3.0	#1898f2	#4c50fc
Gardnerella	Posterior_fornix	#4df3ce	13	18.0	11.0	#8efeac	#40ecd4
Gordonibacter	Stool	#b2f396	5	29.0	0.0	#ff733b	#8000ff
Granulicatella	Attached	#4e4dfc	27	26.0	9.0	#ffac5c	#1fd3e1
Gulbenkiania	Anterior_nares	#8000ff	1	18.0	10.0	#8efeac	#2fe0db
Haemophilus	Buccal_mucosa	#1996f3	38	7.0	3.0	#1898f2	#4c50fc
Hallella	Stool	#b2f396	1	30.0	7.0	#ff5c2f	#06aeed
Helicobacter	Anterior_nares	#8000ff	1	18.0	10.0	#8efeac	#2fe0db
Herbaspirillum	Mid_vagina	#18cde4	3	33.0	14.0	#ff190d	#76ffb9
Holdemania	Stool	#b2f396	11	28.0	0.0	#ff8646	#8000ff
Hungatella	Stool	#b2f396	14	31.0	0.0	#ff4724	#8000ff
Isoptericola	Tongue_dorsum	#ff0000	11	14.0	19.0	#52f5cb	#cee184
Janibacter	Throat	#ff5029	1	0.0	5.0	#8000ff	#2981f6
