	source	target	weight	edge_sample	edge_color
0	[Clostridium] asparagiforme	[Bacteroides] pectinophilus	3.0	Stool	#b2f396
1	[Clostridium] bolteae	[Clostridium] asparagiforme	4.0	Stool	#b2f396
2	[Clostridium] clostridioforme	[Bacteroides] pectinophilus	4.0	Stool	#b2f396
3	[Clostridium] clostridioforme	[Clostridium] asparagiforme	4.0	Stool	#b2f396
4	[Clostridium] scindens	[Clostridium] citroniae	1.0	Stool	#b2f396
5	[Clostridium] scindens	[Clostridium] saccharogumia	1.0	Stool	#b2f396
6	[Clostridium] spiroforme	[Clostridium] glycyrrhizinilyticum	2.0	Stool	#b2f396
7	[Clostridium] spiroforme	[Clostridium] methylpentosum	3.0	Stool	#b2f396
8	[Clostridium] symbiosum	[Bacteroides] pectinophilus	4.0	Stool	#b2f396
9	[Clostridium] symbiosum	[Clostridium] bolteae	4.0	Stool	#b2f396
10	[Clostridium] symbiosum	[Clostridium] citroniae	2.0	Stool	#b2f396
11	[Eubacterium] cellulosolvens	[Clostridium] citroniae	1.0	Stool	#b2f396
12	[Eubacterium] cellulosolvens	[Clostridium] saccharogumia	1.0	Stool	#b2f396
13	[Eubacterium] cellulosolvens	[Clostridium] scindens	1.0	Stool	#b2f396
14	[Eubacterium] hallii	[Clostridium] citroniae	2.0	Stool	#b2f396
15	[Eubacterium] rectale	[Clostridium] bolteae	3.0	Stool	#b2f396
16	[Eubacterium] rectale	[Eubacterium] eligens	4.0	Stool	#b2f396
17	[Eubacterium] siraeum	[Eubacterium] eligens	3.0	Stool	#b2f396
18	[Haemophilus] parasuis	[Eubacterium] sulci	3.0	Mixed	#cccccc
19	[Ruminococcus] gnavus	[Eubacterium] hallii	2.0	Stool	#b2f396
20	Abiotrophia defectiva	[Eubacterium] sulci	3.0	Mixed	#cccccc
21	Abiotrophia defectiva	[Haemophilus] parasuis	3.0	Buccal_mucosa	#1996f3
22	Acetivibrio ethanolgignens	[Clostridium] glycyrrhizinilyticum	3.0	Stool	#b2f396
23	Acetivibrio ethanolgignens	[Clostridium] spiroforme	3.0	Stool	#b2f396
24	Acetivibrio ethanolgignens	[Eubacterium] rectale	3.0	Stool	#b2f396
25	Acidaminococcus intestini	[Clostridium] methylpentosum	2.0	Stool	#b2f396
26	Acidaminococcus intestini	[Clostridium] spiroforme	2.0	Stool	#b2f396
27	Acidaminococcus sp. BV3L6	[Clostridium] methylpentosum	2.0	Stool	#b2f396
28	Acidaminococcus sp. BV3L6	[Clostridium] spiroforme	2.0	Stool	#b2f396
29	Acidaminococcus sp. HPA0509	[Clostridium] methylpentosum	2.0	Stool	#b2f396
30	Acidaminococcus sp. HPA0509	[Clostridium] spiroforme	2.0	Stool	#b2f396
31	Acidovorax ebreus	Acidovorax delafieldii	1.0	Buccal_mucosa	#1996f3
32	Acidovorax sp. JS42	Acidovorax delafieldii	1.0	Buccal_mucosa	#1996f3
33	Acidovorax sp. JS42	Acidovorax ebreus	1.0	Buccal_mucosa	#1996f3
34	Acinetobacter junii	[Clostridium] leptum	1.0	Anterior_nares	#8000ff
35	Acinetobacter junii	Acinetobacter baumannii	1.0	Mixed	#cccccc
36	Acinetobacter junii	Acinetobacter johnsonii	1.0	Anterior_nares	#8000ff
37	Acinetobacter lwoffii	[Clostridium] leptum	1.0	Anterior_nares	#8000ff
38	Acinetobacter lwoffii	Acinetobacter baumannii	1.0	Mixed	#cccccc
39	Acinetobacter lwoffii	Acinetobacter johnsonii	1.0	Anterior_nares	#8000ff
40	Acinetobacter lwoffii	Acinetobacter junii	1.0	Anterior_nares	#8000ff
41	Acinetobacter sp. MDS7A	[Clostridium] leptum	1.0	Anterior_nares	#8000ff
42	Acinetobacter sp. MDS7A	Acinetobacter baumannii	1.0	Mixed	#cccccc
43	Acinetobacter sp. MDS7A	Acinetobacter johnsonii	1.0	Anterior_nares	#8000ff
44	Acinetobacter sp. MDS7A	Acinetobacter junii	1.0	Anterior_nares	#8000ff
45	Acinetobacter sp. MDS7A	Acinetobacter lwoffii	1.0	Anterior_nares	#8000ff
46	Acinetobacter towneri	Acinetobacter junii	1.0	Anterior_nares	#8000ff
47	Acinetobacter towneri	Acinetobacter lwoffii	1.0	Anterior_nares	#8000ff
48	Acinetobacter towneri	Acinetobacter sp. MDS7A	1.0	Anterior_nares	#8000ff
49	Actinobacillus pleuropneumoniae	[Haemophilus] parasuis	2.0	Buccal_mucosa	#1996f3
50	Actinobacillus ureae	Actinobacillus minor	4.0	Buccal_mucosa	#1996f3
51	Actinomyces dentalis	[Eubacterium] infirmum	3.0	Subgingival_plaque	#e4cf74
52	Actinomyces dentalis	Abiotrophia defectiva	3.0	Mixed	#cccccc
53	Actinomyces georgiae	[Eubacterium] infirmum	3.0	Subgingival_plaque	#e4cf74
54	Actinomyces georgiae	Actinomyces dentalis	3.0	Subgingival_plaque	#e4cf74
55	Actinomyces gerencseriae	Actinomyces georgiae	3.0	Subgingival_plaque	#e4cf74
56	Actinomyces johnsonii	Acidovorax caeni	2.0	Mixed	#cccccc
57	Actinomyces johnsonii	Actinomyces dentalis	5.0	Subgingival_plaque	#e4cf74
58	Actinomyces johnsonii	Actinomyces gerencseriae	4.0	Subgingival_plaque	#e4cf74
59	Actinomyces massiliensis	[Eubacterium] infirmum	3.0	Mixed	#cccccc
60	Actinomyces massiliensis	Actinomyces georgiae	2.0	Mixed	#cccccc
61	Actinomyces meyeri	Abiotrophia defectiva	4.0	Mixed	#cccccc
62	Actinomyces meyeri	Actinomyces dentalis	3.0	Subgingival_plaque	#e4cf74
63	Actinomyces meyeri	Actinomyces johnsonii	5.0	Subgingival_plaque	#e4cf74
64	Actinomyces meyeri	Actinomyces massiliensis	4.0	Mixed	#cccccc
65	Actinomyces naeslundii	[Eubacterium] yurii	3.0	Mixed	#cccccc
66	Actinomyces naeslundii	Actinomyces gerencseriae	3.0	Mixed	#cccccc
67	Actinomyces odontolyticus	[Haemophilus] parasuis	3.0	Mixed	#cccccc
68	Actinomyces oris	Actinomyces meyeri	4.0	Mixed	#cccccc
69	Actinomyces sp. HPA0247	Actinomyces graevenitzii	4.0	Tongue_dorsum	#ff0000
70	Actinomyces sp. ICM39	[Eubacterium] sulci	4.0	Tongue_dorsum	#ff0000
71	Actinomyces sp. ICM54	Actinomyces sp. ICM47	5.0	Tongue_dorsum	#ff0000
72	Actinomyces sp. ICM58	Actinomyces graevenitzii	7.0	Tongue_dorsum	#ff0000
73	Actinomyces sp. ICM58	Actinomyces sp. HPA0247	3.0	Tongue_dorsum	#ff0000
74	Actinomyces sp. oral taxon 171	Actinobaculum sp. oral taxon 183	7.0	Supragingival_plaque	#ff964f
75	Actinomyces sp. oral taxon 171	Actinomyces dentalis	3.0	Mixed	#cccccc
76	Actinomyces sp. oral taxon 171	Actinomyces gerencseriae	4.0	Mixed	#cccccc
77	Actinomyces sp. oral taxon 171	Actinomyces massiliensis	6.0	Supragingival_plaque	#ff964f
78	Actinomyces sp. oral taxon 171	Actinomyces oris	6.0	Supragingival_plaque	#ff964f
79	Actinomyces sp. oral taxon 171	Actinomyces sp. oral taxon 170	4.0	Supragingival_plaque	#ff964f
80	Actinomyces sp. oral taxon 172	[Haemophilus] parasuis	3.0	Mixed	#cccccc
81	Actinomyces sp. oral taxon 172	Actinomyces sp. ICM47	4.0	Tongue_dorsum	#ff0000
