TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
[Clostridium] clostridioforme	Stool	#b2f396	14	41.0	1.0	#bced8f	#7a09ff
[Clostridium] saccharogumia	Stool	#b2f396	2	36.0	2.0	#96fca7	#7216ff
[Clostridium] symbiosum	Stool	#b2f396	9	34.0	1.0	#86ffb0	#7a09ff
[Eubacterium] cellulosolvens	Stool	#b2f396	1	11.0	5.0	#2c7ef7	#5c38fd
[Eubacterium] eligens	Stool	#b2f396	14	9.0	1.0	#3c68f9	#7a09ff
[Eubacterium] hallii	Stool	#b2f396	11	8.0	1.0	#445cfb	#7a09ff
[Eubacterium] siraeum	Stool	#b2f396	11	40.0	1.0	#b4f295	#7a09ff
[Haemophilus] ducreyi	Buccal_mucosa	#1996f3	2	6.0	0.0	#5247fc	#8000ff
[Mannheimia] succiniciproducens	Buccal_mucosa	#1996f3	2	6.0	0.0	#5247fc	#8000ff
[Ruminococcus] gnavus	Stool	#b2f396	11	28.0	1.0	#58f8c9	#7a09ff
Acetivibrio ethanolgignens	Stool	#b2f396	11	37.0	1.0	#9cfba4	#7a09ff
Acidaminococcus sp. BV3L6	Stool	#b2f396	2	16.0	10.0	#06aeed	#3670f8
Acidaminococcus sp. HPA0509	Stool	#b2f396	2	16.0	10.0	#06aeed	#3670f8
Acidovorax ebreus	Buccal_mucosa	#1996f3	1	18.0	12.0	#0ac0e8	#2686f5
Acidovorax sp. JS42	Buccal_mucosa	#1996f3	1	18.0	12.0	#0ac0e8	#2686f5
Acinetobacter sp. MDS7A	Anterior_nares	#8000ff	1	27.0	13.0	#50f4cc	#208ef4
Actinobacillus minor	Buccal_mucosa	#1996f3	6	51.0	9.0	#ffa759	#3e65fa
Actinobacillus pleuropneumoniae	Buccal_mucosa	#1996f3	3	6.0	0.0	#5247fc	#8000ff
Actinomyces dentalis	Subgingival_plaque	#e4cf74	14	52.0	7.0	#ffa055	#4c50fc
Actinomyces graevenitzii	Tongue_dorsum	#ff0000	19	45.0	8.0	#dbd87b	#445cfb
Actinomyces israelii	Subgingival_plaque	#e4cf74	12	42.0	7.0	#c4e88a	#4c50fc
Actinomyces massiliensis	Supragingival_plaque	#ff964f	25	56.0	7.0	#ff763d	#4c50fc
Actinomyces naeslundii	Supragingival_plaque	#ff964f	25	54.0	7.0	#ff8c49	#4c50fc
Actinomyces oris	Supragingival_plaque	#ff964f	26	54.0	7.0	#ff8c49	#4c50fc
Actinomyces sp. ICM39	Tongue_dorsum	#ff0000	12	19.0	8.0	#12c8e6	#445cfb
Actinomyces sp. ICM47	Tongue_dorsum	#ff0000	17	19.0	8.0	#12c8e6	#445cfb
Actinomyces sp. ICM54	Tongue_dorsum	#ff0000	10	19.0	8.0	#12c8e6	#445cfb
Actinomyces sp. ICM58	Tongue_dorsum	#ff0000	9	19.0	8.0	#12c8e6	#445cfb
Actinomyces sp. oral taxon 170	Supragingival_plaque	#ff964f	24	54.0	7.0	#ff8c49	#4c50fc
Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff964f	26	54.0	7.0	#ff8c49	#4c50fc
Actinomyces sp. oral taxon 172	Tongue_dorsum	#ff0000	9	19.0	8.0	#12c8e6	#445cfb
Actinomyces sp. oral taxon 175	Supragingival_plaque	#ff964f	24	54.0	7.0	#ff8c49	#4c50fc
Actinomyces sp. oral taxon 181	Saliva	#7effb5	11	19.0	8.0	#12c8e6	#445cfb
Actinomyces sp. oral taxon 414	Subgingival_plaque	#e4cf74	12	52.0	7.0	#ffa055	#4c50fc
