	source	target	weight	edge_sample	edge_color
0	Acidaminococcus	Acholeplasma	0.809039834956	Stool	#b2f396
1	Aggregatibacter	Actinomyces	0.899882577929	Mixed	#cccccc
2	Anaerotruncus	Acetivibrio	0.90034965035	Stool	#b2f396
3	Arthrobacter	Aliterella	1.0	Anterior_nares	#8000ff
4	Atopobacter	Amphibacillus	1.0	Anterior_nares	#8000ff
5	Azohydromonas	Aliterella	1.0	Anterior_nares	#8000ff
6	Azohydromonas	Arthrobacter	1.0	Anterior_nares	#8000ff
7	Basfia	Avibacterium	0.809039834956	Buccal_mucosa	#1996f3
8	Bibersteinia	Avibacterium	0.809039834956	Buccal_mucosa	#1996f3
9	Bibersteinia	Basfia	1.0	Buccal_mucosa	#1996f3
10	Blautia	Bacteroides	0.921052631579	Stool	#b2f396
11	Burkholderia	Brevibacterium	1.0	Posterior_fornix	#4df3ce
12	Capnocytophaga	Aggregatibacter	0.86156340222	Mixed	#cccccc
13	Cardiobacterium	Actinobaculum	0.844953631241	Mixed	#cccccc
14	Catonella	Carnobacterium	0.8154355063	Mixed	#cccccc
15	Citrobacter	Bradyrhizobium	1.0	Throat	#ff5029
16	Clostridium	Blautia	0.842105263158	Stool	#b2f396
17	Coprobacillus	Butyrivibrio	0.878723404255	Stool	#b2f396
18	Coprococcus	Acetivibrio	0.800094691366	Stool	#b2f396
19	Coprococcus	Akkermansia	0.880704845928	Stool	#b2f396
20	Coprococcus	Bacteroides	0.880704845928	Stool	#b2f396
21	Coprococcus	Blautia	0.880704845928	Stool	#b2f396
22	Crocosphaera	Aureimonas	1.0	Anterior_nares	#8000ff
23	Dehalobacter	Avibacterium	0.809039834956	Buccal_mucosa	#1996f3
24	Dehalobacter	Basfia	1.0	Buccal_mucosa	#1996f3
25	Dehalobacter	Bibersteinia	1.0	Buccal_mucosa	#1996f3
26	Delftia	Aliterella	1.0	Anterior_nares	#8000ff
27	Delftia	Arthrobacter	1.0	Anterior_nares	#8000ff
28	Delftia	Azohydromonas	1.0	Anterior_nares	#8000ff
29	Desulfotomaculum	Anaerofustis	1.0	Stool	#b2f396
30	Dolosigranulum	Calothrix	0.809039834956	Anterior_nares	#8000ff
31	Dorea	Acetivibrio	0.833778847042	Stool	#b2f396
32	Dorea	Akkermansia	0.840605524047	Stool	#b2f396
33	Dorea	Anaerotruncus	0.833778847042	Stool	#b2f396
34	Dorea	Bacteroides	0.921954445729	Stool	#b2f396
35	Dorea	Blautia	0.921954445729	Stool	#b2f396
36	Dorea	Clostridium	0.840605524047	Stool	#b2f396
37	Dorea	Coprococcus	0.877101011293	Stool	#b2f396
38	Echinicola	Avibacterium	0.809039834956	Buccal_mucosa	#1996f3
39	Echinicola	Basfia	1.0	Buccal_mucosa	#1996f3
40	Echinicola	Bibersteinia	1.0	Buccal_mucosa	#1996f3
41	Echinicola	Dehalobacter	1.0	Buccal_mucosa	#1996f3
42	Eikenella	Actinobaculum	0.849677126626	Mixed	#cccccc
43	Eikenella	Cardiobacterium	0.919526212397	Subgingival_plaque	#e4cf74
44	Facklamia	Calothrix	0.809039834956	Mixed	#cccccc
45	Faecalibacterium	Blautia	0.842105263158	Stool	#b2f396
46	Faecalibacterium	Coprococcus	0.880704845928	Stool	#b2f396
47	Faecalibacterium	Dorea	0.840605524047	Stool	#b2f396
48	Faecalicoccus	Catabacter	1.0	Stool	#b2f396
49	Fenollaria	Bosea	1.0	Posterior_fornix	#4df3ce
50	Flavobacterium	Bradyrhizobium	1.0	Throat	#ff5029
51	Flavobacterium	Citrobacter	1.0	Throat	#ff5029
52	Flavonifractor	Acetivibrio	0.814592805371	Stool	#b2f396
53	Flavonifractor	Anaerotruncus	0.909545340966	Stool	#b2f396
54	Flavonifractor	Bacteroides	0.845154254729	Stool	#b2f396
55	Flavonifractor	Blautia	0.845154254729	Stool	#b2f396
56	Flavonifractor	Clostridium	0.845154254729	Stool	#b2f396
57	Flavonifractor	Dorea	0.916698497028	Stool	#b2f396
58	Fusobacterium	Actinomyces	0.868510417225	Mixed	#cccccc
59	Fusobacterium	Aggregatibacter	0.894153189089	Mixed	#cccccc
60	Fusobacterium	Alloprevotella	0.858462649278	Mixed	#cccccc
61	Fusobacterium	Catonella	0.89697905693	Mixed	#cccccc
62	Gemella	Actinomyces	0.965517241379	Mixed	#cccccc
63	Gemella	Aggregatibacter	0.86156340222	Mixed	#cccccc
64	Gemella	Fusobacterium	0.899528646411	Mixed	#cccccc
65	Gordonibacter	Adlercreutzia	0.813725490196	Stool	#b2f396
66	Gulbenkiania	Aureimonas	1.0	Anterior_nares	#8000ff
67	Gulbenkiania	Crocosphaera	1.0	Anterior_nares	#8000ff
68	Haemophilus	Gemella	0.861899545476	Buccal_mucosa	#1996f3
69	Hallella	Enterorhabdus	1.0	Stool	#b2f396
70	Helicobacter	Aureimonas	1.0	Anterior_nares	#8000ff
71	Helicobacter	Crocosphaera	1.0	Anterior_nares	#8000ff
72	Helicobacter	Gulbenkiania	1.0	Anterior_nares	#8000ff
73	Herbaspirillum	Comamonas	0.809039834956	Mid_vagina	#18cde4
74	Holdemania	Acetivibrio	0.847473277284	Stool	#b2f396
75	Holdemania	Anaerotruncus	0.847473277284	Stool	#b2f396
76	Holdemania	Butyricicoccus	0.893237001263	Stool	#b2f396
77	Hungatella	Acetivibrio	0.909545340966	Stool	#b2f396
78	Hungatella	Anaerotruncus	0.909545340966	Stool	#b2f396
79	Hungatella	Bacteroides	0.845154254729	Stool	#b2f396
80	Hungatella	Blautia	0.845154254729	Stool	#b2f396
81	Hungatella	Butyricimonas	0.818269648338	Stool	#b2f396
82	Hungatella	Clostridium	0.845154254729	Stool	#b2f396
83	Hungatella	Collinsella	0.818269648338	Stool	#b2f396
84	Hungatella	Dorea	0.916698497028	Stool	#b2f396
85	Hungatella	Flavonifractor	0.909523809524	Stool	#b2f396
86	Hungatella	Holdemania	0.864098759788	Stool	#b2f396
87	Intestinimonas	Acetivibrio	0.870116240928	Stool	#b2f396
88	Intestinimonas	Anaerotruncus	0.870116240928	Stool	#b2f396
89	Intestinimonas	Bacteroides	0.883452208599	Stool	#b2f396
90	Intestinimonas	Blautia	0.883452208599	Stool	#b2f396
91	Intestinimonas	Coprococcus	0.835531029534	Stool	#b2f396
92	Intestinimonas	Dorea	0.958238460361	Stool	#b2f396
93	Intestinimonas	Faecalibacterium	0.883452208599	Stool	#b2f396
94	Intestinimonas	Flavonifractor	0.8679845693	Stool	#b2f396
95	Intestinimonas	Holdemania	0.826639784509	Stool	#b2f396
96	Intestinimonas	Hungatella	0.8679845693	Stool	#b2f396
97	Janibacter	Bradyrhizobium	1.0	Throat	#ff5029
98	Janibacter	Citrobacter	1.0	Throat	#ff5029
99	Janibacter	Flavobacterium	1.0	Throat	#ff5029
100	Lachnoclostridium	Acetivibrio	0.833778847042	Stool	#b2f396
101	Lachnoclostridium	Anaerotruncus	0.833778847042	Stool	#b2f396
102	Lachnoclostridium	Bacteroides	0.840605524047	Stool	#b2f396
103	Lachnoclostridium	Blautia	0.840605524047	Stool	#b2f396
104	Lachnoclostridium	Clostridium	0.840605524047	Stool	#b2f396
105	Lachnoclostridium	Dorea	0.916176470588	Stool	#b2f396
106	Lachnoclostridium	Flavonifractor	0.916698497028	Stool	#b2f396
107	Lachnoclostridium	Hungatella	0.916698497028	Stool	#b2f396
108	Lachnoclostridium	Intestinimonas	0.872895347485	Stool	#b2f396
109	Leptotrichia	Actinomyces	0.861899545476	Supragingival_plaque	#ff964f
110	Leptotrichia	Capnocytophaga	0.895191802597	Supragingival_plaque	#ff964f
111	Leptotrichia	Fusobacterium	0.860886171337	Mixed	#cccccc
112	Mangrovimonas	Avibacterium	0.809039834956	Buccal_mucosa	#1996f3
113	Mangrovimonas	Basfia	1.0	Buccal_mucosa	#1996f3
114	Mangrovimonas	Bibersteinia	1.0	Buccal_mucosa	#1996f3
115	Mangrovimonas	Dehalobacter	1.0	Buccal_mucosa	#1996f3
116	Mangrovimonas	Echinicola	1.0	Buccal_mucosa	#1996f3
117	Mannheimia	Actinobacillus	1.0	Buccal_mucosa	#1996f3
118	Marvinbryantia	Faecalitalea	0.885949016805	Stool	#b2f396
119	Methylobacterium	Exiguobacterium	1.0	Anterior_nares	#8000ff
120	Microbacterium	Aureimonas	1.0	Anterior_nares	#8000ff
121	Microbacterium	Crocosphaera	1.0	Anterior_nares	#8000ff
122	Microbacterium	Gulbenkiania	1.0	Anterior_nares	#8000ff
123	Microbacterium	Helicobacter	1.0	Anterior_nares	#8000ff
