	source	target	weight	edge_sample	edge_color
0	[Clostridium] innocuum	[Clostridium] aminophilum	1.0	Stool	#b2f396
1	[Clostridium] saccharogumia	[Clostridium] citroniae	1.0	Stool	#b2f396
2	[Clostridium] scindens	[Clostridium] aminophilum	1.0	Stool	#b2f396
3	[Clostridium] scindens	[Clostridium] innocuum	1.0	Stool	#b2f396
4	[Clostridium] spiroforme	[Bacteroides] pectinophilus	0.855798720298	Stool	#b2f396
5	[Clostridium] spiroforme	[Clostridium] aminophilum	0.910721513176	Stool	#b2f396
6	[Clostridium] spiroforme	[Clostridium] innocuum	0.910721513176	Stool	#b2f396
7	[Clostridium] spiroforme	[Clostridium] scindens	0.910721513176	Stool	#b2f396
8	[Clostridium] symbiosum	[Bacteroides] pectinophilus	0.846955260394	Stool	#b2f396
9	[Eubacterium] eligens	[Bacteroides] pectinophilus	0.904637841323	Stool	#b2f396
10	[Eubacterium] eligens	[Clostridium] spiroforme	0.837916973076	Stool	#b2f396
11	[Eubacterium] eligens	[Clostridium] symbiosum	0.850832495595	Stool	#b2f396
12	[Eubacterium] hallii	[Clostridium] sordellii	0.873883560682	Stool	#b2f396
13	[Eubacterium] hallii	[Clostridium] symbiosum	0.842103932972	Stool	#b2f396
14	[Eubacterium] rectale	[Bacteroides] pectinophilus	0.815564357932	Stool	#b2f396
15	[Eubacterium] rectale	[Clostridium] symbiosum	0.805660043157	Stool	#b2f396
16	[Eubacterium] rectale	[Eubacterium] eligens	0.853885393722	Stool	#b2f396
17	[Eubacterium] siraeum	[Bacteroides] pectinophilus	0.857395798342	Stool	#b2f396
18	[Eubacterium] siraeum	[Clostridium] aminophilum	0.949235598903	Stool	#b2f396
19	[Eubacterium] siraeum	[Clostridium] innocuum	0.949235598903	Stool	#b2f396
20	[Eubacterium] siraeum	[Clostridium] scindens	0.949235598903	Stool	#b2f396
21	[Eubacterium] siraeum	[Clostridium] spiroforme	0.863638943019	Stool	#b2f396
22	[Eubacterium] siraeum	[Eubacterium] eligens	0.835551836798	Stool	#b2f396
23	[Haemophilus] ducreyi	[Actinobacillus] muris	1.0	Buccal_mucosa	#1996f3
24	[Haemophilus] parasuis	[Actinobacillus] muris	0.893919825257	Buccal_mucosa	#1996f3
