	source	target	weight	edge_sample	edge_color
0	[Clostridium] clostridioforme	[Bacteroides] pectinophilus	0.818269648338	Stool	#b2f396
1	[Clostridium] clostridioforme	[Clostridium] bolteae	0.864098759788	Stool	#b2f396
2	[Clostridium] innocuum	[Clostridium] aminophilum	1.0	Stool	#b2f396
3	[Clostridium] saccharogumia	[Clostridium] citroniae	1.0	Stool	#b2f396
4	[Clostridium] scindens	[Clostridium] aminophilum	1.0	Stool	#b2f396
5	[Clostridium] scindens	[Clostridium] innocuum	1.0	Stool	#b2f396
6	[Clostridium] symbiosum	[Clostridium] asparagiforme	1.0	Stool	#b2f396
7	[Eubacterium] eligens	[Clostridium] clostridioforme	0.819047619048	Stool	#b2f396
8	[Eubacterium] hallii	[Clostridium] clostridioforme	0.818269648338	Stool	#b2f396
9	[Eubacterium] hallii	[Clostridium] spiroforme	0.826284349121	Stool	#b2f396
10	[Haemophilus] ducreyi	[Actinobacillus] muris	1.0	Buccal_mucosa	#1996f3
11	[Mannheimia] succiniciproducens	[Actinobacillus] muris	1.0	Buccal_mucosa	#1996f3
12	[Mannheimia] succiniciproducens	[Haemophilus] ducreyi	1.0	Buccal_mucosa	#1996f3
13	[Ruminococcus] gnavus	[Clostridium] clostridioforme	0.818269648338	Stool	#b2f396
14	[Ruminococcus] gnavus	[Clostridium] spiroforme	0.826284349121	Stool	#b2f396
15	[Ruminococcus] gnavus	[Eubacterium] hallii	0.887351778656	Stool	#b2f396
16	Acetivibrio ethanolgignens	[Bacteroides] pectinophilus	0.837918872499	Stool	#b2f396
17	Acetivibrio ethanolgignens	[Clostridium] asparagiforme	0.838525491562	Stool	#b2f396
18	Acetivibrio ethanolgignens	[Clostridium] clostridioforme	0.864098759788	Stool	#b2f396
19	Acetivibrio ethanolgignens	[Clostridium] symbiosum	0.838525491562	Stool	#b2f396
20	Acetivibrio ethanolgignens	[Eubacterium] eligens	0.864098759788	Stool	#b2f396
21	Acidaminococcus sp. BV3L6	Acidaminococcus intestini	1.0	Stool	#b2f396
22	Acidaminococcus sp. HPA0509	Acidaminococcus intestini	1.0	Stool	#b2f396
23	Acidaminococcus sp. HPA0509	Acidaminococcus sp. BV3L6	1.0	Stool	#b2f396
24	Acidovorax ebreus	Acidovorax delafieldii	1.0	Buccal_mucosa	#1996f3
25	Acidovorax sp. JS42	Acidovorax delafieldii	1.0	Buccal_mucosa	#1996f3
26	Acidovorax sp. JS42	Acidovorax ebreus	1.0	Buccal_mucosa	#1996f3
27	Acinetobacter sp. MDS7A	Acinetobacter lwoffii	1.0	Anterior_nares	#8000ff
28	Acinetobacter towneri	Acinetobacter lwoffii	1.0	Anterior_nares	#8000ff
29	Acinetobacter towneri	Acinetobacter sp. MDS7A	1.0	Anterior_nares	#8000ff
