TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
Aggregatibacter	Mixed	#cccccc	28	5.0	0.0	#9bfba5	#8000ff
Alistipes	Stool	#b2f396	28	1.0	2.0	#4856fb	#445cfb
Aliterella	Anterior_nares	#8000ff	1	9.0	3.0	#ff0000	#2686f5
Alysiella	Attached	#4e4dfc	2	5.0	10.0	#9bfba5	#acf59a
Anaeroglobus	Saliva	#7effb5	9	5.0	5.0	#9bfba5	#17cbe4
Anaerostipes	Stool	#b2f396	9	4.0	8.0	#62fbc4	#70febc
Arthrobacter	Anterior_nares	#8000ff	1	9.0	3.0	#ff0000	#2686f5
Aureimonas	Anterior_nares	#8000ff	1	7.0	12.0	#ffa558	#e8cb72
Azohydromonas	Anterior_nares	#8000ff	1	9.0	3.0	#ff0000	#2686f5
Bacteroides	Stool	#b2f396	45	1.0	2.0	#4856fb	#445cfb
Barnesiella	Stool	#b2f396	15	1.0	2.0	#4856fb	#445cfb
Basfia	Buccal_mucosa	#1996f3	2	7.0	10.0	#ffa558	#acf59a
Bibersteinia	Buccal_mucosa	#1996f3	2	7.0	10.0	#ffa558	#acf59a
Bifidobacterium	Stool	#b2f396	21	4.0	1.0	#62fbc4	#622ffe
Bilophila	Stool	#b2f396	10	4.0	2.0	#62fbc4	#445cfb
Blautia	Stool	#b2f396	18	1.0	1.0	#4856fb	#622ffe
Bradyrhizobium	Throat	#ff5029	1	2.0	7.0	#10a2f0	#52f5cb
Butyricicoccus	Stool	#b2f396	10	4.0	2.0	#62fbc4	#445cfb
Butyricimonas	Stool	#b2f396	11	4.0	8.0	#62fbc4	#70febc
Calothrix	Anterior_nares	#8000ff	2	2.0	9.0	#10a2f0	#8efeac
Campylobacter	Saliva	#7effb5	35	5.0	0.0	#9bfba5	#8000ff
Carnobacterium	Saliva	#7effb5	21	5.0	0.0	#9bfba5	#8000ff
Catenibacterium	Stool	#b2f396	7	0.0	2.0	#8000ff	#445cfb
Catonella	Subgingival_plaque	#e4cf74	23	5.0	5.0	#9bfba5	#17cbe4
Cellulomonas	Stool	#b2f396	6	5.0	0.0	#9bfba5	#8000ff
Centipeda	Subgingival_plaque	#e4cf74	14	5.0	5.0	#9bfba5	#17cbe4
Chlamydia	Attached	#4e4dfc	7	5.0	0.0	#9bfba5	#8000ff
Chryseobacterium	Attached	#4e4dfc	12	5.0	10.0	#9bfba5	#acf59a
Citrobacter	Throat	#ff5029	1	2.0	7.0	#10a2f0	#52f5cb
Clostridium	Stool	#b2f396	27	4.0	8.0	#62fbc4	#70febc
Comamonas	Mid_vagina	#18cde4	3	2.0	9.0	#10a2f0	#8efeac
Conchiformibius	Throat	#ff5029	2	2.0	7.0	#10a2f0	#52f5cb
Coprobacillus	Stool	#b2f396	9	4.0	8.0	#62fbc4	#70febc
Coprobacter	Stool	#b2f396	5	4.0	8.0	#62fbc4	#70febc
Coprococcus	Stool	#b2f396	17	1.0	1.0	#4856fb	#622ffe
Corynebacterium	Supragingival_plaque	#ff964f	37	5.0	4.0	#9bfba5	#08acee
Crocosphaera	Anterior_nares	#8000ff	1	7.0	12.0	#ffa558	#e8cb72
Dechloromonas	Buccal_mucosa	#1996f3	2	2.0	9.0	#10a2f0	#8efeac
Dehalobacter	Buccal_mucosa	#1996f3	2	7.0	10.0	#ffa558	#acf59a
Delftia	Anterior_nares	#8000ff	1	9.0	3.0	#ff0000	#2686f5
Dielma	Stool	#b2f396	4	4.0	8.0	#62fbc4	#70febc
Dolosigranulum	Anterior_nares	#8000ff	5	2.0	9.0	#10a2f0	#8efeac
Dorea	Stool	#b2f396	16	1.0	1.0	#4856fb	#622ffe
Echinicola	Buccal_mucosa	#1996f3	2	7.0	10.0	#ffa558	#acf59a
Eggerthella	Stool	#b2f396	3	4.0	8.0	#62fbc4	#70febc
Eikenella	Subgingival_plaque	#e4cf74	16	5.0	0.0	#9bfba5	#8000ff
Elizabethkingia	Buccal_mucosa	#1996f3	1	2.0	9.0	#10a2f0	#8efeac
Enhydrobacter	Posterior_fornix	#4df3ce	2	2.0	9.0	#10a2f0	#8efeac
Enterococcus	Attached	#4e4dfc	14	0.0	2.0	#8000ff	#445cfb
Erysipelatoclostridium	Stool	#b2f396	10	4.0	8.0	#62fbc4	#70febc
Eubacterium	Subgingival_plaque	#e4cf74	38	4.0	8.0	#62fbc4	#70febc
Exiguobacterium	Anterior_nares	#8000ff	2	7.0	12.0	#ffa558	#e8cb72
