	source	target	weight	edge_sample	edge_color
0	Acidaminococcus	Acholeplasma	0.809039834956	Stool	#b2f396
1	Aliterella	Acinetobacter	0.996194152991	Anterior_nares	#8000ff
2	Anaerotruncus	Acetivibrio	0.878995721172	Stool	#b2f396
3	Arthrobacter	Acinetobacter	0.996194152991	Anterior_nares	#8000ff
4	Arthrobacter	Aliterella	1.0	Anterior_nares	#8000ff
5	Atopobacter	Amphibacillus	1.0	Anterior_nares	#8000ff
6	Aureimonas	Arcanobacterium	0.969895294641	Anterior_nares	#8000ff
7	Avibacterium	Actinobacillus	0.826132455582	Buccal_mucosa	#1996f3
8	Azohydromonas	Acinetobacter	0.996194152991	Anterior_nares	#8000ff
9	Azohydromonas	Aliterella	1.0	Anterior_nares	#8000ff
10	Azohydromonas	Arthrobacter	1.0	Anterior_nares	#8000ff
11	Bacillus	Acidovorax	0.820501436063	Anterior_nares	#8000ff
12	Basfia	Actinobacillus	0.988934054219	Buccal_mucosa	#1996f3
13	Basfia	Avibacterium	0.809039834956	Buccal_mucosa	#1996f3
14	Bibersteinia	Actinobacillus	0.936484066907	Buccal_mucosa	#1996f3
15	Bibersteinia	Basfia	0.946963109332	Buccal_mucosa	#1996f3
16	Bifidobacterium	Anaerostipes	0.840787457016	Stool	#b2f396
17	Blautia	Adlercreutzia	0.94281166164	Stool	#b2f396
18	Bradyrhizobium	Afipia	0.950298790054	Throat	#ff5029
19	Brevibacterium	Aerococcus	0.999888986451	Posterior_fornix	#4df3ce
20	Burkholderia	Aerococcus	0.999888986451	Posterior_fornix	#4df3ce
21	Burkholderia	Brevibacterium	1.0	Posterior_fornix	#4df3ce
22	Butyricimonas	Acholeplasma	0.856206515513	Stool	#b2f396
23	Butyricimonas	Acidaminococcus	0.976780751404	Stool	#b2f396
24	Butyricimonas	Alistipes	0.869103682824	Stool	#b2f396
25	Calothrix	Amphibacillus	0.948129316401	Anterior_nares	#8000ff
26	Calothrix	Atopobacter	0.948129316401	Anterior_nares	#8000ff
