TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
[Clostridium] clostridioforme	Stool	#b2f396	15	2.0	1.0	#ff0000	#386df9
[Clostridium] innocuum	Stool	#b2f396	1	2.0	2.0	#ff0000	#10c6e6
[Clostridium] leptum	Anterior_nares	#8000ff	16	1.0	1.0	#7effb5	#386df9
[Clostridium] saccharogumia	Stool	#b2f396	2	0.0	1.0	#8000ff	#386df9
[Clostridium] scindens	Stool	#b2f396	2	2.0	1.0	#ff0000	#386df9
[Clostridium] spiroforme	Stool	#b2f396	8	2.0	1.0	#ff0000	#386df9
[Clostridium] symbiosum	Stool	#b2f396	10	1.0	1.0	#7effb5	#386df9
[Eubacterium] cellulosolvens	Stool	#b2f396	1	2.0	1.0	#ff0000	#386df9
[Eubacterium] eligens	Stool	#b2f396	15	2.0	1.0	#ff0000	#386df9
[Eubacterium] hallii	Stool	#b2f396	11	2.0	1.0	#ff0000	#386df9
[Eubacterium] rectale	Stool	#b2f396	26	0.0	1.0	#8000ff	#386df9
[Eubacterium] siraeum	Stool	#b2f396	13	2.0	1.0	#ff0000	#386df9
[Eubacterium] sulci	Tongue_dorsum	#ff0000	15	0.0	3.0	#8000ff	#5af8c8
[Haemophilus] ducreyi	Buccal_mucosa	#1996f3	1	1.0	0.0	#7effb5	#8000ff
[Haemophilus] parasuis	Buccal_mucosa	#1996f3	6	2.0	3.0	#ff0000	#5af8c8
[Mannheimia] succiniciproducens	Buccal_mucosa	#1996f3	1	1.0	0.0	#7effb5	#8000ff
[Ruminococcus] gnavus	Stool	#b2f396	11	2.0	1.0	#ff0000	#386df9
[Ruminococcus] torques	Stool	#b2f396	3	0.0	1.0	#8000ff	#386df9
Abiotrophia defectiva	Buccal_mucosa	#1996f3	27	0.0	3.0	#8000ff	#5af8c8
Acetivibrio ethanolgignens	Stool	#b2f396	13	2.0	1.0	#ff0000	#386df9
Acidaminococcus intestini	Stool	#b2f396	2	2.0	1.0	#ff0000	#386df9
Acidaminococcus sp. BV3L6	Stool	#b2f396	2	0.0	1.0	#8000ff	#386df9
Acidaminococcus sp. HPA0509	Stool	#b2f396	2	0.0	1.0	#8000ff	#386df9
Acidovorax ebreus	Buccal_mucosa	#1996f3	1	0.0	0.0	#8000ff	#8000ff
Acidovorax sp. JS42	Buccal_mucosa	#1996f3	1	0.0	0.0	#8000ff	#8000ff
Acinetobacter baumannii	Attached	#4e4dfc	12	0.0	5.0	#8000ff	#ecc86f
Acinetobacter junii	Anterior_nares	#8000ff	7	0.0	4.0	#8000ff	#a2f9a0
Acinetobacter lwoffii	Anterior_nares	#8000ff	1	2.0	4.0	#ff0000	#a2f9a0
Acinetobacter sp. MDS7A	Anterior_nares	#8000ff	1	2.0	4.0	#ff0000	#a2f9a0
Acinetobacter towneri	Anterior_nares	#8000ff	2	2.0	4.0	#ff0000	#a2f9a0
Actinobacillus pleuropneumoniae	Buccal_mucosa	#1996f3	2	0.0	0.0	#8000ff	#8000ff
Actinomyces gerencseriae	Subgingival_plaque	#e4cf74	15	1.0	3.0	#7effb5	#5af8c8
Actinomyces johnsonii	Subgingival_plaque	#e4cf74	19	2.0	3.0	#ff0000	#5af8c8
Actinomyces massiliensis	Supragingival_plaque	#ff964f	25	0.0	3.0	#8000ff	#5af8c8
Actinomyces meyeri	Subgingival_plaque	#e4cf74	16	2.0	3.0	#ff0000	#5af8c8
Actinomyces naeslundii	Supragingival_plaque	#ff964f	25	0.0	3.0	#8000ff	#5af8c8
Actinomyces odontolyticus	Tongue_dorsum	#ff0000	25	2.0	3.0	#ff0000	#5af8c8
Actinomyces oris	Supragingival_plaque	#ff964f	25	2.0	3.0	#ff0000	#5af8c8
Actinomyces sp. ICM39	Tongue_dorsum	#ff0000	14	2.0	3.0	#ff0000	#5af8c8
Actinomyces sp. ICM47	Tongue_dorsum	#ff0000	18	2.0	3.0	#ff0000	#5af8c8
Actinomyces sp. ICM54	Tongue_dorsum	#ff0000	11	2.0	3.0	#ff0000	#5af8c8
Actinomyces sp. oral taxon 170	Supragingival_plaque	#ff964f	23	2.0	3.0	#ff0000	#5af8c8
Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff964f	26	2.0	3.0	#ff0000	#5af8c8
Actinomyces sp. oral taxon 172	Tongue_dorsum	#ff0000	11	0.0	3.0	#8000ff	#5af8c8
Actinomyces sp. oral taxon 175	Supragingival_plaque	#ff964f	23	2.0	3.0	#ff0000	#5af8c8
Actinomyces sp. oral taxon 178	Supragingival_plaque	#ff964f	6	2.0	3.0	#ff0000	#5af8c8
Actinomyces sp. oral taxon 180	Saliva	#7effb5	6	2.0	0.0	#ff0000	#8000ff
Actinomyces sp. oral taxon 181	Saliva	#7effb5	12	0.0	3.0	#8000ff	#5af8c8
Actinomyces sp. oral taxon 414	Subgingival_plaque	#e4cf74	12	0.0	3.0	#8000ff	#5af8c8
Actinomyces sp. oral taxon 848	Supragingival_plaque	#ff964f	8	2.0	3.0	#ff0000	#5af8c8
Actinomyces sp. oral taxon 849	Supragingival_plaque	#ff964f	14	0.0	3.0	#8000ff	#5af8c8
Actinomyces sp. oral taxon 877	Supragingival_plaque	#ff964f	5	1.0	3.0	#7effb5	#5af8c8
Actinomyces sp. ph3	Saliva	#7effb5	12	0.0	3.0	#8000ff	#5af8c8
Actinomyces sp. S6-Spd3	Tongue_dorsum	#ff0000	20	2.0	3.0	#ff0000	#5af8c8
Actinomyces timonensis	Subgingival_plaque	#e4cf74	11	0.0	3.0	#8000ff	#5af8c8
Actinomyces viscosus	Supragingival_plaque	#ff964f	23	0.0	3.0	#8000ff	#5af8c8
Adlercreutzia equolifaciens	Stool	#b2f396	6	2.0	1.0	#ff0000	#386df9
Afipia birgiae	Throat	#ff5029	3	0.0	0.0	#8000ff	#8000ff
Aggregatibacter actinomycetemcomitans	Buccal_mucosa	#1996f3	21	2.0	3.0	#ff0000	#5af8c8
Aggregatibacter aphrophilus	Anterior_nares	#8000ff	28	1.0	3.0	#7effb5	#5af8c8
Aggregatibacter segnis	Buccal_mucosa	#1996f3	21	2.0	3.0	#ff0000	#5af8c8
Aggregatibacter sp. oral taxon 458	Buccal_mucosa	#1996f3	21	2.0	3.0	#ff0000	#5af8c8
Akkermansia muciniphila	Stool	#b2f396	20	1.0	1.0	#7effb5	#386df9
Alistipes finegoldii	Stool	#b2f396	10	2.0	1.0	#ff0000	#386df9
