TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
[Clostridium] innocuum	Stool	#b2f396	1	24.0	1.0	#ff8444	#7216ff
[Clostridium] spiroforme	Stool	#b2f396	8	24.0	1.0	#ff8444	#7216ff
[Eubacterium] cellulosolvens	Stool	#b2f396	1	7.0	1.0	#06aeed	#7216ff
[Eubacterium] eligens	Stool	#b2f396	15	24.0	1.0	#ff8444	#7216ff
[Eubacterium] hallii	Stool	#b2f396	11	7.0	1.0	#06aeed	#7216ff
[Eubacterium] rectale	Stool	#b2f396	26	7.0	1.0	#06aeed	#7216ff
[Eubacterium] siraeum	Stool	#b2f396	13	24.0	1.0	#ff8444	#7216ff
[Eubacterium] sulci	Tongue_dorsum	#ff0000	15	26.0	6.0	#ff532a	#2686f5
[Haemophilus] ducreyi	Buccal_mucosa	#1996f3	1	8.0	0.0	#0dc2e8	#8000ff
[Haemophilus] parasuis	Buccal_mucosa	#1996f3	6	8.0	0.0	#0dc2e8	#8000ff
[Mannheimia] succiniciproducens	Buccal_mucosa	#1996f3	1	0.0	0.0	#8000ff	#8000ff
[Ruminococcus] gnavus	Stool	#b2f396	11	7.0	1.0	#06aeed	#7216ff
Acetivibrio ethanolgignens	Stool	#b2f396	13	7.0	1.0	#06aeed	#7216ff
Acidaminococcus sp. BV3L6	Stool	#b2f396	2	11.0	2.0	#40ecd4	#622ffe
Acidaminococcus sp. HPA0509	Stool	#b2f396	2	11.0	2.0	#40ecd4	#622ffe
Acidovorax ebreus	Buccal_mucosa	#1996f3	1	18.0	9.0	#bced8f	#07bbea
Acidovorax sp. JS42	Buccal_mucosa	#1996f3	1	18.0	9.0	#bced8f	#07bbea
Acinetobacter baumannii	Attached	#4e4dfc	12	25.0	5.0	#ff6d38	#3670f8
Acinetobacter johnsonii	Anterior_nares	#8000ff	3	25.0	5.0	#ff6d38	#3670f8
Acinetobacter junii	Anterior_nares	#8000ff	7	25.0	5.0	#ff6d38	#3670f8
Acinetobacter lwoffii	Anterior_nares	#8000ff	1	25.0	5.0	#ff6d38	#3670f8
Acinetobacter sp. MDS7A	Anterior_nares	#8000ff	1	25.0	5.0	#ff6d38	#3670f8
Acinetobacter towneri	Anterior_nares	#8000ff	2	25.0	5.0	#ff6d38	#3670f8
Actinobacillus minor	Buccal_mucosa	#1996f3	5	8.0	0.0	#0dc2e8	#8000ff
Actinobacillus ureae	Buccal_mucosa	#1996f3	5	8.0	0.0	#0dc2e8	#8000ff
Actinomyces georgiae	Subgingival_plaque	#e4cf74	8	4.0	7.0	#396bf9	#1898f2
Actinomyces johnsonii	Subgingival_plaque	#e4cf74	19	4.0	7.0	#396bf9	#1898f2
Actinomyces massiliensis	Supragingival_plaque	#ff964f	25	4.0	7.0	#396bf9	#1898f2
Actinomyces sp. ICM47	Tongue_dorsum	#ff0000	18	26.0	6.0	#ff532a	#2686f5
Actinomyces sp. ICM54	Tongue_dorsum	#ff0000	11	26.0	6.0	#ff532a	#2686f5
Actinomyces sp. ICM58	Tongue_dorsum	#ff0000	11	26.0	6.0	#ff532a	#2686f5
Actinomyces sp. oral taxon 172	Tongue_dorsum	#ff0000	11	26.0	6.0	#ff532a	#2686f5
Actinomyces sp. oral taxon 178	Supragingival_plaque	#ff964f	6	4.0	7.0	#396bf9	#1898f2
Actinomyces sp. oral taxon 180	Saliva	#7effb5	6	26.0	6.0	#ff532a	#2686f5
Actinomyces sp. oral taxon 448	Supragingival_plaque	#ff964f	11	4.0	7.0	#396bf9	#1898f2
Actinomyces sp. oral taxon 849	Supragingival_plaque	#ff964f	14	4.0	7.0	#396bf9	#1898f2
Actinomyces sp. oral taxon 877	Supragingival_plaque	#ff964f	5	4.0	7.0	#396bf9	#1898f2
Actinomyces sp. ph3	Saliva	#7effb5	12	26.0	6.0	#ff532a	#2686f5
Actinomyces sp. S6-Spd3	Tongue_dorsum	#ff0000	20	26.0	6.0	#ff532a	#2686f5
Actinomyces viscosus	Supragingival_plaque	#ff964f	23	27.0	14.0	#ff381c	#52f5cb
Adlercreutzia equolifaciens	Stool	#b2f396	6	7.0	1.0	#06aeed	#7216ff
Alistipes indistinctus	Stool	#b2f396	8	11.0	2.0	#40ecd4	#622ffe
Alistipes obesi	Stool	#b2f396	11	11.0	2.0	#40ecd4	#622ffe
Alistipes onderdonkii	Stool	#b2f396	12	7.0	1.0	#06aeed	#7216ff
Alistipes putredinis	Stool	#b2f396	24	11.0	2.0	#40ecd4	#622ffe
Alistipes senegalensis	Stool	#b2f396	11	11.0	2.0	#40ecd4	#622ffe
Alistipes shahii	Stool	#b2f396	14	12.0	20.0	#52f5cb	#acf59a
Alistipes sp. AL-1	Stool	#b2f396	10	11.0	2.0	#40ecd4	#622ffe
Alistipes sp. HGB5	Stool	#b2f396	10	12.0	20.0	#52f5cb	#acf59a
Alistipes timonensis	Stool	#b2f396	9	7.0	1.0	#06aeed	#7216ff
Aliterella atlantica	Anterior_nares	#8000ff	1	25.0	5.0	#ff6d38	#3670f8
Alloprevotella tannerae	Subgingival_plaque	#e4cf74	21	26.0	6.0	#ff532a	#2686f5
alpha proteobacterium LLX12A	Anterior_nares	#8000ff	1	25.0	5.0	#ff6d38	#3670f8
Alysiella crassa	Attached	#4e4dfc	2	8.0	11.0	#0dc2e8	#24d8df
Anaerococcus lactolyticus	Posterior_fornix	#4df3ce	2	18.0	21.0	#bced8f	#bbee91
Anaerococcus prevotii	Posterior_fornix	#4df3ce	2	10.0	18.0	#2fe0db	#8efeac
Anaerococcus provenciensis	Anterior_nares	#8000ff	5	9.0	8.0	#1fd3e1	#08acee
Anaerococcus sp. PH9	Posterior_fornix	#4df3ce	2	18.0	21.0	#bced8f	#bbee91
Anaerococcus tetradius	Posterior_fornix	#4df3ce	2	27.0	12.0	#ff381c	#34e4d9
Anaerococcus vaginalis	Stool	#b2f396	1	24.0	1.0	#ff8444	#7216ff
Anaerofustis stercorihominis	Stool	#b2f396	1	7.0	1.0	#06aeed	#7216ff
Anaeroglobus geminatus	Saliva	#7effb5	9	4.0	7.0	#396bf9	#1898f2
Anaerostipes caccae	Stool	#b2f396	2	14.0	3.0	#76ffb9	#5444fd
Anaerostipes hadrus	Stool	#b2f396	6	24.0	1.0	#ff8444	#7216ff
Anaerostipes sp. 3_2_56FAA	Stool	#b2f396	2	14.0	3.0	#76ffb9	#5444fd
Anaerotruncus colihominis	Stool	#b2f396	11	7.0	1.0	#06aeed	#7216ff
Arcanobacterium haemolyticum	Supragingival_plaque	#ff964f	1	4.0	7.0	#396bf9	#1898f2
Atopobium parvulum	Saliva	#7effb5	18	26.0	6.0	#ff532a	#2686f5
Atopobium sp. BS2	Saliva	#7effb5	12	26.0	6.0	#ff532a	#2686f5
Atopobium sp. ICM42b	Saliva	#7effb5	13	26.0	6.0	#ff532a	#2686f5
Atopobium sp. oral taxon 199	Saliva	#7effb5	3	26.0	6.0	#ff532a	#2686f5
Atopobium sp. oral taxon 810	Buccal_mucosa	#1996f3	1	18.0	9.0	#bced8f	#07bbea
Atopobium vaginae	Posterior_fornix	#4df3ce	2	27.0	12.0	#ff381c	#34e4d9
Aureimonas altamirensis	Anterior_nares	#8000ff	1	1.0	22.0	#7019ff	#cbe486
Avibacterium paragallinarum	Buccal_mucosa	#1996f3	2	19.0	10.0	#cee184	#17cbe4
Azohydromonas australica	Anterior_nares	#8000ff	1	25.0	5.0	#ff6d38	#3670f8
Bacillus cereus	Anterior_nares	#8000ff	2	1.0	22.0	#7019ff	#cbe486
Bacillus thermoamylovorans	Anterior_nares	#8000ff	2	25.0	5.0	#ff6d38	#3670f8
bacterium LF-3	Stool	#b2f396	10	7.0	1.0	#06aeed	#7216ff
Bacteroidaceae bacterium MS4	Stool	#b2f396	2	14.0	3.0	#76ffb9	#5444fd
Bacteroides acidifaciens	Stool	#b2f396	14	14.0	3.0	#76ffb9	#5444fd
Bacteroides barnesiae	Stool	#b2f396	7	11.0	2.0	#40ecd4	#622ffe
Bacteroides caccae	Stool	#b2f396	19	7.0	1.0	#06aeed	#7216ff
Bacteroides cellulosilyticus	Stool	#b2f396	16	12.0	20.0	#52f5cb	#acf59a
Bacteroides clarus	Stool	#b2f396	8	14.0	3.0	#76ffb9	#5444fd
Bacteroides coprocola	Stool	#b2f396	17	11.0	2.0	#40ecd4	#622ffe
Bacteroides coprophilus	Stool	#b2f396	13	14.0	3.0	#76ffb9	#5444fd
Bacteroides coprosuis	Stool	#b2f396	2	11.0	2.0	#40ecd4	#622ffe
Bacteroides dorei	Stool	#b2f396	18	14.0	3.0	#76ffb9	#5444fd
Bacteroides eggerthii	Stool	#b2f396	13	14.0	3.0	#76ffb9	#5444fd
Bacteroides finegoldii	Stool	#b2f396	17	14.0	3.0	#76ffb9	#5444fd
Bacteroides gallinarum	Subgingival_plaque	#e4cf74	13	7.0	1.0	#06aeed	#7216ff
Bacteroides graminisolvens	Stool	#b2f396	2	14.0	3.0	#76ffb9	#5444fd
Bacteroides helcogenes	Stool	#b2f396	7	16.0	1.0	#99fca6	#7216ff
Bacteroides intestinalis	Stool	#b2f396	16	12.0	20.0	#52f5cb	#acf59a
Bacteroides nordii	Stool	#b2f396	9	14.0	3.0	#76ffb9	#5444fd
Bacteroides oleiciplenus	Stool	#b2f396	11	14.0	3.0	#76ffb9	#5444fd
Bacteroides ovatus	Stool	#b2f396	19	14.0	3.0	#76ffb9	#5444fd
Bacteroides paurosaccharolyticus	Buccal_mucosa	#1996f3	1	0.0	0.0	#8000ff	#8000ff
Bacteroides plebeius	Stool	#b2f396	8	12.0	20.0	#52f5cb	#acf59a
Bacteroides reticulotermitis	Stool	#b2f396	3	14.0	3.0	#76ffb9	#5444fd
Bacteroides salyersiae	Stool	#b2f396	6	28.0	2.0	#ff1c0e	#622ffe
Bacteroides sartorii	Stool	#b2f396	13	14.0	3.0	#76ffb9	#5444fd
Bacteroides sp. 1_1_30	Stool	#b2f396	9	14.0	3.0	#76ffb9	#5444fd
Bacteroides sp. 14(A)	Stool	#b2f396	9	12.0	20.0	#52f5cb	#acf59a
Bacteroides sp. 2_1_33B	Stool	#b2f396	9	12.0	20.0	#52f5cb	#acf59a
Bacteroides sp. 2_2_4	Stool	#b2f396	13	14.0	3.0	#76ffb9	#5444fd
Bacteroides sp. 3_1_13	Stool	#b2f396	12	14.0	3.0	#76ffb9	#5444fd
Bacteroides sp. 3_1_19	Stool	#b2f396	11	12.0	20.0	#52f5cb	#acf59a
Bacteroides sp. 3_1_23	Stool	#b2f396	11	14.0	3.0	#76ffb9	#5444fd
Bacteroides sp. 3_1_33FAA	Stool	#b2f396	13	12.0	20.0	#52f5cb	#acf59a
Bacteroides sp. 4_1_36	Stool	#b2f396	8	24.0	1.0	#ff8444	#7216ff
Bacteroides sp. 9_1_42FAA	Stool	#b2f396	13	12.0	20.0	#52f5cb	#acf59a
Bacteroides sp. D2	Stool	#b2f396	12	14.0	3.0	#76ffb9	#5444fd
Bacteroides sp. D20	Stool	#b2f396	9	24.0	1.0	#ff8444	#7216ff
Bacteroides sp. D22	Stool	#b2f396	10	14.0	3.0	#76ffb9	#5444fd
Bacteroides sp. HPS0048	Stool	#b2f396	6	11.0	2.0	#40ecd4	#622ffe
Bacteroides stercorirosoris	Stool	#b2f396	12	12.0	20.0	#52f5cb	#acf59a
Bacteroides stercoris	Stool	#b2f396	14	7.0	1.0	#06aeed	#7216ff
Bacteroides thetaiotaomicron	Stool	#b2f396	16	16.0	1.0	#99fca6	#7216ff
Bacteroides vulgatus	Stool	#b2f396	18	14.0	3.0	#76ffb9	#5444fd
Bacteroides xylanisolvens	Stool	#b2f396	10	14.0	3.0	#76ffb9	#5444fd
Bacteroidetes oral taxon 274	Subgingival_plaque	#e4cf74	21	4.0	7.0	#396bf9	#1898f2
Barnesiella intestinihominis	Stool	#b2f396	8	24.0	23.0	#ff8444	#d9da7d
Barnesiella viscericola	Stool	#b2f396	7	12.0	20.0	#52f5cb	#acf59a
Bibersteinia trehalosi	Buccal_mucosa	#1996f3	1	8.0	0.0	#0dc2e8	#8000ff
Bifidobacterium adolescentis	Stool	#b2f396	14	24.0	1.0	#ff8444	#7216ff
Bifidobacterium breve	Stool	#b2f396	1	14.0	3.0	#76ffb9	#5444fd
Bifidobacterium kashiwanohense	Stool	#b2f396	1	14.0	3.0	#76ffb9	#5444fd
Bifidobacterium longum	Stool	#b2f396	13	24.0	1.0	#ff8444	#7216ff
Bifidobacterium pseudocatenulatum	Stool	#b2f396	2	14.0	3.0	#76ffb9	#5444fd
Bifidobacterium ruminantium	Stool	#b2f396	1	14.0	3.0	#76ffb9	#5444fd
Bifidobacterium saeculare	Stool	#b2f396	1	24.0	1.0	#ff8444	#7216ff
Bilophila sp. 4_1_30	Stool	#b2f396	6	24.0	23.0	#ff8444	#d9da7d
Bilophila wadsworthia	Stool	#b2f396	9	11.0	2.0	#40ecd4	#622ffe
Blautia hansenii	Stool	#b2f396	1	14.0	3.0	#76ffb9	#5444fd
Blautia hydrogenotrophica	Stool	#b2f396	3	7.0	1.0	#06aeed	#7216ff
Blautia obeum	Stool	#b2f396	13	7.0	1.0	#06aeed	#7216ff
Blautia schinkii	Stool	#b2f396	2	7.0	1.0	#06aeed	#7216ff
Blautia sp. GD9	Stool	#b2f396	9	7.0	1.0	#06aeed	#7216ff
Blautia sp. KLE 1732	Stool	#b2f396	10	7.0	1.0	#06aeed	#7216ff
Blautia wexlerae	Stool	#b2f396	15	14.0	3.0	#76ffb9	#5444fd
Brevibacterium massiliense	Posterior_fornix	#4df3ce	1	3.0	15.0	#4c50fc	#60fac5
Brochothrix thermosphacta	Saliva	#7effb5	4	26.0	26.0	#ff532a	#ffac5c
Burkholderia cepacia	Posterior_fornix	#4df3ce	1	3.0	15.0	#4c50fc	#60fac5
Butyricicoccus pullicaecorum	Stool	#b2f396	10	7.0	1.0	#06aeed	#7216ff
Butyricimonas synergistica	Stool	#b2f396	7	28.0	2.0	#ff1c0e	#622ffe
Butyricimonas virosa	Stool	#b2f396	9	11.0	2.0	#40ecd4	#622ffe
Butyrivibrio crossotus	Stool	#b2f396	14	28.0	2.0	#ff1c0e	#622ffe
Butyrivibrio sp. NC3005	Stool	#b2f396	2	24.0	1.0	#ff8444	#7216ff
Calothrix sp. PCC 7103	Anterior_nares	#8000ff	2	13.0	16.0	#64fbc3	#70febc
Campylobacter curvus	Supragingival_plaque	#ff964f	5	4.0	7.0	#396bf9	#1898f2
Campylobacter fetus	Attached	#4e4dfc	2	8.0	11.0	#0dc2e8	#24d8df
Campylobacter gracilis	Subgingival_plaque	#e4cf74	24	4.0	7.0	#396bf9	#1898f2
Campylobacter mucosalis	Attached	#4e4dfc	2	0.0	11.0	#8000ff	#24d8df
Campylobacter rectus	Subgingival_plaque	#e4cf74	20	29.0	7.0	#ff0000	#1898f2
Campylobacter showae	Supragingival_plaque	#ff964f	27	4.0	7.0	#396bf9	#1898f2
Campylobacter sp. 10_1_50	Saliva	#7effb5	11	26.0	6.0	#ff532a	#2686f5
Campylobacter sp. FOBRC14	Attached	#4e4dfc	2	0.0	11.0	#8000ff	#24d8df
Candidatus Alistipes marseilloanorexicus	Stool	#b2f396	11	12.0	20.0	#52f5cb	#acf59a
Candidatus Bacteroides timonensis	Stool	#b2f396	10	12.0	20.0	#52f5cb	#acf59a
Candidatus Saccharibacteria bacterium RAAC3_TM7_1	Saliva	#7effb5	1	26.0	26.0	#ff532a	#ffac5c
Candidatus Saccharibacteria oral taxon TM7x	Saliva	#7effb5	25	26.0	6.0	#ff532a	#2686f5
Capnocytophaga gingivalis	Supragingival_plaque	#ff964f	27	4.0	7.0	#396bf9	#1898f2
Capnocytophaga granulosa	Supragingival_plaque	#ff964f	14	4.0	7.0	#396bf9	#1898f2
Capnocytophaga ochracea	Supragingival_plaque	#ff964f	12	4.0	7.0	#396bf9	#1898f2
Capnocytophaga sp. CM59	Supragingival_plaque	#ff964f	16	4.0	7.0	#396bf9	#1898f2
Capnocytophaga sp. oral taxon 323	Supragingival_plaque	#ff964f	9	4.0	7.0	#396bf9	#1898f2
Capnocytophaga sp. oral taxon 324	Supragingival_plaque	#ff964f	10	4.0	7.0	#396bf9	#1898f2
Capnocytophaga sp. oral taxon 326	Supragingival_plaque	#ff964f	25	4.0	7.0	#396bf9	#1898f2
Capnocytophaga sp. oral taxon 329	Supragingival_plaque	#ff964f	26	4.0	7.0	#396bf9	#1898f2
Capnocytophaga sp. oral taxon 332	Supragingival_plaque	#ff964f	24	4.0	7.0	#396bf9	#1898f2
Capnocytophaga sp. oral taxon 335	Supragingival_plaque	#ff964f	8	4.0	7.0	#396bf9	#1898f2
Capnocytophaga sp. oral taxon 336	Supragingival_plaque	#ff964f	11	4.0	7.0	#396bf9	#1898f2
Capnocytophaga sp. oral taxon 338	Subgingival_plaque	#e4cf74	23	4.0	7.0	#396bf9	#1898f2
Capnocytophaga sp. oral taxon 380	Supragingival_plaque	#ff964f	11	4.0	7.0	#396bf9	#1898f2
Capnocytophaga sp. oral taxon 412	Subgingival_plaque	#e4cf74	10	4.0	7.0	#396bf9	#1898f2
Capnocytophaga sp. oral taxon 863	Supragingival_plaque	#ff964f	22	4.0	7.0	#396bf9	#1898f2
Capnocytophaga sputigena	Supragingival_plaque	#ff964f	28	4.0	7.0	#396bf9	#1898f2
Cardiobacterium hominis	Subgingival_plaque	#e4cf74	13	4.0	7.0	#396bf9	#1898f2
Cardiobacterium valvarum	Subgingival_plaque	#e4cf74	16	4.0	7.0	#396bf9	#1898f2
Carnobacterium divergens	Saliva	#7effb5	3	26.0	26.0	#ff532a	#ffac5c
Carnobacterium maltaromaticum	Tongue_dorsum	#ff0000	21	2.0	6.0	#5e35fe	#2686f5
