TAXA	sample_type	sample_color	frequency	spect_cluster	commun_cluster	spect_color	comm_color
[Clostridium] clostridioforme	Stool	#b2f396	15	62.0	1.0	#ff2613	#7a09ff
[Clostridium] innocuum	Stool	#b2f396	1	49.0	2.0	#ffb360	#7216ff
[Clostridium] saccharogumia	Stool	#b2f396	2	29.0	3.0	#62fbc4	#6c1fff
[Clostridium] spiroforme	Stool	#b2f396	8	40.0	1.0	#b9ef92	#7a09ff
[Clostridium] symbiosum	Stool	#b2f396	10	40.0	1.0	#b9ef92	#7a09ff
[Eubacterium] eligens	Stool	#b2f396	15	50.0	1.0	#ffa95b	#7a09ff
[Eubacterium] hallii	Stool	#b2f396	11	40.0	1.0	#b9ef92	#7a09ff
[Haemophilus] ducreyi	Buccal_mucosa	#1996f3	1	22.0	0.0	#2ddedc	#8000ff
[Mannheimia] succiniciproducens	Buccal_mucosa	#1996f3	1	22.0	0.0	#2ddedc	#8000ff
[Ruminococcus] gnavus	Stool	#b2f396	11	62.0	1.0	#ff2613	#7a09ff
Acetivibrio ethanolgignens	Stool	#b2f396	13	35.0	1.0	#92fda9	#7a09ff
Acidaminococcus sp. BV3L6	Stool	#b2f396	2	1.0	11.0	#7a09ff	#3473f8
Acidaminococcus sp. HPA0509	Stool	#b2f396	2	1.0	11.0	#7a09ff	#3473f8
Acidovorax ebreus	Buccal_mucosa	#1996f3	1	26.0	13.0	#4df3ce	#2489f5
Acidovorax sp. JS42	Buccal_mucosa	#1996f3	1	26.0	13.0	#4df3ce	#2489f5
Acinetobacter sp. MDS7A	Anterior_nares	#8000ff	1	38.0	14.0	#abf69b	#1e91f3
Actinobacillus minor	Buccal_mucosa	#1996f3	5	9.0	9.0	#396bf9	#425ffa
Actinomyces graevenitzii	Tongue_dorsum	#ff0000	19	37.0	7.0	#a2f9a0	#504afc
Actinomyces israelii	Subgingival_plaque	#e4cf74	11	61.0	7.0	#ff3219	#504afc
Actinomyces massiliensis	Supragingival_plaque	#ff964f	25	54.0	7.0	#ff8444	#504afc
Actinomyces naeslundii	Supragingival_plaque	#ff964f	25	55.0	7.0	#ff793e	#504afc
Actinomyces oris	Supragingival_plaque	#ff964f	25	55.0	7.0	#ff793e	#504afc
Actinomyces sp. HPA0247	Tongue_dorsum	#ff0000	10	37.0	7.0	#a2f9a0	#504afc
Actinomyces sp. ICM39	Tongue_dorsum	#ff0000	14	37.0	7.0	#a2f9a0	#504afc
Actinomyces sp. ICM47	Tongue_dorsum	#ff0000	18	37.0	7.0	#a2f9a0	#504afc
Actinomyces sp. ICM54	Tongue_dorsum	#ff0000	11	37.0	7.0	#a2f9a0	#504afc
Actinomyces sp. ICM58	Tongue_dorsum	#ff0000	11	37.0	7.0	#a2f9a0	#504afc
Actinomyces sp. oral taxon 171	Supragingival_plaque	#ff964f	26	55.0	7.0	#ff793e	#504afc
Actinomyces sp. oral taxon 172	Tongue_dorsum	#ff0000	11	37.0	7.0	#a2f9a0	#504afc
Actinomyces sp. oral taxon 175	Supragingival_plaque	#ff964f	23	55.0	7.0	#ff793e	#504afc
Actinomyces sp. oral taxon 181	Saliva	#7effb5	12	37.0	7.0	#a2f9a0	#504afc
Actinomyces sp. oral taxon 849	Supragingival_plaque	#ff964f	14	61.0	7.0	#ff3219	#504afc
Actinomyces sp. ph3	Saliva	#7effb5	12	37.0	7.0	#a2f9a0	#504afc
Actinomyces sp. S6-Spd3	Tongue_dorsum	#ff0000	20	37.0	7.0	#a2f9a0	#504afc
Actinomyces viscosus	Supragingival_plaque	#ff964f	23	55.0	7.0	#ff793e	#504afc
Aggregatibacter aphrophilus	Anterior_nares	#8000ff	28	55.0	7.0	#ff793e	#504afc
Aggregatibacter segnis	Buccal_mucosa	#1996f3	21	55.0	7.0	#ff793e	#504afc
Aggregatibacter sp. oral taxon 458	Buccal_mucosa	#1996f3	21	55.0	7.0	#ff793e	#504afc
Akkermansia muciniphila	Stool	#b2f396	20	40.0	1.0	#b9ef92	#7a09ff
Alistipes finegoldii	Stool	#b2f396	10	64.0	1.0	#ff0d06	#7a09ff
Alistipes indistinctus	Stool	#b2f396	8	62.0	1.0	#ff2613	#7a09ff
Alistipes obesi	Stool	#b2f396	11	50.0	1.0	#ffa95b	#7a09ff
Alistipes onderdonkii	Stool	#b2f396	12	40.0	1.0	#b9ef92	#7a09ff
Alistipes putredinis	Stool	#b2f396	24	62.0	1.0	#ff2613	#7a09ff
Alistipes senegalensis	Stool	#b2f396	11	40.0	1.0	#b9ef92	#7a09ff
Alistipes shahii	Stool	#b2f396	14	62.0	1.0	#ff2613	#7a09ff
Alistipes sp. AL-1	Stool	#b2f396	10	35.0	1.0	#92fda9	#7a09ff
Alistipes sp. HGB5	Stool	#b2f396	10	62.0	1.0	#ff2613	#7a09ff
Alistipes timonensis	Stool	#b2f396	9	62.0	1.0	#ff2613	#7a09ff
Aliterella atlantica	Anterior_nares	#8000ff	1	38.0	14.0	#abf69b	#1e91f3
alpha proteobacterium LLX12A	Anterior_nares	#8000ff	1	38.0	14.0	#abf69b	#1e91f3
Alysiella crassa	Attached	#4e4dfc	2	8.0	17.0	#425ffa	#08acee
Anaerococcus sp. PH9	Posterior_fornix	#4df3ce	2	52.0	25.0	#ff964f	#30e1da
Anaerococcus vaginalis	Stool	#b2f396	1	49.0	2.0	#ffb360	#7216ff
Anaerofustis stercorihominis	Stool	#b2f396	1	34.0	6.0	#8bfeae	#5641fd
Anaerostipes hadrus	Stool	#b2f396	6	31.0	21.0	#72febb	#14cae5
Anaerostipes sp. 3_2_56FAA	Stool	#b2f396	2	4.0	4.0	#622ffe	#642cfe
Anaerotruncus colihominis	Stool	#b2f396	11	62.0	1.0	#ff2613	#7a09ff
Atopobium parvulum	Saliva	#7effb5	18	63.0	7.0	#ff190d	#504afc
Atopobium sp. BS2	Saliva	#7effb5	12	37.0	7.0	#a2f9a0	#504afc
Atopobium sp. ICM42b	Saliva	#7effb5	13	37.0	7.0	#a2f9a0	#504afc
Atopobium sp. oral taxon 810	Buccal_mucosa	#1996f3	1	26.0	13.0	#4df3ce	#2489f5
Aureimonas altamirensis	Anterior_nares	#8000ff	1	5.0	27.0	#5a3bfd	#3febd5
Avibacterium paragallinarum	Buccal_mucosa	#1996f3	2	19.0	16.0	#14cae5	#10a2f0
Azohydromonas australica	Anterior_nares	#8000ff	1	38.0	14.0	#abf69b	#1e91f3
bacterium LF-3	Stool	#b2f396	10	64.0	1.0	#ff0d06	#7a09ff
Bacteroidaceae bacterium MS4	Stool	#b2f396	2	4.0	4.0	#622ffe	#642cfe
Bacteroides acidifaciens	Stool	#b2f396	14	62.0	1.0	#ff2613	#7a09ff
Bacteroides barnesiae	Stool	#b2f396	7	65.0	1.0	#ff0000	#7a09ff
Bacteroides caccae	Stool	#b2f396	19	35.0	1.0	#92fda9	#7a09ff
Bacteroides cellulosilyticus	Stool	#b2f396	16	62.0	1.0	#ff2613	#7a09ff
Bacteroides coprophilus	Stool	#b2f396	13	62.0	1.0	#ff2613	#7a09ff
Bacteroides coprosuis	Stool	#b2f396	2	1.0	11.0	#7a09ff	#3473f8
Bacteroides dorei	Stool	#b2f396	18	40.0	1.0	#b9ef92	#7a09ff
Bacteroides eggerthii	Stool	#b2f396	13	40.0	30.0	#b9ef92	#54f6cb
Bacteroides faecichinchillae	Stool	#b2f396	10	62.0	1.0	#ff2613	#7a09ff
Bacteroides finegoldii	Stool	#b2f396	17	50.0	1.0	#ffa95b	#7a09ff
Bacteroides fluxus	Stool	#b2f396	12	62.0	1.0	#ff2613	#7a09ff
Bacteroides fragilis	Stool	#b2f396	19	62.0	1.0	#ff2613	#7a09ff
Bacteroides gallinarum	Subgingival_plaque	#e4cf74	13	40.0	1.0	#b9ef92	#7a09ff
Bacteroides graminisolvens	Stool	#b2f396	2	4.0	4.0	#622ffe	#642cfe
Bacteroides helcogenes	Stool	#b2f396	7	40.0	1.0	#b9ef92	#7a09ff
Bacteroides intestinalis	Stool	#b2f396	16	40.0	1.0	#b9ef92	#7a09ff
Bacteroides massiliensis	Stool	#b2f396	18	40.0	30.0	#b9ef92	#54f6cb
Bacteroides nordii	Stool	#b2f396	9	50.0	30.0	#ffa95b	#54f6cb
Bacteroides oleiciplenus	Stool	#b2f396	11	40.0	1.0	#b9ef92	#7a09ff
Bacteroides ovatus	Stool	#b2f396	19	64.0	1.0	#ff0d06	#7a09ff
Bacteroides paurosaccharolyticus	Buccal_mucosa	#1996f3	1	22.0	0.0	#2ddedc	#8000ff
Bacteroides pyogenes	Stool	#b2f396	8	50.0	1.0	#ffa95b	#7a09ff
Bacteroides reticulotermitis	Stool	#b2f396	3	4.0	4.0	#622ffe	#642cfe
Bacteroides salanitronis	Stool	#b2f396	11	40.0	1.0	#b9ef92	#7a09ff
Bacteroides sartorii	Stool	#b2f396	13	65.0	1.0	#ff0000	#7a09ff
Bacteroides sp. 1_1_6	Stool	#b2f396	14	62.0	1.0	#ff2613	#7a09ff
Bacteroides sp. 14(A)	Stool	#b2f396	9	40.0	1.0	#b9ef92	#7a09ff
Bacteroides sp. 2_1_33B	Stool	#b2f396	9	62.0	1.0	#ff2613	#7a09ff
Bacteroides sp. 2_2_4	Stool	#b2f396	13	62.0	1.0	#ff2613	#7a09ff
Bacteroides sp. 3_1_13	Stool	#b2f396	12	65.0	1.0	#ff0000	#7a09ff
Bacteroides sp. 3_1_19	Stool	#b2f396	11	40.0	1.0	#b9ef92	#7a09ff
Bacteroides sp. 3_1_23	Stool	#b2f396	11	50.0	1.0	#ffa95b	#7a09ff
Bacteroides sp. 3_1_33FAA	Stool	#b2f396	13	40.0	1.0	#b9ef92	#7a09ff
Bacteroides sp. 3_1_40A	Stool	#b2f396	12	35.0	1.0	#92fda9	#7a09ff
