	source	target	weight	edge_sample	edge_color
0	Clostridium	Bacteroides	6.0	Stool	#e8cb72
1	Gallibacterium	Bacillus	4.0	Mixed	#cccccc
2	Haemophilus	Actinobacillus	4.0	Mixed	#cccccc
3	Lactobacillus	Actinobacillus	4.0	Mixed	#cccccc
4	Lactobacillus	Haemophilus	6.0	Mixed	#cccccc
5	Mitsuokella	Bacteroides	4.0	Mixed	#cccccc
6	Mitsuokella	Barnesiella	3.0	Mixed	#cccccc
7	Neisseria	Bacillus	4.0	Mixed	#cccccc
8	Pasteurella	Gemella	8.0	Buccal_mucosa	#445cfb
9	Peptoniphilus	Gemella	6.0	Mixed	#cccccc
10	Porphyromonas	Fusobacterium	4.0	Mixed	#cccccc
11	Porphyromonas	Leptotrichia	4.0	Mixed	#cccccc
12	Pseudomonas	Actinomyces	3.0	Mixed	#cccccc
13	Pseudomonas	Eikenella	3.0	Mixed	#cccccc
14	Rothia	Pseudomonas	3.0	Mixed	#cccccc
15	Sanguibacter	Abiotrophia	4.0	Mixed	#cccccc
16	Sanguibacter	Cardiobacterium	4.0	Mixed	#cccccc
17	Selenomonas	Kingella	4.0	Supragingival_plaque	#ff8646
18	Selenomonas	Propionibacterium	4.0	Mixed	#cccccc
19	Solobacterium	Fusobacterium	4.0	Mixed	#cccccc
20	Solobacterium	Porphyromonas	4.0	Mixed	#cccccc
21	Staphylococcus	Gemella	8.0	Mixed	#cccccc
22	Staphylococcus	Pasteurella	6.0	Mixed	#cccccc
23	Staphylococcus	Peptoniphilus	6.0	Mixed	#cccccc
24	Streptococcus	Gemella	6.0	Mixed	#cccccc
25	Streptococcus	Pasteurella	8.0	Mixed	#cccccc
26	Streptococcus	Porphyromonas	6.0	Mixed	#cccccc
27	Trueperella	Fusobacterium	4.0	Mixed	#cccccc
28	Trueperella	Leptotrichia	4.0	Tongue_dorsum	#ff2f18
29	Trueperella	Porphyromonas	4.0	Mixed	#cccccc
30	Trueperella	Solobacterium	4.0	Mixed	#cccccc
31	Veillonella	Catonella	4.0	Mixed	#cccccc
32	Xylanimonas	Sanguibacter	4.0	Throat	#ff5c2f
