	source	target	weight	edge_sample	edge_color
0	Acinetobacter	Abiotrophia	9.0	Mixed	#cccccc
1	Actinomyces	Acinetobacter	12.0	Mixed	#cccccc
2	Agrobacterium	Aeromonas	3.0	Mixed	#cccccc
3	Aliihoeflea	Aeromonas	3.0	Mixed	#cccccc
4	Aliihoeflea	Agrobacterium	3.0	R_Retroauricular_crease	#acf59a
5	Alishewanella	Acetobacter	1.0	Mixed	#cccccc
6	Alishewanella	Aerococcus	1.0	Mixed	#cccccc
7	Alkaliphilus	Akkermansia	2.0	Mixed	#cccccc
8	Alkanindiges	Acidithiobacillus	1.0	Mixed	#cccccc
9	Alkanindiges	Alcaligenes	1.0	Anterior_nares	#8000ff
10	Alkanindiges	Alkaliphilus	2.0	Anterior_nares	#8000ff
11	Anaeroglobus	Actinobaculum	2.0	Subgingival_plaque	#ffac5c
12	Aquabacterium	Alishewanella	1.0	Mixed	#cccccc
13	Arcobacter	Akkermansia	2.0	Mixed	#cccccc
14	Arcobacter	Alkanindiges	2.0	Mixed	#cccccc
15	Arthrobacter	Actinobaculum	3.0	Mixed	#cccccc
16	Aureimonas	Acinetobacter	8.0	Mixed	#cccccc
17	Aureimonas	Aerococcus	3.0	Mixed	#cccccc
18	Aureimonas	Aeromonas	3.0	Mixed	#cccccc
19	Aureimonas	Agrobacterium	3.0	R_Retroauricular_crease	#acf59a
20	Aureimonas	Akkermansia	4.0	Mixed	#cccccc
21	Aureimonas	Aliihoeflea	3.0	R_Retroauricular_crease	#acf59a
22	Azotobacter	Alkanindiges	1.0	Mixed	#cccccc
23	Bacillus	Acinetobacter	13.0	Anterior_nares	#8000ff
24	Bacillus	Anaerococcus	10.0	Mixed	#cccccc
25	Bacteroides	Alkaliphilus	2.0	Mixed	#cccccc
26	Bacteroides	Arcobacter	2.0	Mixed	#cccccc
27	Belnapia	Aquabacterium	1.0	L_Retroauricular_crease	#34e4d9
28	Bhargavaea	Alloprevotella	2.0	Mixed	#cccccc
29	Bifidobacterium	Acinetobacter	12.0	Mixed	#cccccc
30	Bilophila	Alkanindiges	1.0	Mixed	#cccccc
